instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,str10tr20zhifmvdvo7,1459.6166835,400.79,400.68,-3.64284886568,-1.00027453329
neos-631694,zhifmvmultiple2passf45,425.865371739,208.7,327.5,-1.30035228012,1.56923814087
neos-633273,str10tr20zhifmvdvo7,911.696405775,895.73,895.73,-1.01782502068,1.0
core2536-691,str10tr20zhifmvdvo7,927.480020274,402.61,401.98,-2.30727901954,-1.00156724215
bell3a,str10tr20zhifmvdvo7,488.837624275,4.53,4.53,-107.911175337,1.0
d20200,str10tr20zhifmvdvo7,263.402422826,239.02,223.62,-1.17790189977,-1.06886682765
neos-801834,zhifmvmultiple2passf45,576.287791301,295.75,236.95,-2.4321071589,-1.24815361891
neos-1337307,str10tr20zhifmvdvo7,405.446105565,207.0,206.28,-1.96551340685,-1.0034904014
planar150_s,str10tr20zhifmvdvo7,455.336858359,200.01,200.01,-2.27657046327,1.0
neos-934531,str10tr20zhifmvdvo7,1803.55875097,1400.01,2133.34,1.18285029465,1.5238034014
e40400,str10tr20zhifmvdvo7,893.658179883,244.12,302.08,-2.95834937726,1.2374242176
br2,str10tr20zhifmvdvo7,490.93529448,707.5,865.81,1.7635929006,1.22375971731
acc-tight5,str10tr20zhifmvdvo7,980.213418213,1600.01,1200.01,1.22423339418,-1.33333055558
e20200,str10tr20zhifmvdvo7,17.0340552605,23.36,25.81,1.51519996884,1.10488013699
mcsched,str10tr20zhifmvdvo7,368.912400193,242.24,252.89,-1.45878603422,1.04396466314
neos16,str10tr20zhifmvdvo7,425.865371739,417.28,216.43,-1.96768179892,-1.92801367648
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,405.446105565,333.56,138.19,-2.93397572592,-2.41377813156
danoint,str10tr20zhifmvdvo7,490.93529448,87.29,79.14,-6.20337748901,-1.10298205711
dfn-gwin-UUM,str10tr20zhifmvdvo7,2302.96869395,40.93,30.68,-75.0641686426,-1.33409387223
neos-948346,str10tr20zhifmvdvo7,1168.34223902,544.5,436.27,-2.67802562408,-1.24808031723
neos-1330346,str10tr20zhifmvdvo7,490.93529448,600.0,606.25,1.2348877883,1.01041666667
lectsched-4-obj,zhifmvmultiple2passf45,490.93529448,375.56,340.0,-1.44392733671,-1.10458823529
macrophage,str10tr20zhifmvdvo7,1230.99866941,417.04,401.43,-3.06653381513,-1.03888598261
liu,str10tr20zhifmvdvo7,439.502971676,360.65,447.96,1.01924225516,1.24209066962
dcmulti,str10tr20zhifmvdvo7,405.446105565,13.45,13.45,-30.1446918636,1.0
rmatr100-p5,str10tr20zhifmvdvo7,803.074337636,308.92,507.32,-1.58297393684,1.64223747248
mas74,str10tr20zhifmvdvo7,147.017688721,17.2,22.57,-6.5138541746,1.31220930233
ds,str10tr20zhifmvdvo7,450.355373716,1980.28,2083.64,4.62665735019,1.05219463914
glass4,str10tr20zhifmvdvo7,488.837624275,864.04,781.78,1.59926315238,-1.10522141779
gesa2-o,zhifmvmultiple2passf45,490.93529448,2.11,2.11,-232.670755678,1.0
qnet1,str10tr20zhifmvdvo7,490.93529448,51.49,21.43,-22.90878649,-2.40270648623
neos-1396125,str10tr20zhifmvdvo7,455.336858359,1564.58,4980.95,10.9390441572,3.18357003157
tanglegram2,str10tr20zhifmvdvo7,488.837624275,2164.6,2164.6,4.42805523247,1.0
rmine6,str10tr20zhifmvdvo7,576.287791301,202.2,202.53,-2.84544408878,1.00163204748
mitre,str10tr20zhifmvdvo7,1129.35820365,207.56,207.56,-5.44111680312,1.0
a1c1s1,str10tr20zhifmvdvo7,576.287791301,640.07,832.04,1.44379251575,1.29992032121
sprint_hint01_j,str10tr20zhifmvdvo7,1279.19084435,369.67,362.87,-3.5252041898,-1.01873949348
vpphard,str10tr20zhifmvdvo7,2374.03328883,3429.9,4338.98,1.82768288061,1.26504562815
T1_300_5000_0,str10tr20zhifmvdvo7,490.93529448,515.13,551.83,1.12403814964,1.07124415196
noswot,str10tr20zhifmvdvo7,697.088149568,59.07,62.03,-11.2379195481,1.05011003894
pk1,str10tr20zhifmvdvo7,1449.2623591,506.25,356.37,-4.06673502006,-1.4205741224
stein45,str10tr20zhifmvdvo7,2022.93197095,563.3,496.5,-4.07438463434,-1.13454179255
reblock67,str10tr20zhifmvdvo7,425.865371739,216.31,217.81,-1.95521496598,1.00693449216
layer2,str10tr20zhifmvdvo7,405.446105565,130.25,113.05,-3.58643171663,-1.15214506855
n030w4-1,str10tr20zhifmvdvo7,980.213418213,266.17,254.57,-3.85046713365,-1.04556703461
neos-859770,str10tr20zhifmvdvo7,405.446105565,6300.0,6300.0,15.5384400381,1.0
n030w4-3,str10tr20zhifmvdvo7,1279.19084435,247.05,252.05,-5.07514717061,1.02023881805
n030w4-2,str10tr20zhifmvdvo7,1327.34390663,221.54,222.34,-5.96988354154,1.00361108603
