instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2,1960.82808388,401.14,400.68,-4.89375083329,-1.00114804832
neos-631694,zhifmvmultiple2ltmend1lylgmiend1ly,620.551261791,208.7,327.5,-1.8948130131,1.56923814087
egout,zhifmvmultiple2passf20,628.526740912,1547.08,1547.08,2.46143862989,1.0
bell3a,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,600.951928898,6.34,4.53,-132.660469955,-1.3995584989
n080w8-7,zhifmvmultiple2ltmend1lylgmiend1ly,645.813774544,495.9,500.75,-1.28969300957,1.00978019762
neos-801834,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,627.140065274,292.55,236.95,-2.6467189925,-1.23464866005
neos-1337307,zhifmvmultiple2passf20,628.759876312,205.98,206.28,-3.04808937518,1.00145645208
planar150_s,zhifmvmultiple2ltmend1lylgmiend1ly,645.636417528,200.01,200.01,-3.22802068661,1.0
neos-934531,zhifmvmultiple2passt2,1937.124389,1866.68,2133.34,1.1012922103,1.14285255105
qiu,zhifmvmultiple2ltmend1lylgmiend1ly,614.924490379,1829.34,357.56,-1.71977987017,-5.11617630607
e40400,zhifmvmultiple2ltmend1lylgmiend1ly,675.058994539,367.66,302.08,-2.23470270968,-1.21709480932
acc-tight5,zhifmvmultiple2ltmend1lylgmiend1ly,668.43705215,1000.01,1200.01,1.79524757962,1.19999800002
e20200,zhifmvmultiple2ltmend1lylgmiend1ly,627.236803595,30.19,25.81,-24.3020846027,-1.16970166602
mcsched,zhifmvmultiple2passf20,628.611729258,264.35,252.89,-2.48571208533,-1.04531614536
l152lav,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,675.564589133,25.11,26.31,-25.6771033498,1.04778972521
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,629.554763222,333.56,138.19,-4.55571867155,-2.41377813156
danoint,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,675.383280709,77.87,79.14,-8.53403185126,1.01630923334
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,683.642396968,122.92,30.68,-22.2829985974,-4.00651890482
neos-948346,zhifmvmultiple2ltmend1lylgmiend1ly,617.188163873,477.04,436.27,-1.41469311177,-1.09345130309
neos-1330346,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,675.357649177,881.25,606.25,-1.11399199864,-1.45360824742
lectsched-4-obj,zhifmvmultiple2ltmend1lylgmiend1ly,668.24511914,363.64,340.0,-1.965426821,-1.06952941176
liu,zhifmvmultiple2ltmend1lylgmiend1ly,626.996476863,380.17,447.96,-1.39967067788,1.17831496436
dcmulti,zhifmvmultiple2passf20,628.524954305,11.77,13.45,-46.730479874,1.1427357689
neos-777800,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,675.453244166,200.01,200.01,-3.37709736596,1.0
mas74,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,683.651330091,22.37,22.57,-30.2902671729,1.00894054537
gen,zhifmvmultiple2ltmend1lylgmiend1ly,668.031215047,3.37,3.37,-198.228847195,1.0
eilC76,zhifmvmultiple2ltmend1lylgmiend1ly,627.076049268,404.65,424.74,-1.47637625198,1.04964784382
gesa2-o,zhifmvmultiple2ltmend1lylgmiend1ly,668.086946548,1.91,2.11,-316.62888462,1.10471204188
qnet1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,675.436173561,26.3,21.43,-31.5182535493,-1.22725151657
neos-1396125,zhifmvmultiple2passf20,642.670335766,565.13,4980.95,7.75039662297,8.81381275105
