instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,str10tr20zhifmvdvo7,240.08904953,329.0,327.5,1.36407720652,-1.00458015267
egout,zhifmvxpsve2str10tr20dvo7,35.4368415253,1547.08,1547.08,43.6573896942,1.0
core2536-691,zhifmvmultiple2passf45,117.674348356,402.29,401.98,3.41603761242,-1.00077118265
bell3a,zhifmvxpsve2str10tr20dvo7,30.8670920527,4.53,4.53,-6.81392760546,1.0
d20200,zhifmvmultiple4,831.974571461,232.29,223.62,-3.72048372892,-1.03877112959
neos-801834,zhifmvmultiple2passf45,390.031992489,295.75,236.95,-1.64605187799,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,361.688712493,205.68,206.28,-1.75338720425,1.00291715286
planar150_s,zhifmvmultiple2passf45,659.026668605,200.01,200.01,-3.2949685946,1.0
neos-934531,zhifmvmultiple2passf45,861.423408451,1666.68,2133.34,2.47652893928,1.27999376005
n050w4-0,str10tr20zhifmvdvo7,395.158402688,509.28,488.59,1.23644087201,-1.04234634356
e40400,zhifmvmultiple4,145.834069203,352.32,302.08,2.07139526211,-1.16631355932
br2,zhifmvmultiple4,6427.56187759,703.71,865.81,-7.423755648,1.23035057055
acc-tight5,zhifmvmultiple2str10tr20dvo7,100.245433887,1200.01,1200.01,11.9707197971,1.0
e20200,zhifmvmultiple4,48.0897222862,11.62,25.81,-1.86322054576,2.22117039587
mcsched,zhifmvmultiple2passf45,233.308544948,264.9,252.89,1.08392943797,-1.04749100399
neos16,zhifmvmultiple2passf45,-1536.31081632,1429.26,216.43,-0.140876440953,-6.60379799473
blend2,zhifmvmultiple2str10tr20dvo7,13.3841323624,76.19,138.19,10.324912834,1.81375508597
danoint,zhifmvxpsve2str10tr20dvo7,120.906789393,78.7,79.14,-1.5277582688,1.00559085133
gen,zhifmvmultiple2ltmend1lylgmiend1ly,1635.74874575,3.37,3.37,-485.385384495,1.0
dfn-gwin-UUM,zhifmvmultiple2str10tr20dvo7,33.7414317828,84.49,30.68,-1.09978591209,-2.75391134289
neos-948346,zhifmvhr0nve1str10tr20dvo7rnd1rns1,-368.691450591,737.1,436.27,-1.18329296571,-1.68955004928
neos-1330346,zhifmvmultiple2passf45,493.263985519,856.25,606.25,1.22905790367,-1.41237113402
lectsched-4-obj,zhifmvmultiple2pptn5005043,407.843680112,370.0,340.0,-1.19954023562,-1.08823529412
