instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvpptn5005043,827.292011376,600.78,400.68,-2.06472000443,-1.49940101827
qnet1_o,zhifmvmultiple2passf45,71.317140602,14.92,19.12,-3.72997597291,1.28150134048
neos-631694,str10tr20zhifmvdvo7,240.709020367,329.0,327.5,1.3605638854,-1.00458015267
neos-633273,zhifmvmultiple2str10tr20dvo7,961.686397111,895.73,895.73,-1.07363423924,1.0
bell3a,zhifmvxpsve1str10tr20dvo7,34.5685572989,4.53,4.53,-7.63102810131,1.0
d20200,zhifmvmultiple2str10tr20dvo7,259.895359827,219.63,223.62,-1.1622187632,1.01816691709
neos-801834,zhifmvmultiple2passf45,327.81291879,295.75,236.95,-1.38346874358,-1.24815361891
neos-1337307,zhifmvmultiple2passf45,-502.275312206,206.3,206.28,-0.410691099059,-1.00009695559
planar150_s,zhifmvnodeupfewest,327.292262902,200.01,200.01,-1.63637949554,1.0
neos-934531,zhifmvmultiple2str10tr20dvo7,389.7548168,1800.01,2133.34,5.47354364345,1.18518230454
qiu,str10tr20zhifmvdvo7,193.741404811,1975.34,357.56,1.84555284064,-5.52449938472
n050w4-0,str10tr20zhifmvdvo7,432.621768233,509.28,488.59,1.12936989277,-1.04234634356
br2,zhifmvmultiple2ltmend1lylgmiend1ly,1861.45787236,698.24,865.81,-2.14996116048,1.23998911549
acc-tight5,zhifmvmultiple2str10tr20dvo7,100.375129235,1200.01,1200.01,11.9552523533,1.0
e20200,zhifmvmultiple4,-254.529409943,11.62,25.81,-0.101402820231,2.22117039587
mcsched,zhifmvnodeupfewest,258.959713932,250.11,252.89,-1.02400139955,1.01111510935
l152lav,zhifmvmultiple4,26.7181536091,226.39,26.31,-1.01551325006,-8.60471303687
blend2,zhifmvxpsve2str10tr20dvo7,42.7707796045,139.56,138.19,3.2309441464,-1.00991388668
danoint,xpsve2,256.342516768,79.05,79.14,-3.239101804,1.00113851992
dfn-gwin-UUM,zhifmvxpsve2str10tr20dvo7,40.0750725814,46.33,30.68,-1.30622791986,-1.51010430248
neos-948346,str10tr20zhifmvdvo7,-6194.68871964,544.5,436.27,-0.0704264604317,-1.24808031723
neos-1330346,zhifmvhr0nve1str10tr20dvo7rnd1rns1,5155.96605161,587.5,606.25,-8.5046862707,1.03191489362
lectsched-4-obj,zhifmvmultiple4,413.185847495,360.0,340.0,-1.21525249263,-1.05882352941
liu,zhifmvmultiple2passf45,249.987112257,476.24,447.96,1.79193237586,-1.06313063666
newdano,xpsve2,245.687902886,609.76,563.94,2.29535110754,-1.08124977835
e40400,zhifmvmultiple4,154.798798687,352.32,302.08,1.9514363326,-1.16631355932
rmatr100-p5,str10tr20zhifmvdvo7,454.681658711,308.92,507.32,1.11576966055,1.64223747248
mas74,str10tr20zhifmvdvo7,96.1153001833,17.2,22.57,-4.25854232092,1.31220930233
mas76,zhifmvmultiple4,491.115201666,45.78,49.6,-9.90151616261,1.08344255133
mkc,zhifmvmultiple2str10tr20dvo7,292.332866777,81.2,293.44,1.00378723486,3.61379310345
mzzv11,str10tr20zhifmvdvo7,409.101622844,422.03,411.53,1.00593587759,-1.02551454329
qnet1,zhifmvmultiple2passf45,72.4492838728,37.1,21.43,-3.38074119798,-1.73121791881
neos-1396125,str10tr20zhifmvdvo7,72.5828470666,1564.58,4980.95,68.6243403407,3.18357003157
