instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2passt2,222.259645079,208.7,327.5,1.47350185808,1.56923814087
egout,zhifmvnodedowndepth,74.4529916572,1547.08,1547.08,20.7792859033,1.0
core2536-691,zhifmvmultiple2str10tr20dvo7,579.948,403.04,401.98,-1.44272849395,-1.00263694711
bell3a,zhifmvmultiple2ltmend1lylgmiend1ly,31.6225124884,6.34,4.53,-6.98068708353,-1.3995584989
d20200,zhifmvnodeupdepth,228.825133888,245.82,223.62,-1.0232766921,-1.09927555675
neos-801834,zhifmvcbn21,249.026232231,236.95,236.95,-1.05096531855,1.0
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,204.785650797,205.68,206.28,1.00729713824,1.00291715286
planar150_s,zhifmvmultiple2passf20,447.062590236,200.01,200.01,-2.23520119112,1.0
neos-934531,zhifmvxpsve2str10tr20dvo7,1040.49859762,2600.01,2133.34,2.05030550246,-1.2187508789
qiu,zhifmvltmend1lyroot,313.490308295,1936.94,357.56,1.14057752517,-5.41710482157
n050w4-0,zhifmv,257.686911531,300.99,488.59,1.89606059965,1.62327652081
neos-912023,zhifmvmultiple2passf20,214.73269697,223.53,223.53,1.04096862357,1.0
acc-tight5,zhifmvmultiple4,251.801709139,800.01,1200.01,4.76569441924,1.49999375008
e20200,default,9.85949814149,25.81,25.81,2.61778029973,1.0
mcsched,zhifmvhr0nve1str10tr20dvo7rnd1rns1,208.765847086,238.89,252.89,1.21135714261,1.05860437858
l152lav,zhifmvxpsve1,20.6603338818,26.25,26.31,1.27345473459,1.00228571429
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,115.941843678,333.56,138.19,1.19189065497,-2.41377813156
danoint,zhifmvxpsve1str10tr20dvo7,36.8463900651,87.29,79.14,2.14783591717,-1.10298205711
dfn-gwin-UUM,zhifmvmultiple2ltmend1ly,189.325389136,59.55,30.68,-6.17097096272,-1.94100391134
neos-948346,zhifmvmultiple2passf45,328.854599374,436.01,436.27,1.3266349348,1.0005963166
neos-1330346,zhifmvmultiple2str10tr20dvo7,521.952325,775.0,606.25,1.16150454929,-1.27835051546
lectsched-4-obj,zhifmvmultiple2ltmend1ly,336.602562985,342.86,340.0,1.01009331891,-1.00841176471
n030w4-1,zhifmvmultiple2passt2,231.294978845,258.77,254.57,1.10062916744,-1.01649840908
dcmulti,zhifmvlgmiend1lyltmend1lyrdcifmv,60.7868854548,11.1,13.45,-4.51947103753,1.21171171171
neos-777800,hr0,209.692840017,200.01,200.01,-1.0484117795,1.0
mas74,xpsve2,41.594401211,25.53,22.57,-1.84290656672,-1.13114754098
mas76,str10tr20zhifmvdvo7,17.1847694032,51.96,49.6,2.88627672774,-1.04758064516
mzzv11,cbn21,373.639422123,411.53,411.53,1.10140947564,1.0
qnet1,hr0,20.0727224959,39.91,21.43,1.06761800769,-1.8623425105
neos-1396125,cbn21,174.882866381,4980.93,4980.95,28.4816351829,1.00000401531
br2,zhifmvmultiple2passf20,496.373176768,610.99,865.81,1.74427233486,1.41706083569
rmine6,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,254.4217,202.62,202.53,-1.25621735052,-1.00044437861
neos-1109824,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,403.975424538,299.86,250.98,-1.60959209713,-1.19475655431
mitre,cts0,720.016317566,200.76,207.56,-3.46895508559,1.0338712891
a1c1s1,zhifmvmultiple3,39.9433640081,704.05,832.04,20.8304938921,1.18179106598
neos-538916,zhifmvmultiple4,200.498722222,214.17,347.66,1.73397613784,1.62328990988
rgn,zhifmvhr0nve1str10tr20dvo7rnd1rns1,81.3721803069,273.15,280.78,3.45056503268,1.02793336994
modglob,zhifmvmultiple2residualifmv,157.174192511,3.42,8.22,-19.1209479941,2.40350877193
layer3,cts0,387.843194444,594.09,435.4,1.12261864134,-1.36446945338
pk1,zhifmvmultiple2passf20,1680.74959028,412.27,356.37,-4.71630493666,-1.15685944384
aflow30a,zhifmvhr0nve1str10tr20dvo7rnd1rns1,364.212302564,219.83,133.84,-2.72125151348,-1.64248356246
reblock67,zhifmvhr0nve1str10tr20dvo7,244.16875,116.01,217.81,-1.12101717093,1.87751055943
ns1208400,zhifmvhr0nve1str10tr20dvo7,3280.956,6300.0,6300.0,1.92017204742,1.0
n080w8-1,zhifmvlgmiend1lyltmend1lyrdcifmv,690.564065986,800.6,713.19,1.03276442423,-1.12256201012
enlight14,zhifmvltmend1lyroot,1035.77288235,6300.0,6300.0,6.08241450161,1.0
n030w4-3,zhifmvltmend1lyrootstr10tr20,242.660176159,247.05,252.05,1.03869536399,1.02023881805
n030w4-2,zhifmvmultiple2str10tr20dvo7,251.68519864,221.34,222.34,-1.13198344265,1.00451793621
neos-1120495,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,295.46861039,240.75,321.55,1.08827127043,1.33561786085
app1-2,zhifmvxpsve1str10tr20dvo7,623.8215,5975.61,5942.13,9.52536903585,-1.00563434324
enlight13,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,5139.74834694,1785.34,5660.43,1.10130489236,3.17050533792
tas010,str10tr20zhifmv,304.976135118,626.45,440.12,1.44312931184,-1.42336181042
fast0507,zhifmvrdcifmv,230.607970421,427.79,220.21,-1.04721842978,-1.94264565642
neos-1223462,zhifmvnodedownfewest,213.512202657,400.01,200.01,-1.06750763791,-1.9999500025
neos-686190,zhifmvmultiple2pptn5005043,325.438577957,429.5,697.7,2.14387613288,1.62444703143
yue20023.1.150,zhifmvltmend1lyroot,965.274456522,2278.2,670.14,-1.44040716346,-3.39958814576
d05100,zhifmvmultiple2dvo7,14.0846619551,1.29,1.39,-10.1328503274,1.07751937984
beasleyC3,zhifmvhr0nve1str10tr20dvo7rnd1rns1,368.135445098,385.22,601.42,1.63369218587,1.56123773428
dsbmip,xpsve2,376.009963062,0.02,0.02,-18800.4981531,1.0
ds,prxt1,526.886208463,2169.78,2083.64,3.95462998752,-1.04134111459
protfold,zhifmvlgmiend1lyltmend1ly,238.7272262,2068.42,1413.84,5.92240785648,-1.46298025236
sp98ar,zhifmvmultiple2ltmend1lylgmiend1ly,288.471711386,255.84,225.81,-1.27749750404,-1.13298791019
noswot,zhifmvxpsve2str10tr20dvo7,274.483721825,63.61,62.03,-4.42501566702,-1.02547154603
layer2,cts0,190.557029633,43.92,113.05,-1.68559955447,2.57399817851
neos-960392,zhifmvmultiple3,364.20216157,402.52,400.0,1.09829112017,-1.0063
dano3mip,zhifmvmultiple2passf20,255.566349568,490.66,478.94,1.87403388909,-1.02447070614
neos-555884,zhifmvmultiple2passf20,309.906629198,233.07,243.27,-1.27392045545,1.04376367615
gmu-35-40,zhifmvltmend1lyrootstr10tr20,205.700699748,1.39,1.83,-112.404753961,1.31654676259
neos-916792,zhifmvmultiple2ltmend1lylgmiend1ly,323.0721,279.94,287.02,-1.12560831998,1.02529113381
opm2-z7-s2,zhifmvrdcifmvmultiple2,470.97805303,770.9,807.12,1.71371042622,1.04698404462
zib54-UUE,zhifmvmultiple2passt2,276.374947034,517.01,464.56,1.68090489021,-1.11290253143
