instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2passf45,704.665770037,400.82,400.68,-1.75867467814,-1.00034940601
neos-631694,zhifmvmultiple2passf45,279.060912262,208.7,327.5,1.17357890557,1.56923814087
neos-633273,cbn21,611.526397767,895.73,895.73,1.46474461817,1.0
mkc,default,546.150857745,293.44,293.44,-1.86120112372,1.0
d20200,zhifmvmultiple2passf45,295.035609623,233.94,223.62,-1.31936145972,-1.04614971827
neos-801834,zhifmvmultiple2passf45,409.792243054,295.75,236.95,-1.72944605636,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,210.081132378,205.68,206.28,-1.01842705245,1.00291715286
ds,zhifmvrdcifmvmultiple2,563.321876336,2025.63,2083.64,3.69884445737,1.02863800398
planar150_s,zhifmvmultiple2passf20,509.092994602,200.01,200.01,-2.54533770613,1.0
neos-934531,zhifmvresidualifmv,1121.15744528,1866.67,2133.34,1.9028014388,1.14285867347
qiu,zhifmvnodehybrid,351.346875639,347.58,357.56,1.01768373306,1.02871281432
br2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,484.219724718,646.81,865.81,1.78805190248,1.33858474668
acc-tight5,zhifmvmultiple2dvo7,1168.99831128,800.01,1200.01,1.02652842901,1.49999375008
e20200,zhifmvxpsve1,16.0794650416,12.38,25.81,1.60515290361,2.08481421648
mcsched,zhifmv,254.104127596,249.37,252.89,-1.0048010107,1.01411557124
l152lav,zhifmvmultiple2ltmend1lylgmiend1ly,86.7990277424,26.51,26.31,-3.29908885376,-1.00760167237
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,121.731882189,333.56,138.19,1.1351997317,-2.41377813156
danoint,zhifmvlgmiend1lyltmend1ly,170.363373816,79.11,79.14,-2.15268352054,1.00037921881
dfn-gwin-UUM,zhifmvnodehybrid,721.671969166,30.78,30.68,-23.5225544057,-1.00325945241
neos-948346,zhifmvmultiple2passf45,349.627394222,436.01,436.27,1.24781412215,1.0005963166
neos-1330346,zhifmvxpsve2,1210.7083077,606.25,606.25,-1.99704463126,1.0
lectsched-4-obj,zhifmvmultiple2passf45,362.264940856,375.56,340.0,-1.06548512016,-1.10458823529
liu,zhifmvmultiple2,310.231212235,479.64,447.96,1.4439552899,-1.07072060005
e40400,zhifmvmultiple2passt2,98.2923060753,316.48,302.08,3.07328225435,-1.04766949153
neos-777800,zhifmvmultiple2ltmend1ly,318.985006625,200.01,200.01,-1.59484529086,1.0
mas74,cbn21,44.9907306114,22.57,22.57,-1.99338638065,1.0
mas76,zhifmvltmend1lystr10tr20,21.2491310283,50.71,49.6,2.33421309953,-1.02237903226
glass4,zhifmvmultiple2str10tr20dvo7,665.777476545,851.49,781.78,1.17423617882,-1.08916830822
mzzv11,zhifmvltmend1lyroot,392.608200794,417.41,411.53,1.04819511963,-1.01428814424
qnet1,cbn21,24.9110917426,21.43,21.43,-1.16244011865,1.0
neos-1396125,zhifmvlgmiend1lyltmend1lystr10tr20,324.759411949,1251.62,4980.95,15.3373537971,3.97960243524
tanglegram2,zhifmvhr0nve1str10tr20dvo7,1351.26338544,2223.2,2164.6,1.60190827585,-1.02707197635
rmine6,cbn21,244.788189895,202.16,202.53,-1.2086515079,1.00183023348
bell3a,zhifmvlgmiend1lyltmend1lyrdcifmv,78.0823140949,4.53,4.53,-17.2367139282,1.0
mitre,zhifmvrdcifmvmultiple2,907.541779126,207.56,207.56,-4.37243100369,1.0
fast0507,zhifmvmultiple2residualifmv,605.888998836,220.16,220.21,-2.75141455354,1.00022710756
a1c1s1,zhifmvmultiple2passt2,334.089200286,714.75,832.04,2.49047260219,1.16409933543
neos-538916,zhifmvxpsve2,284.134912903,350.46,347.66,1.22357367649,-1.00805384571
vpphard,str10tr20zhifmvdvo7cbn21,1941.70457808,3532.71,4338.98,2.23462417969,1.22822988584
T1_300_5000_0,zhifmvmultiple2dvo7,98.5954065079,333.32,551.83,5.59691388823,1.65555622225
layer3,cts0,452.838417976,594.09,435.4,-1.04005148823,-1.36446945338
pk1,zhifmvmultiple2residualifmv,1216.21060999,412.27,356.37,-3.41277495296,-1.15685944384
