instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvltmend1lyroot,200.42,400.98,400.68,1.99920167648,-1.00074872716
neos-631694,zhifmvltmend1lyrootstr10tr20,77.99,327.5,327.5,4.19925631491,1.0
neos-633273,zhifmvhr0nve1str10tr20dvo7,920.72,895.73,895.73,-1.02789903207,1.0
bell3a,zhifmvhr0nve1str10tr20dvo7rnd1rns1,2.16333333333,11.14,4.53,2.09399075501,-2.4591611479
d20200,cts0,3.57333333333,219.42,223.62,62.5802238806,1.01914137271
neos-801834,zhifmvmultiple2dvo7,0.02,295.75,236.95,11847.5,-1.24815361891
neos-1337307,zhifmvmultiple2passf20,0.02,205.98,206.28,10314.0,1.00145645208
planar150_s,hr0,444.71,0.02,200.01,-2.22343882806,10000.5
neos-934531,zhifmvpptn5005043,626.543333333,2000.01,2133.34,3.40493607785,1.06666466668
qiu,xpsve2,61.83,393.43,357.56,5.78295325894,-1.10031882761
e40400,zhifmvmultiple4,3.91,352.32,302.08,77.2583120205,-1.16631355932
br2,str10tr20zhifmvdvo7,207.36203125,707.5,865.81,4.17535454674,1.22375971731
acc-tight5,str10tr20zhifmvdvo7,200.01,1600.01,1200.01,5.9997500125,-1.33333055558
e20200,zhifmvmultiple2str10tr20dvo7,0.749999999999,36.84,25.81,34.4133333334,-1.42735373886
mcsched,zhifmvnodedowndepth,23.34,250.14,252.89,10.8350471294,1.01099384345
l152lav,cts0,86.67,29.46,26.31,-3.29418472064,-1.11972633979
blend2,zhifmvhr0nve1str10tr20dvo7,4.4225,182.38,138.19,31.2470322216,-1.31977711846
danoint,zhifmvmultiple2passf45,4.62416666667,77.87,79.14,17.1144350333,1.01630923334
dfn-gwin-UUM,zhifmvmultiple4,27.3666666667,40.0,30.68,1.12107186358,-1.3037809648
neos-948346,zhifmvmultiple2passf20,1.69,482.8,436.27,258.147928994,-1.1066541362
neos-1330346,zhifmvhr0nve1str10tr20dvo7rnd1rns1,34.98,587.5,606.25,17.3313321898,1.03191489362
lectsched-4-obj,zhifmvmultiple2passf45,230.62,375.56,340.0,1.4742867054,-1.10458823529
liu,cbn21,146.345,451.16,447.96,3.06098602617,-1.00714349495
newdano,zhifmvmultiple2passf45,4.62416666667,529.27,563.94,121.954946837,1.06550531865
dcmulti,zhifmvmultiple2passt2,5.595,13.45,13.45,2.40393208222,1.0
rmatr100-p5,zhifmvhr0nve1str10tr20dvo7rnd1rns1,244.75,459.52,507.32,2.07280898876,1.10402158774
