instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2passf20,632.676329762,400.82,400.68,-1.57900651333,-1.00034940601
neos-631694,zhifmvmultiple2passf20,295.391890331,208.7,327.5,1.10869665255,1.56923814087
neos-633273,zhifmvmultiple2passf20,446.414572148,895.73,895.73,2.00649812055,1.0
bell3a,zhifmvmultiple2passf20,195.981828935,6.34,4.53,-43.2630968952,-1.3995584989
n080w8-7,zhifmvmultiple2passf20,666.572995543,447.68,500.75,-1.33114926719,1.11854449607
neos-801834,zhifmvmultiple2ltmend1ly,274.966729514,295.75,236.95,-1.16044198993,-1.24815361891
neos-1337307,zhifmvmultiple2passf20,305.45193087,205.98,206.28,-1.48076367496,1.00145645208
planar150_s,zhifmvmultiple2passf20,421.49660494,200.01,200.01,-2.10737765582,1.0
neos-934531,zhifmvmultiple2passf20,1078.63822736,2133.35,2133.34,1.9778086349,-1.00000468749
qiu,zhifmvmultiple2passf20,180.352258401,1816.38,357.56,1.98256458316,-5.07993064101
n050w4-0,zhifmvmultiple2passf20,479.752069446,360.15,488.59,1.01842187062,1.35662918229
e40400,zhifmvmultiple2passf20,263.253789377,407.4,302.08,1.14748585657,-1.34864936441
acc-tight5,zhifmvmultiple2passf20,287.183422621,600.01,1200.01,4.17854898813,1.99998333361
e20200,zhifmvmultiple2passf20,242.427786398,26.45,25.81,-9.39278521494,-1.02479659047
mcsched,zhifmvmultiple2passf20,211.943572719,264.35,252.89,1.19319494692,-1.04531614536
l152lav,zhifmvmultiple2passf20,215.741693258,26.53,26.31,-8.19998834124,-1.0083618396
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,202.554952844,333.56,138.19,-1.46577142227,-2.41377813156
danoint,zhifmvmultiple2passf20,197.753522793,80.8,79.14,-2.49878092991,-1.02097548648
dfn-gwin-UUM,zhifmvmultiple2passf20,198.669040824,40.26,30.68,-6.47552284304,-1.31225554107
neos-948346,zhifmvmultiple2passf20,359.560411181,482.8,436.27,1.21334269968,-1.1066541362
neos-1330346,zhifmvmultiple2passf20,262.890779735,862.5,606.25,2.30609076747,-1.42268041237
lectsched-4-obj,zhifmvrdcifmvmultiple2,482.907341439,375.56,340.0,-1.42031571011,-1.10458823529
macrophage,zhifmvmultiple2passf20,320.3284909,354.53,401.43,1.25318231567,1.13228781767
n030w4-1,zhifmvmultiple2passf20,361.325265124,259.37,254.57,-1.41935524659,-1.01885532467
dcmulti,zhifmvmultiple2passf20,172.181400297,11.77,13.45,-12.8015911001,1.1427357689
neos-777800,zhifmvmultiple2passf20,221.982430383,200.01,200.01,-1.10985665908,1.0
mas74,zhifmvmultiple2passf20,214.126504441,19.37,22.57,-9.48721774216,1.16520392359
ds,zhifmvmultiple2passf20,535.624853497,2037.61,2083.64,3.89011074896,1.02259019145
gesa2-o,zhifmvmultiple2passf20,197.684210372,2.11,2.11,-93.6891992283,1.0
qnet1,zhifmvmultiple2passf20,213.698781797,37.1,21.43,-9.97194502087,-1.73121791881
neos-1396125,zhifmvmultiple2passf20,228.383809155,565.13,4980.95,21.8095582977,8.81381275105
tanglegram2,zhifmvmultiple2passf20,492.88617638,2120.12,2164.6,4.39168332108,1.02097994453
rmine6,zhifmvmultiple2passf20,316.84022922,201.67,202.53,-1.56441134262,1.00426439232
neos-1109824,zhifmvmultiple2passf20,213.20614551,300.46,250.98,1.17717057076,-1.19714718304
mitre,zhifmvmultiple2passf20,304.803813772,207.56,207.56,-1.46850941305,1.0
a1c1s1,zhifmvmultiple2passf20,251.589174244,666.02,832.04,3.30713752887,1.24927179364
neos-538916,zhifmvmultiple2passf20,204.998142016,307.36,347.66,1.6959178097,1.13111660593
vpphard,zhifmvmultiple2ltmend1lylgmiend1ly,1350.2258959,3830.7,4338.98,3.21352153975,1.13268593208
neos-860244,zhifmvmultiple2passf20,233.698719932,132.25,132.25,-1.76709807132,1.0
noswot,zhifmvmultiple2passf20,183.038406909,97.66,62.03,-2.95080456085,-1.57439948412
pk1,zhifmvmultiple2passf20,184.09311852,412.27,356.37,1.93581380371,-1.15685944384
aflow30a,zhifmvmultiple2passf20,174.864779756,146.21,133.84,-1.30652106811,-1.0924237896
reblock67,zhifmvmultiple2passf20,249.632896872,217.54,217.81,-1.14610392944,1.00124115105
ns1208400,zhifmvmultiple2residualifmv,334.001309904,6300.0,6300.0,18.862201474,1.0
pg5_34,zhifmvmultiple2passf20,106.874990772,214.56,15.99,-6.68386433844,-13.4183864916
neos-859770,zhifmvmultiple2passf20,225.814224896,6300.0,6300.0,27.8990395885,1.0
n030w4-3,zhifmvmultiple2passf20,304.18337443,240.45,252.05,-1.20683743079,1.04824287794
n030w4-2,zhifmvmultiple2passf20,327.48246205,221.34,222.34,-1.47289044729,1.00451793621
neos-1120495,zhifmvmultiple2passf20,248.971423731,242.35,321.55,1.29151368129,1.32680008253
eilC76.2,zhifmvmultiple2passf20,293.763368224,369.42,351.93,1.19800505464,-1.049697383
enlight13,zhifmvmultiple2passf20,371.633145615,5615.53,5660.43,15.2312302247,1.0079956834
tas010,zhifmvmultiple2passf20,341.315853201,500.54,440.12,1.28948009849,-1.13728074162
A-1,zhifmvmultiple2passf20,137.944890093,249.92,252.32,1.82913625746,1.00960307298
neos-1223462,zhifmvmultiple2passf20,262.646159897,1000.01,200.01,-1.31316514123,-4.99980001
neos-686190,zhifmvmultiple2passf20,272.5909714,594.7,697.7,2.55951250483,1.1731965697
eilB76,zhifmvmultiple2passf20,207.174500164,49.61,59.06,-3.50786488594,1.19048578916
yue20023.1.150,zhifmvmultiple2passf20,263.857350709,444.62,670.14,2.5397814319,1.50721964824
n050w4-3,zhifmvmultiple2passf20,482.492132766,248.13,248.73,-1.93982283104,1.00241808729
gen,zhifmvmultiple2passf20,192.767130141,3.37,3.37,-57.2009288253,1.0
protfold,zhifmvmultiple2passf20,247.823389434,1286.84,1413.84,5.70503051882,1.098691368
layer3,zhifmvmultiple2passf20,221.824653697,367.2,435.4,1.96281158448,1.18572984749
layer2,zhifmvmultiple2passf20,179.539145474,494.88,113.05,-1.58813927885,-4.37753206546
neos-960392,zhifmvmultiple2dvo7,381.307127551,410.5,400.0,1.04902313935,-1.02625
dano3mip,zhifmvmultiple2passf20,8.78283108454,490.66,478.94,54.5313914602,-1.02447070614
30n20b8,zhifmvmultiple2passf20,100.604142405,657.84,4961.68,49.3188439502,7.54238112611
sp98ar,zhifmvmultiple2passf20,185.438587222,246.11,225.81,1.21770772406,-1.08989858731
neos-916792,zhifmvmultiple2passf20,189.283655625,294.71,287.02,1.51634856719,-1.02679255801
opm2-z7-s2,zhifmvmultiple2passf20,777.787747631,574.0,807.12,1.03771241249,1.40613240418
zib54-UUE,zhifmvmultiple2passf20,183.084620164,464.01,464.56,2.53740592511,1.00118531928
tr12-30,zhifmvmultiple2passf20,181.121054271,638.16,603.83,3.33384764367,-1.05685375023
