instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-538916,zhifmvnodeupdepth,369.077290822,322.46,347.66,-1.06160412708,1.07814922781
neos-631694,zhifmvnodeupdepth,232.586618774,4327.5,327.5,1.4080775658,-13.213740458
egout,zhifmvhr0nve1str10tr20dvo7,119.279743453,1547.08,1547.08,12.9701821551,1.0
bell3a,zhifmvhr0nve1str10tr20dvo7rnd1rns1,43.7952234042,11.14,4.53,-9.66781973603,-2.4591611479
d20200,zhifmvnodedowndepth,271.025455782,245.82,223.62,-1.21199112683,-1.09927555675
neos-801834,zhifmvmultiple2passf45,263.619148182,295.75,236.95,-1.11255179651,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,218.77594558,205.68,206.28,-1.06057759153,1.00291715286
planar150_s,zhifmvpptn5005043,1171.32254099,200.01,200.01,-5.85631988896,1.0
neos-934531,zhifmvmultiple2passf45,4415.98231975,1666.68,2133.34,-2.06998524368,1.27999376005
e40400,zhifmvmultiple2passf45,164.006793008,279.08,302.08,1.84187492761,1.08241364483
br2,zhifmvrdcifmv,636.554867246,744.01,865.81,1.36014983869,1.16370747705
acc-tight5,zhifmvlgmiend1lyltmend1lystr10tr20,999.203392981,800.01,1200.01,1.2009666985,1.49999375008
e20200,str10tr20zhifmvdvo7,27.0167690876,23.36,25.81,-1.04675587321,1.10488013699
mcsched,zhifmvmultiple2passf45,254.280227529,264.9,252.89,-1.00549736063,-1.04749100399
l152lav,xpsve1,215.824188485,26.25,26.31,-8.20312384967,1.00228571429
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,151.874144291,333.56,138.19,-1.09902412831,-2.41377813156
danoint,str10tr20zhifmvdvo7,82.3985966649,87.29,79.14,-1.04117509053,-1.10298205711
dfn-gwin-UUM,str10tr20zhifmvdvo7,37.5886143915,40.93,30.68,-1.22518299842,-1.33409387223
neos-948346,zhifmvpptn5005043,153.581982284,430.69,436.27,2.84063269345,1.0129559544
neos-1330346,zhifmvmultiple2pptn5005043,651.53944258,850.0,606.25,-1.07470423518,-1.40206185567
lectsched-4-obj,zhifmvltmend1lyroot,360.070251436,320.0,340.0,-1.05903015128,1.0625
liu,zhifmvnodedownfewest,191.485446758,447.96,447.96,2.3393944949,1.0
newdano,str10tr20zhifmvdvo7,91.2096893915,516.76,563.94,6.18289574016,1.09129963619
dcmulti,zhifmvmultiple2passf45,30.0258271959,13.45,13.45,-2.23240350899,1.0
rmatr100-p5,zhifmvlgmiend1lyltmend1ly,644.923906751,536.52,507.32,-1.27123690521,-1.05755736025
rail507,str10tr20zhifmvdvo7,229.925650468,427.68,229.62,-1.00133111431,-1.86255552652
mas74,zhifmvmultiple2passf45,40.2707536476,17.3,22.57,-1.78426024136,1.30462427746
gen,zhifmvrdcifmvmultiple2,425.459418085,3.37,3.37,-126.249085485,1.0
eilC76,zhifmvltmend1lyroot,226.806200264,420.28,424.74,1.87270012683,1.01061197297
gesa2-o,zhifmvmultiple2passf45,7.75186431228,2.11,2.11,-3.67386934231,1.0
qnet1,str10tr20zhifmvdvo7,25.952419337,51.49,21.43,-1.21103216692,-2.40270648623
neos-1396125,xpsve1,911.098363757,4980.93,4980.95,5.46697282987,1.00000401531
rmine6,str10tr20zhifmvdvo7,259.071305911,202.2,202.53,-1.27917496623,1.00163204748
mitre,zhifmvmultiple2passt2,1133.15981919,207.56,207.56,-5.4594325457,1.0
fast0507,zhifmvmultiple4,323.238183301,421.01,220.21,-1.46786332728,-1.9118568639
a1c1s1,str10tr20zhifmvdvo7,336.249991445,640.07,832.04,2.47446846444,1.29992032121
sprint_hint01_j,zhifmvmultiple2pptn5005043,510.508793819,325.19,362.87,-1.4068641492,1.11587072173
