instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,str10tr20zhifmvrdcifmv,533.439303878,400.58,400.68,-1.33133499021,1.00024963802
neos-631694,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,208.700005942,207.5,327.5,1.5692380962,1.57831325301
neos-633273,zhifmvhr0nve1str10tr20dvo7,920.720000008,895.73,895.73,-1.02789903208,1.0
bell3a,zhifmvrdcifmvmultiple2,0.372313775227,6.34,4.53,12.1671565798,-1.3995584989
d20200,zhifmvmultiple2passf20,133.859066094,233.94,223.62,1.67056297735,-1.04614971827
neos-801834,cbn21,236.951006732,236.95,236.95,-1.00000424871,1.0
neos-1337307,zhifmvmultiple2pptn5005043,205.68,205.77,206.28,1.00291715286,1.00247849541
planar150_s,zhifmvmultiple2passf45,207.203020897,200.01,200.01,-1.03596330632,1.0
neos-934531,str10tr20zhifmvdvo7,0.0,1400.01,2133.34,2133.34,1.5238034014
qiu,zhifmvrdcifmvmultiple2,126.135558154,1845.74,357.56,2.83472801194,-5.16204273409
n050w4-0,zhifmvnodedownfewest,239.500587909,300.37,488.59,2.04003674591,1.62662715984
br2,zhifmvrdcifmvmultiple2,224.517831751,524.8,865.81,3.85630839764,1.64979039634
acc-tight5,zhifmvltmend1lyroot,330.05394524,1000.01,1200.01,3.6357995937,1.19999800002
e20200,zhifmvmultiple4,1.48760279803,11.62,25.81,17.3500614776,2.22117039587
mcsched,zhifmvcbn21,252.132819089,257.37,252.89,1.00300310334,-1.01771521215
neos-1599274,zhifmvlgmiend1lyltmend1lystr10tr20,24.1601813384,255.02,255.02,10.5553843503,1.0
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,108.997062962,333.56,138.19,1.26783232727,-2.41377813156
danoint,zhifmvxpsve1str10tr20dvo7,49.3111304492,87.29,79.14,1.60491149319,-1.10298205711
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1ly,340.136128229,86.37,30.68,-11.0865752356,-2.81518904824
neos-948346,zhifmvmultiple2residualifmv,400.000062275,455.8,436.27,1.09067483019,-1.04476585601
neos-1330346,zhifmvcbn21,623.054601885,625.0,606.25,-1.02771893094,-1.03092783505
lectsched-4-obj,zhifmvmultiple2passf45,350.35505918,375.56,340.0,-1.03045605641,-1.10458823529
liu,zhifmvnodeupfewest,55.3320130711,442.24,447.96,8.09585581903,1.0129341534
e40400,zhifmvxpsve1,200.560442106,537.48,302.08,1.50617936832,-1.77926377119
rmatr100-p5,zhifmvhr0nve1str10tr20dvo7,245.100797139,459.52,507.32,2.06984230946,1.10402158774
mas74,str10tr20zhifmvrdcifmv,6.0643939264,19.77,22.57,3.72172393052,1.1416287304
mas76,zhifmvxpsve2str10tr20dvo7,14.3749269764,51.96,49.6,3.45045231058,-1.04758064516
eilC76,zhifmvltmend1lyroot,154.174816594,420.28,424.74,2.75492463284,1.01061197297
mzzv11,zhifmvlgmiend1lyltmend1lystr10tr20,400.000143839,425.18,411.53,1.02882463004,-1.03316890628
qnet1,zhifmvrdcifmvmultiple2,9.61913960796,28.1,21.43,2.22784998174,-1.31124591694
neos-1396125,zhifmvrdcifmv,338.29407326,939.09,4980.95,14.7237282404,5.30401771928
tanglegram2,zhifmvmultiple2passt2,4174.47656464,2113.49,2164.6,-1.92852100371,1.02418274986
rmine6,zhifmvmultiple2ltmend1ly,329.923912427,202.18,202.53,-1.62901255333,1.00173113068
neos-1109824,cts0,240.191006762,558.78,250.98,1.04491838968,-2.22639254124
mitre,zhifmvhr0nve1str10tr20dvo7,12.6539171834,207.56,207.56,16.4028258596,1.0
fast0507,zhifmvrdcifmvmultiple2,214.85097995,228.93,220.21,1.02494296303,-1.03959856501
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,332.318841687,533.24,832.04,2.50374007016,1.56034806091
neos-538916,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,68.249983933,159.39,347.66,5.0939206131,2.18119078989
rgn,zhifmvnodedepth,488.987077923,280.78,280.78,-1.74153101333,1.0
T1_300_5000_0,zhifmvrdcifmv,113.159041513,548.57,551.83,4.87658778849,1.00594272381
layer3,cts0,381.316218537,594.09,435.4,1.14183446398,-1.36446945338
pk1,zhifmvxpsve1str10tr20dvo7,3556.86504453,506.25,356.37,-9.98082062052,-1.4205741224
aflow30a,zhifmvmultiple2passf45,28.8243914229,139.86,133.84,4.64328970685,-1.0449790795
n080w8-1,zhifmvmultiple2passf20,448.22294022,704.3,713.19,1.5911501532,1.01262246202
ns1208400,zhifmvhr0nve1str10tr20dvo7,6299.97065667,6300.0,6300.0,1.00000465769,1.0
pg5_34,zhifmvmultiple2ltmend1lylgmiend1ly,375.688881229,214.5,15.99,-23.4952396016,-13.4146341463
neos-859770,zhifmvxpsve2str10tr20dvo7,1016.56680635,6300.0,6300.0,6.19733003343,1.0
30n20b8,zhifmvhr0nve1str10tr20dvo7,198.733667575,1329.87,4961.68,24.9664793114,3.7309511456
n030w4-2,zhifmvlgmiend1lyltmend1lyrdcifmv,250.601551937,221.34,222.34,-1.12710961562,1.00451793621
neos-1120495,xpsve1,244.538436607,321.55,321.55,1.31492621145,1.0
eilC76.2,cts0,280.235387327,216.61,351.93,1.25583711378,1.62471723374
enlight13,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,6299.99991865,1785.34,5660.43,-1.11298963482,3.17050533792
tas010,zhifmvhr0nve1str10tr20dvo7,400.001296522,528.75,440.12,1.1002964336,-1.20137689721
neos-632335,zhifmvltmend1lyroot,895.73,920.72,920.72,1.02789903207,1.0
neos-1223462,zhifmvmultiple2passt2,414.352763041,800.01,200.01,-2.0716602322,-3.9998500075
neos-686190,xpsve1,4200.00999998,454.5,697.7,-6.01979360754,1.53509350935
yue20023.1.150,zhifmvltmend1lyroot,1408.60352823,2278.2,670.14,-2.10195411142,-3.39958814576
neos-931538,zhifmvmultiple2passt2,414.214869755,456.46,485.08,1.17108301855,1.06269990799
ds,zhifmvmultiple2passt2,596.629060882,2354.92,2083.64,3.49235418891,-1.13019523526
protfold,cts0,6299.92790355,1531.23,1413.84,-4.45589876051,-1.08302919708
sp98ar,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,212.579821866,245.7,225.81,1.06223628385,-1.08808290155
noswot,zhifmvnodedepth,441.875057677,60.76,62.03,-7.12357017052,1.02090190915
layer2,str10tr20zhifmvrdcifmv,37.1831384534,47.65,113.05,3.04035658909,2.37250786988
neos-960392,zhifmvcbn21,401.94304291,406.3,400.0,-1.00485760727,-1.01575
dano3mip,zhifmvlgmiend1lyltmend1lyrdcifmv,1147.04612057,466.08,478.94,-2.3949683062,1.02759182973
n030w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,236.434900436,236.65,252.05,1.06604397039,1.06507500528
gmu-35-40,zhifmvxpsve2str10tr20dvo7,40.9909611516,1.63,1.83,-22.3994323233,1.1226993865
neos-916792,zhifmvlgmiend1lyltmend1lyrdcifmv,399.713183083,272.33,287.02,-1.3926318134,1.05394190871
opm2-z7-s2,zhifmvltmend1lystr10tr20,6300.0,757.11,807.12,-7.80553077609,1.06605380988
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,534.940513158,451.93,464.56,-1.15149929645,1.02794680592
tr12-30,zhifmvlgmiend1lyltmend1lystr10tr20,133.255138766,435.34,603.83,4.53138247117,1.38703082648
