instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
nw04,zhifmvmultiple4,760.90974557,268.67,268.67,-2.83213513072,1.0
neos-633273,zhifmvmultiple4,827.799093333,895.73,895.73,1.08206206942,1.0
core2536-691,zhifmvmultiple4,996.435278287,401.7,401.98,-2.47881804639,1.00069703759
bell3a,zhifmvmultiple4,464.423714032,6.34,4.53,-102.521791177,-1.3995584989
d20200,zhifmvmultiple4,516.798771832,232.29,223.62,-2.31105791893,-1.03877112959
neos-801834,zhifmvmultiple4,603.975700207,295.75,236.95,-2.54895843092,-1.24815361891
neos-1337307,zhifmvmultiple4,648.637846476,206.13,206.28,-3.14445339575,1.00072769611
ds,zhifmvmultiple4,1168.12340546,2280.6,2083.64,1.78374989342,-1.09452688564
planar150_s,zhifmvmultiple4,398.238342447,200.01,200.01,-1.99109215763,1.0
neos-934531,zhifmvmultiple4,1490.98141876,2066.69,2133.34,1.43082936726,1.03224963589
qiu,zhifmvmultiple4,459.541724638,393.32,357.56,-1.28521569705,-1.10001118693
acc-tight5,zhifmvmultiple4,700.770078299,800.01,1200.01,1.71241615069,1.49999375008
neos10,zhifmvmultiple4,1456.35623407,491.96,440.2,-3.30839671529,-1.11758291686
e20200,zhifmvmultiple4,591.138406257,11.62,25.81,-22.9034640162,2.22117039587
mcsched,zhifmvmultiple2passf45,535.769910037,264.9,252.89,-2.11858875415,-1.04749100399
neos16,zhifmvmultiple4,494.79084253,227.25,216.43,-2.28614721864,-1.04999306935
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,495.552575325,333.56,138.19,-3.58602341215,-2.41377813156
danoint,zhifmvmultiple4,544.095784293,86.03,79.14,-6.87510467897,-1.08706090473
dfn-gwin-UUM,zhifmvmultiple4,528.597605636,40.0,30.68,-17.2293874067,-1.3037809648
neos-948346,zhifmvmultiple4,562.832528912,469.11,436.27,-1.29010137968,-1.07527448598
neos-1330346,zhifmvmultiple4,588.92610586,843.75,606.25,1.02941607439,-1.39175257732
lectsched-4-obj,zhifmvmultiple2passf45,837.025307087,375.56,340.0,-2.46183913849,-1.10458823529
n030w4-1,zhifmvmultiple4,907.062808604,257.77,254.57,-3.56311744748,-1.01257021644
e40400,zhifmvmultiple4,654.886115208,352.32,302.08,-2.16792278604,-1.16631355932
neos-777800,zhifmvmultiple4,545.438897599,200.01,200.01,-2.72705813509,1.0
mas74,zhifmvmultiple4,553.335554124,19.8,22.57,-24.516417994,1.1398989899
mas76,zhifmvmultiple4,496.010130327,45.78,49.6,-10.0002042405,1.08344255133
gesa2-o,zhifmvmultiple2passf45,536.372321656,2.11,2.11,-254.20489178,1.0
qnet1,zhifmvmultiple4,545.482928394,21.51,21.43,-25.4541730469,-1.00373308446
neos-1396125,zhifmvmultiple4,524.469863797,402.84,4980.95,9.49711383595,12.3645864363
rmine6,zhifmvmultiple4,684.257410655,202.21,202.53,-3.37854841581,1.00158251323
mitre,zhifmvmultiple4,739.260384508,207.56,207.56,-3.56167076753,1.0
a1c1s1,zhifmvmultiple4,498.697547592,786.33,832.04,1.66842609116,1.05813081022
sprint_hint01_j,zhifmvmultiple4,904.171402659,308.55,362.87,-2.49172266282,1.17604926268
vpphard,zhifmvmultiple2ltmend1lylgmiend1ly,1744.23368662,3830.7,4338.98,2.48761392083,1.13268593208
long_hidden01,zhifmvmultiple4,1916.26336644,3690.72,3237.46,1.68946505825,-1.14000481859
layer3,zhifmvmultiple4,584.610054319,374.67,435.4,-1.34269649591,1.16208930526
pk1,zhifmvmultiple4,464.641154192,479.51,356.37,-1.30381669106,-1.34553974801
eilD76.2,zhifmvmultiple4,709.78659384,446.9,543.29,-1.30645989037,1.21568583576
stein45,zhifmvmultiple4,594.729112363,504.48,496.5,-1.19784312661,-1.01607250755
reblock67,zhifmvmultiple4,531.960039625,217.57,217.81,-2.44231228881,1.00110309326
layer2,zhifmvmultiple4,501.195364479,40.05,113.05,-4.43339552834,2.822721598
pg5_34,zhifmvmultiple4,444.975162094,214.37,15.99,-27.8283403436,-13.406504065
n030w4-0,zhifmvmultiple4,751.88939447,229.48,429.59,-1.75024882905,1.87201499041
n030w4-3,zhifmvmultiple4,820.385732549,233.45,252.05,-3.25485313449,1.07967444849
n030w4-2,zhifmvmultiple4,829.163468431,648.14,222.34,-3.72925910062,-2.91508500495
neos-1120495,zhifmvmultiple4,610.520899659,243.15,321.55,-1.89868107498,1.32243471108
eilC76.2,zhifmvmultiple4,675.81032735,297.1,351.93,-1.92029758006,1.18455065634
enlight13,zhifmvmultiple4,1068.13424914,5647.7,5660.43,5.29936195246,1.00225401491
sprint01_j,zhifmvmultiple4,750.728373414,230.85,227.76,-3.29613792331,-1.01356691254
neos-1223462,zhifmvmultiple4,611.027829997,1000.01,200.01,-3.05498640066,-4.99980001
neos-686190,zhifmvmultiple4,572.612183462,594.7,697.7,1.21845119638,1.1731965697
yue20023.1.150,zhifmvmultiple4,621.609599673,573.62,670.14,1.07807215389,1.16826470486
d05100,zhifmvmultiple4,542.569472422,1.12,1.39,-390.337749944,1.24107142857
