instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2str10tr20dvo7,896.143908404,401.14,400.68,-2.23655762305,-1.00114804832
neos-631694,zhifmvmultiple2ltmend1ly,226.262355924,247.5,327.5,1.44743476511,1.32323232323
egout,str10tr20zhifmvdvo7,182.426010763,1547.08,1547.08,8.48058888932,1.0
bell3a,str10tr20zhifmvdvo7,237.327188258,4.53,4.53,-52.3901077832,1.0
d20200,zhifmvmultiple2passf45,319.256668622,233.94,223.62,-1.42767493347,-1.04614971827
neos-801834,zhifmvmultiple2passf45,321.215902519,295.75,236.95,-1.35562735817,-1.24815361891
neos-1337307,zhifmvlgmiend1lyltmend1lystr10tr20,208.671057364,207.76,206.28,-1.01159131939,-1.00717471398
planar150_s,zhifmvmultiple2dvo7,490.66064195,200.01,200.01,-2.45318055072,1.0
neos-934531,zhifmvpptn5005043,1152.08859968,2000.01,2133.34,1.8517152245,1.06666466668
qiu,zhifmvhr0nve1str10tr20dvo7rnd1rns1,277.306004125,377.34,357.56,1.28940590785,-1.05531938696
br2,zhifmvpptn5005043,840.870396145,542.06,865.81,1.02965927207,1.59725860606
acc-tight5,xpsve2,935.484784829,2400.01,1200.01,1.28276805723,-1.99999166674
neos10,zhifmvmultiple2str10tr20dvo7,559.836150695,491.37,440.2,-1.27177680758,-1.11624261699
e20200,zhifmvmultiple2passf45,23.231198228,47.36,25.81,1.11100597338,-1.83494769469
mcsched,zhifmvmultiple2passf45,246.448463308,264.9,252.89,1.02613745935,-1.04749100399
neos-1599274,zhifmvpptn5005043,249.053695171,255.02,255.02,1.02395589764,1.0
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,156.018064065,333.56,138.19,-1.12901124586,-2.41377813156
danoint,zhifmvxpsve1,466.661044218,78.44,79.14,-5.89665206239,1.00892401836
dfn-gwin-UUM,zhifmvhr0nve1str10tr20dvo7rnd1rns1,701.576512964,66.16,30.68,-22.8675525738,-2.15645371578
neos-948346,str10tr20zhifmvdvo7,325.903484325,544.5,436.27,1.3386478543,-1.24808031723
neos-1330346,zhifmvmultiple2passf45,3201.53810256,856.25,606.25,-5.28088759185,-1.41237113402
lectsched-4-obj,zhifmvmultiple2passf45,393.353855693,375.56,340.0,-1.15692310498,-1.10458823529
liu,zhifmvrdcifmv,252.431115792,515.88,447.96,1.7745831317,-1.15162068042
newdano,zhifmvxpsve1,116.374816179,547.55,563.94,4.84589379831,1.02993333942
e40400,zhifmvmultiple2passf45,565.478046633,279.08,302.08,-1.87194798276,1.08241364483
rmatr100-p5,str10tr20zhifmvrdcifmv,748.143871469,648.51,507.32,-1.47469816185,-1.27830560593
mas74,zhifmvmultiple4,46.7589675658,19.8,22.57,-2.07173095108,1.1398989899
ds,zhifmvmultiple2passf45,612.906528563,2160.06,2083.64,3.39960483842,-1.03667620126
eilC76,zhifmvltmend1lyroot,241.491016129,420.28,424.74,1.75882319272,1.01061197297
gesa2-o,str10tr20zhifmvdvo7,7.24417023379,2.11,2.11,-3.43325603497,1.0
qnet1,str10tr20zhifmvdvo7,37.3199613839,51.49,21.43,-1.74148209911,-2.40270648623
neos-1396125,zhifmvpptn5005043,455.314898704,4980.94,4980.95,10.9395717429,1.00000200765
rmine6,zhifmvnodeupfewest,284.794428844,202.99,202.53,-1.40618391766,-1.00227126845
mitre,zhifmvmultiple2passf45,2146.87303796,207.56,207.56,-10.3433852282,1.0
fast0507,zhifmvpptn5005043,278.78428235,220.21,220.21,-1.2659928357,1.0
a1c1s1,zhifmvmultiple2passf45,754.037518639,683.15,832.04,1.10344641935,1.21794627827
stp3d,zhifmvmultiple2ltmend1lylgmiend1ly,1659.99838139,5403.3,5403.3,3.25500317384,1.0
vpphard,zhifmvmultiple4,2306.00775903,3855.03,4338.98,1.88159817894,1.12553728505
neos-860244,zhifmvmultiple4,832.437790096,381.12,132.25,-6.294425634,-2.8818147448
ash608gpia-3col,zhifmvmultiple4,783.169214317,6300.0,6300.0,8.04423856918,1.0
noswot,zhifmvpptn5005043,224.832299251,68.31,62.03,-3.62457358134,-1.10124133484
pk1,str10tr20zhifmvdvo7,2299.4048422,506.25,356.37,-6.45229632742,-1.4205741224
stein45,zhifmvmultiple4,1078.13958605,504.48,496.5,-2.1714795288,-1.01607250755
reblock67,zhifmvmultiple2str10tr20dvo7,381.56968818,219.93,217.81,-1.75184650925,-1.00973325375
layer2,str10tr20zhifmvdvo7,288.214549086,130.25,113.05,-2.54944315866,-1.15214506855
n030w4-1,zhifmvmultiple2str10tr20dvo7,273.209576974,258.77,254.57,-1.07321984906,-1.01649840908
n030w4-0,zhifmvhr0nve1str10tr20dvo7rnd1rns1,281.574763824,433.68,429.59,1.52566939653,-1.00952070579
30n20b8,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,536.065545041,2342.24,4961.68,9.25573382937,2.11834824783
n030w4-2,zhifmvmultiple2ltmend1lylgmiend1ly,267.036788806,648.14,222.34,-1.20102900425,-2.91508500495
neos-1120495,zhifmvmultiple2dvo7,768.995051658,243.15,321.55,-2.39152558438,1.32243471108
app1-2,zhifmvpptn5005043,1216.63785943,5942.13,5942.13,4.88405810648,1.0
enlight13,zhifmvnodeupfewest,4478.56662066,5660.35,5660.43,1.26389322286,1.0000141334
sprint01_j,zhifmvmultiple2passf45,508.620782153,221.22,227.76,-2.23314358163,1.02956333062
neos-1223462,zhifmvmultiple2passf45,320.264027704,1200.01,200.01,-1.60124007652,-5.9997500125
neos-686190,zhifmvresidualifmv,1292.79230731,228.7,697.7,-1.85293436622,3.05072146917
