instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-1223462,zhifmvhr0nve1str10tr20dvo7,201.99,600.01,200.01,-1.00989950502,-2.999900005
neos-631694,str10tr20zhifmvdvo7,208.7,329.0,327.5,1.56923814087,-1.00458015267
egout,str10tr20zhifmvdvo7,11.14,1547.08,1547.08,138.876122083,1.0
core2536-691,str10tr20zhifmvdvo7,270.4,402.61,401.98,1.48661242604,-1.00156724215
bell3a,str10tr20zhifmvdvo7,13.07,4.53,4.53,-2.88520971302,1.0
n080w8-7,str10tr20zhifmvdvo7,744.21,493.27,500.75,-1.48619071393,1.01516410891
neos-801834,zhifmvnodeupfewest,236.95,236.95,236.95,1.0,1.0
neos-1337307,str10tr20zhifmvdvo7,205.68,207.0,206.28,1.00291715286,-1.0034904014
planar150_s,str10tr20zhifmvdvo7,972.96,200.01,200.01,-4.86455677216,1.0
neos-934531,str10tr20zhifmvdvo7,792.08,1400.01,2133.34,2.69333905666,1.5238034014
qiu,str10tr20zhifmvdvo7,97.66,1975.34,357.56,3.66127380709,-5.52449938472
e40400,str10tr20zhifmvdvo7,401.48,244.12,302.08,-1.32905190678,1.2374242176
br2,str10tr20zhifmvdvo7,543.59,707.5,865.81,1.59276292794,1.22375971731
acc-tight5,str10tr20zhifmvdvo7,630.93,1600.01,1200.01,1.90197010762,-1.33333055558
e20200,str10tr20zhifmvdvo7,1.48,23.36,25.81,17.4391891892,1.10488013699
mcsched,zhifmvmultiple2ltmend1lylgmiend1ly,240.46,280.84,252.89,1.0516925892,-1.1105223615
neos16,str10tr20zhifmvdvo7,410.0,417.28,216.43,-1.89437693481,-1.92801367648
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,119.32,333.56,138.19,1.15814616158,-2.41377813156
danoint,str10tr20zhifmvdvo7,114.15,87.29,79.14,-1.44238059136,-1.10298205711
dfn-gwin-UUM,str10tr20zhifmvdvo7,1551.06,40.93,30.68,-50.5560625815,-1.33409387223
neos-948346,str10tr20zhifmvdvo7,400.01,544.5,436.27,1.09064773381,-1.24808031723
neos-1330346,str10tr20zhifmvdvo7,2.53,600.0,606.25,239.624505929,1.01041666667
lectsched-4-obj,zhifmvpptn5005043,350.0,443.64,340.0,-1.02941176471,-1.30482352941
liu,str10tr20zhifmvdvo7,0.02,360.65,447.96,22398.0,1.24209066962
newdano,str10tr20zhifmvdvo7,49.03,516.76,563.94,11.5019375892,1.09129963619
dcmulti,str10tr20zhifmvdvo7,79.05,13.45,13.45,-5.87732342007,1.0
neos-777800,str10tr20zhifmvdvo7,775.57,200.01,200.01,-3.87765611719,1.0
mas74,str10tr20zhifmvdvo7,5.75,17.2,22.57,3.9252173913,1.31220930233
ds,str10tr20zhifmvdvo7,983.11,1980.28,2083.64,2.11943729593,1.05219463914
gesa2-o,str10tr20zhifmvdvo7,2.11,2.11,2.11,1.0,1.0
qnet1,zhifmvpptn5005043,14.92,57.08,21.43,1.43632707775,-2.66355576295
neos-1396125,prxt1,95.51,4980.93,4980.95,52.1510836562,1.00000401531
rmine6,str10tr20zhifmvdvo7,222.16,202.2,202.53,-1.09692391251,1.00163204748
mitre,str10tr20zhifmvdvo7,204.75,207.56,207.56,1.01372405372,1.0
a1c1s1,str10tr20zhifmvdvo7,1.71,640.07,832.04,486.573099415,1.29992032121
neos-538916,str10tr20zhifmvdvo7,231.64,312.46,347.66,1.50086340874,1.11265441977
rgn,str10tr20zhifmvdvo7,4.53,280.78,280.78,61.9823399558,1.0
modglob,zhifmvltmend1lyrootstr10tr20,4.24,8.22,8.22,1.93867924528,1.0
noswot,str10tr20zhifmvdvo7,4.53,59.07,62.03,13.6931567329,1.05011003894
pk1,zhifmvltmend1lyrootstr10tr20,3589.45,506.25,356.37,-10.0722563628,-1.4205741224
aflow30a,str10tr20zhifmvdvo7,61.17,135.04,133.84,2.18800065392,-1.00896592947
reblock67,str10tr20zhifmvdvo7,217.61,216.31,217.81,1.00091907541,1.00693449216
ns1208400,str10tr20zhifmvdvo7,6300.0,6300.0,6300.0,1.0,1.0
pg5_34,str10tr20zhifmvdvo7,225.72,15.55,15.99,-14.1163227017,1.02829581994
enlight14,zhifmvpptn5005043,5520.43,6300.0,6300.0,1.1412154488,1.0
30n20b8,str10tr20zhifmvdvo7,207.98,1707.82,4961.68,23.8565246658,2.9052710473
n030w4-2,str10tr20zhifmvdvo7,250.97,221.54,222.34,-1.12876675362,1.00361108603
neos-1120495,str10tr20zhifmvdvo7,322.01,243.15,321.55,-1.00143057067,1.32243471108
app1-2,str10tr20zhifmvdvo7,603.8,5952.19,5942.13,9.84122225903,-1.00169299561
enlight13,str10tr20zhifmvdvo7,6300.0,5643.41,5660.43,-1.1129896492,1.00301590705
tas010,str10tr20zhifmvdvo7,400.0,626.45,440.12,1.1003,-1.42336181042
n030w4-3,str10tr20zhifmvdvo7,266.73,247.05,252.05,-1.05824241222,1.02023881805
fast0507,zhifmvnodeupfewest,220.01,220.37,220.21,1.00090904959,-1.00072657917
neos-912023,str10tr20zhifmvdvo7,223.53,366.33,223.53,1.0,-1.6388404241
neos-686190,str10tr20zhifmvdvo7,327.5,427.9,697.7,2.13038167939,1.6305211498
yue20023.1.150,str10tr20zhifmvdvo7,2133.34,2231.2,670.14,-3.18342435909,-3.32945354702
n050w4-3,zhifmvhr0nve1str10tr20dvo7,375.37,507.9,248.73,-1.50914646404,-2.04197322398
gen,str10tr20zhifmvdvo7,4200.01,3.37,3.37,-1246.29376855,1.0
