instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,str10tr20zhifmvdvo7,263.805741171,329.0,327.5,1.24144379325,-1.00458015267
neos-633273,str10tr20zhifmvdvo7,840.146061036,895.73,895.73,1.06615985189,1.0
bell3a,str10tr20zhifmvdvo7,268.434671401,4.53,4.53,-59.2571018546,1.0
d20200,zhifmvmultiple4,256.503981982,232.29,223.62,-1.14705295583,-1.03877112959
neos-801834,zhifmvmultiple2passf45,303.423557018,295.75,236.95,-1.28053832884,-1.24815361891
neos-1337307,str10tr20zhifmvdvo7,275.139332334,207.0,206.28,-1.33381487461,-1.0034904014
planar150_s,str10tr20zhifmvdvo7,275.910373369,200.01,200.01,-1.3794828927,1.0
neos-934531,str10tr20zhifmvdvo7,3022.25926966,1400.01,2133.34,-1.41667960553,1.5238034014
qiu,str10tr20zhifmvdvo7,273.959373036,1975.34,357.56,1.30515702397,-5.52449938472
br2,str10tr20zhifmvdvo7,257.026345478,707.5,865.81,3.36856518887,1.22375971731
acc-tight5,str10tr20zhifmvdvo7,364.903141885,1600.01,1200.01,3.28857130087,-1.33333055558
e20200,zhifmvhr0nve1str10tr20dvo7rnd1rns1,256.139845548,202.4,25.81,-9.92405445751,-7.84192173576
mcsched,zhifmvhr0nve1str10tr20dvo7rnd1rns1,300.428506763,238.89,252.89,-1.18798096707,1.05860437858
l152lav,str10tr20zhifmvdvo7,277.852631147,26.46,26.31,-10.5607233427,-1.00570125428
blend2,str10tr20zhifmvdvo7,277.444515905,139.56,138.19,-2.00770327741,-1.00991388668
danoint,zhifmvlgmiend1lyltmend1ly,1498.41216142,79.11,79.14,-18.9336891763,1.00037921881
dfn-gwin-UUM,str10tr20zhifmvdvo7,264.101714488,40.93,30.68,-8.60826970301,-1.33409387223
neos-948346,str10tr20zhifmvdvo7,273.959373036,544.5,436.27,1.59246239749,-1.24808031723
neos-1330346,str10tr20zhifmvdvo7,299.788610545,600.0,606.25,2.02225828025,1.01041666667
lectsched-4-obj,zhifmvmultiple4,259.238164708,360.0,340.0,1.3115352841,-1.05882352941
liu,str10tr20zhifmvdvo7,272.370458888,360.65,447.96,1.64467175269,1.24209066962
newdano,zhifmvlgmiend1lyltmend1ly,1498.41216142,542.3,563.94,-2.65704181547,1.03990411212
dcmulti,str10tr20zhifmvdvo7,275.139332334,13.45,13.45,-20.4564559356,1.0
rmatr100-p5,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,459.52,507.32,2.01278458101,1.10402158774
mas74,str10tr20zhifmvdvo7,264.101714488,17.2,22.57,-11.7014494678,1.31220930233
ds,str10tr20zhifmvdvo7,822.077948572,1980.28,2083.64,2.53460149809,1.05219463914
eilC76,str10tr20zhifmvdvo7,268.142323518,424.02,424.74,1.58400954548,1.00169803311
gesa2-o,str10tr20zhifmvdvo7,270.545585497,2.11,2.11,-128.220656634,1.0
qnet1,zhifmvmultiple2str10tr20dvo7,848.539515635,37.1,21.43,-39.5958710049,-1.73121791881
neos-1396125,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,355.05,4980.95,19.7618453023,14.0288691734
rmine6,str10tr20zhifmvdvo7,294.963557856,202.2,202.53,-1.45639440012,1.00163204748
mitre,str10tr20zhifmvdvo7,959.730261516,207.56,207.56,-4.62386905722,1.0
fast0507,str10tr20zhifmvdvo7,268.142323518,223.14,220.21,-1.21766642531,-1.01330548113
a1c1s1,str10tr20zhifmvdvo7,279.425114316,640.07,832.04,2.97768510192,1.29992032121
neos-538916,str10tr20zhifmvdvo7,275.139332334,312.46,347.66,1.26357797357,1.11265441977
rgn,str10tr20zhifmvdvo7,275.139332334,280.78,280.78,1.02050113162,1.0
long_hidden01,zhifmvmultiple2ltmend1lylgmiend1ly,3513.3265,3522.68,3237.46,-1.08521078253,-1.08809993019
noswot,str10tr20zhifmvdvo7,260.128557001,59.07,62.03,-4.19359272934,1.05011003894
pk1,str10tr20zhifmvdvo7,275.341730167,506.25,356.37,1.29428256219,-1.4205741224
aflow30a,str10tr20zhifmvdvo7,275.139332334,135.04,133.84,-2.05573320632,-1.00896592947
reblock67,str10tr20zhifmvdvo7,301.610097771,216.31,217.81,-1.38473944158,1.00693449216
layer2,str10tr20zhifmvdvo7,258.830432363,130.25,113.05,-2.28952173695,-1.15214506855
n030w4-1,str10tr20zhifmvdvo7,287.416948126,266.17,254.57,-1.12902913983,-1.04556703461
n030w4-0,zhifmvhr0nve1str10tr20dvo7rnd1rns1,288.50330751,433.68,429.59,1.48902972277,-1.00952070579
30n20b8,zhifmvhr0nve1str10tr20dvo7rnd1rns1,276.810733825,1329.87,4961.68,17.9244494295,3.7309511456
n030w4-2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,256.503981982,221.34,222.34,-1.15365648098,1.00451793621
neos-1120495,str10tr20zhifmvdvo7,959.730261516,243.15,321.55,-2.98469992697,1.32243471108
app1-2,xpsve2,264.518839965,4554.38,5942.13,22.4639197752,1.30470667797
enlight13,str10tr20zhifmvdvo7,6254.73558912,5643.41,5660.43,-1.10499301098,1.00301590705
tas010,zhifmvhr0nve1str10tr20dvo7rnd1rns1,281.279509458,528.22,440.12,1.56470693812,-1.20017268018
n030w4-3,zhifmvhr0nve1str10tr20dvo7rnd1rns1,281.279509458,243.65,252.05,-1.11596710755,1.03447568233
A-1,str10tr20zhifmvdvo7,483.505667438,252.32,252.32,-1.9162399629,1.0
neos-1223462,cts0,252.048830653,200.01,200.01,-1.26018114421,1.0
neos-686190,str10tr20zhifmvdvo7,399.702422751,427.9,697.7,1.74554858887,1.6305211498
yue20023.1.150,zhifmvhr0nve1str10tr20dvo7rnd1rns1,256.503981982,2300.0,670.14,2.61259102031,-3.43211866177
n050w4-3,xpsve2,298.647528571,312.18,248.73,-1.20068961754,-1.25509588711
gen,str10tr20zhifmvdvo7,854.971074322,3.37,3.37,-253.700615526,1.0
protfold,zhifmvmultiple2str10tr20dvo7,259.589758161,1325.63,1413.84,5.44643983652,1.06654194609
layer3,str10tr20zhifmvdvo7,270.545585497,413.38,435.4,1.60934061888,1.0532681794
ns1208400,zhifmvmultiple2passf45,6162.114322,6300.0,6300.0,1.02237635831,1.0
neos-960392,str10tr20zhifmvdvo7,253.010052688,411.76,400.0,1.58096485001,-1.0294
dano3mip,str10tr20zhifmvdvo7,1559.45276921,467.26,478.94,-3.25605038044,1.0249967898
neos-555884,zhifmvlgmiend1lyltmend1ly,264.518839965,237.27,243.27,-1.08734673394,1.02528764698
sp98ar,str10tr20zhifmvdvo7,291.226255272,227.33,225.81,-1.2896960067,-1.00673132279
neos-916792,str10tr20zhifmvdvo7,275.139332334,268.26,287.02,1.04318054989,1.06993215537
opm2-z7-s2,str10tr20zhifmvdvo7,261.79888738,751.47,807.12,3.08297719703,1.07405485249
zib54-UUE,str10tr20zhifmvdvo7,257.026345478,383.02,464.56,1.80744117548,1.21288705551
tr12-30,str10tr20zhifmvdvo7,268.142323518,625.62,603.83,2.25190112504,-1.03608631568
layer4,str10tr20zhifmvdvo7,270.704252433,574.43,574.43,2.12198365869,1.0
neos-1595230,str10tr20zhifmvdvo7,268.722097048,272.23,272.26,1.01316565698,1.00011020093
neos-957323,str10tr20zhifmvdvo7,267.817965393,400.0,400.0,1.493551784,1.0
lseu,str10tr20zhifmvdvo7,276.875644766,123.07,123.07,-2.24974116166,1.0
gt2,str10tr20zhifmvdvo7,269.098042828,764.62,764.62,2.8414179158,1.0
neos-1437164,zhifmvhr0nve1str10tr20dvo7rnd1rns1,264.518839965,0.02,97.24,-2.72026779068,4862.0
neos-641591,str10tr20zhifmvdvo7,271.070572792,321.8,200.76,-1.35022202029,-1.60290894601
neos-1622252,str10tr20zhifmvdvo7,268.312805553,733.29,733.29,2.73296683879,1.0
bnatt350,str10tr20zhifmvdvo7,296.339237577,4200.01,4200.01,14.1729797051,1.0
e10400,str10tr20zhifmvdvo7,268.722097048,6.05,5.32,-50.5116723774,-1.13721804511
a10100,str10tr20zhifmvdvo7,275.139332334,2.32,2.32,-118.594539799,1.0
neos-799838,zhifmvhr0nve1str10tr20dvo7rnd1rns1,782.509539973,463.06,398.06,-1.96580801882,-1.16329196604
flugpl,str10tr20zhifmvdvo7,264.518839965,27.1,27.1,-9.76084280315,1.0
neos-957389,zhifmvmultiple2str10tr20dvo7,848.539515635,400.0,400.0,-2.12134878909,1.0
neos-849702,str10tr20zhifmvdvo7,965.467943417,2000.01,4200.01,4.35023247394,2.09999450003
neos-957143,str10tr20zhifmvdvo7,270.483054296,400.0,400.0,1.47883571132,1.0
air05,str10tr20zhifmvdvo7,822.077948572,234.28,233.48,-3.52097802198,-1.00342641768
pdistuchoa,zhifmvmultiple2str10tr20dvo7,2154.30827044,930.89,792.08,-2.71981147162,-1.17524744975
ns1766074,str10tr20zhifmvdvo7,262.59121099,6300.0,6300.0,23.9916636061,1.0
timtab2,str10tr20zhifmvdvo7,849.0212883,1448.87,1415.83,1.667602473,-1.02333613499
t1717,str10tr20zhifmvdvo7,2119.77706043,774.4,720.96,-2.94021452013,-1.07412339103
timtab1,zhifmvmultiple2ltmend1lylgmiend1ly,258.830432363,674.49,920.38,3.55591879826,1.36455692449
neos-1441553,zhifmvhr0nve1str10tr20dvo7rnd1rns1,259.589758161,295.76,204.56,-1.26901524326,-1.44583496285
neos1,str10tr20zhifmvdvo7,259.891260896,196.56,172.96,-1.50260904773,-1.13644773358
a05100,str10tr20zhifmvdvo7,260.128557001,0.43,0.43,-604.950132561,1.0
p0548,str10tr20zhifmvdvo7,260.128557001,2023.78,2023.78,7.77992244808,1.0
disctom,zhifmvmultiple4,2956.65488214,200.01,200.01,-14.7825352839,1.0
vpm2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,111.72,110.03,-2.29072826187,-1.01535944742
pigeon-10,str10tr20zhifmvdvo7,267.817965393,210.01,210.01,-1.27526291792,1.0
mik-250-1-100-1,str10tr20zhifmvdvo7,834.553163387,6.59,5.89,-141.689840982,-1.11884550085
nw04,zhifmvmultiple2passf45,757.537489457,268.67,268.67,-2.81958346468,1.0
harp2,zhifmvmultiple2str10tr20dvo7,2135.9849005,3.01,5.18,-412.352297393,1.72093023256
irp,str10tr20zhifmvdvo7,276.875644766,203.1,202.1,-1.36999329424,-1.00494804552
c20400,str10tr20zhifmvdvo7,267.85425761,203.87,203.71,-1.31488025924,-1.00078543027
m100n500k4r1,str10tr20zhifmvdvo7,290.843964443,92.01,92.01,-3.16100385222,1.0
neos-709469,str10tr20zhifmvdvo7,268.722097048,200.01,200.01,-1.34354330807,1.0
mkc,str10tr20zhifmvdvo7cbn21,459.796135258,254.21,293.44,-1.56691703673,1.15432123048
csched010,zhifmvmultiple2passf45,326.334540169,614.6,679.06,2.08087075198,1.10488122356
cov1075,str10tr20zhifmvdvo7,258.830432363,191.64,193.81,-1.33548543606,1.01132331455
modglob,zhifmvhr0nve1str10tr20dvo7rnd1rns1,259.589758161,6.23,8.22,-31.58026255,1.31942215088
bley_xl1,zhifmvmultiple4,840.146061036,774.8,405.0,-2.07443471861,-1.91308641975
trd445c,str10tr20zhifmvdvo7,261.79888738,266.36,266.36,1.01742220017,1.0
stp3d,str10tr20zhifmvdvo7,849.932641413,5403.3,5403.3,6.35732731833,1.0
A-2,zhifmvpptn5005043,661.76228323,303.39,638.65,-1.03618927931,2.10504631003
netdiversion,str10tr20zhifmvdvo7,5506.11990826,976.47,842.34,-6.53669528724,-1.15923498825
dsbmip,zhifmvmultiple2passf45,367.039615041,0.02,0.02,-18351.980752,1.0
a20200,str10tr20zhifmvdvo7,260.128557001,1.48,1.48,-175.762538514,1.0
bs24_t,cts0,454.964858961,944.69,1248.74,2.74469549769,1.3218516127
iis-pima-cov,str10tr20zhifmvdvo7,279.75726815,508.05,477.45,1.7066580724,-1.06409048068
fiber,str10tr20zhifmvdvo7,399.702422751,149.96,117.96,-3.38845729698,-1.27127839946
neos-1597104,zhifmvmultiple2str10tr20dvo7,2154.30827044,400.0,400.0,-5.3857706761,1.0
nug08,str10tr20zhifmvdvo7,252.048830653,283.91,283.91,1.12640871717,1.0
aflow40b,str10tr20zhifmvdvo7,268.142323518,266.39,314.99,1.17471198081,1.18243928075
triptim1,zhifmvmultiple2passf20,256.503981982,400.4,400.4,1.56098941196,1.0
mine-166-5,str10tr20zhifmvdvo7,253.010052688,231.08,240.72,-1.05105538671,1.04171715423
sprint_hint01_j,str10tr20zhifmvdvo7,261.663968026,369.67,362.87,1.38677863344,-1.01873949348
glass4,zhifmvhr0nve1str10tr20dvo7rnd1rns1,264.518839965,956.83,781.78,2.95547946642,-1.22391209803
T2_300_1000_0,str10tr20zhifmvdvo7,276.875644766,31.93,31.93,-8.67133243865,1.0
neos-1281048,str10tr20zhifmvdvo7,267.85425761,394.92,228.52,-1.17212610542,-1.72816383686
neos-1109824,str10tr20zhifmvdvo7,290.838326533,300.46,250.98,-1.15881076792,-1.19714718304
eilD76,str10tr20zhifmvdvo7,275.139332334,456.65,456.07,1.65759652076,-1.0012717346
neos-825075,str10tr20zhifmvdvo7,277.852631147,126.16,45.76,-6.07195435199,-2.75699300699
sprint_hidden01_j,zhifmvmultiple4,262.606603056,404.59,804.73,3.06439362391,1.9890012111
neos-662469,str10tr20zhifmvdvo7,271.070572792,321.8,200.77,-1.35015476811,-1.60282910793
rentacar,str10tr20zhifmvdvo7,252.048830653,261.51,261.51,1.03753704916,1.0
p2756,str10tr20zhifmvdvo7,267.817965393,2.53,3.16,-84.752520694,1.24901185771
eilA76,str10tr20zhifmvdvo7,277.852631147,343.52,344.03,1.23817434652,1.00148462972
vpm1,str10tr20zhifmvdvo7,260.128557001,481.33,481.33,1.85035432307,1.0
biella1,str10tr20zhifmvdvo7,253.010052688,403.7,403.67,1.59547020251,-1.00007431813
neos-1440225,zhifmvmultiple2str10tr20dvo7,264.101714488,2600.01,200.01,-1.32044255031,-12.99940003
stdc6262p,zhifmvhr0nve1str10tr20dvo7rnd1rns1,840.146061036,402.0,400.68,-2.09680059158,-1.00329439952
map20,str10tr20zhifmvdvo7,841.592814809,722.93,749.8,-1.1224230659,1.03716819056
10teams,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,200.76,200.76,-1.25547335452,1.0
core2536-691,zhifmvlgmiend1lyltmend1lyrdcifmv,1589.37864929,401.79,401.98,-3.95387494226,1.00047288384
neos-820879,str10tr20zhifmvdvo7,4244.2154522,227.73,215.53,-19.6919939322,-1.056604649
rococoC10-001000,str10tr20zhifmvdvo7,6254.73558912,119.2,140.29,-44.5843295254,1.1769295302
a10200,str10tr20zhifmvdvo7,267.85425761,0.02,0.02,-13392.7128805,1.0
e40400,str10tr20zhifmvdvo7,256.503981982,244.12,302.08,1.17768152239,1.2374242176
set1ch,str10tr20zhifmvdvo7,268.142323518,60.78,60.95,-4.39938184607,1.00279697269
binkar10_1,str10tr20zhifmvdvo7,299.410660006,2.38,2.38,-125.802798322,1.0
neos-808214,str10tr20zhifmvdvo7,354.799416783,1100.0,700.0,1.97294574593,-1.57142857143
neos-777800,zhifmvhr0nve1str10tr20dvo7rnd1rns1,257.026345478,200.01,200.01,-1.28506747402,1.0
p0033,str10tr20zhifmvdvo7,270.704252433,386.41,386.41,1.42742493525,1.0
n080w8-1,str10tr20zhifmvdvo7,260.753425629,914.15,713.19,2.73511267696,-1.28177624476
egout,zhifmvlgmiend1lyltmend1lyrdcifmv,258.830432363,1547.08,1547.08,5.97719513072,1.0
d10100,str10tr20zhifmvdvo7,268.722097048,18.26,19.95,-13.4697793006,1.09255202629
eilD76.2,str10tr20zhifmvdvo7,268.722097048,624.9,543.29,2.02175409454,-1.15021443428
draw-product,str10tr20zhifmvdvo7,329.914872255,614.27,550.18,1.667642311,-1.11648914901
tanglegram2,str10tr20zhifmvdvo7,285.077591124,2164.6,2164.6,7.59302052281,1.0
tanglegram1,zhifmvmultiple4,2359.23801923,6387.8,6397.0,2.71146868093,1.00144024547
bab5,str10tr20zhifmvdvo7,275.910373369,917.88,506.33,1.83512491327,-1.81280982758
markshare2,str10tr20zhifmvdvo7,275.341730167,4007.65,4048.0,14.7017308184,1.01006824448
neos-950242,zhifmvmultiple4,317.012150708,1817.88,675.0,2.1292559244,-2.69315555556
neos-1601936,str10tr20zhifmvdvo7,399.702422751,811.9,1066.67,2.6686603315,1.31379480232
yue20013.1.150,str10tr20zhifmvdvo7,496.306603685,2093.2,2300.0,4.63423211161,1.09879610166
mas76,str10tr20zhifmvdvo7,260.128557001,51.96,49.6,-5.24452735889,-1.04758064516
eilA101.2,str10tr20zhifmvdvo7,268.722097048,1015.14,641.07,2.3856244315,-1.58350882119
p0282,str10tr20zhifmvdvo7,276.875644766,47.52,6.82,-40.5976018718,-6.96774193548
neos-1224597,str10tr20zhifmvdvo7,264.101714488,200.01,200.01,-1.32044255031,1.0
markshare1,str10tr20zhifmvdvo7,3454.15360406,3553.13,3612.07,1.04571782672,1.01658819126
bienst2,str10tr20zhifmvdvo7,262.59121099,49.85,59.19,-4.43641174168,1.18736208626
iis-100-0-cov,str10tr20zhifmvdvo7,268.312805553,571.98,634.17,2.36354727346,1.10872757789
neos-912023,str10tr20zhifmvdvo7,259.589758161,366.33,223.53,-1.16131954619,-1.6388404241
neos-791021,str10tr20zhifmvdvo7,329.914872255,228.89,228.89,-1.44136865855,1.0
p0201,str10tr20zhifmvdvo7,268.722097048,52.74,53.14,-5.05687047512,1.00758437619
mzzv11,str10tr20zhifmvdvo7,6254.73558912,422.03,411.53,-15.1987354242,-1.02551454329
neos-780889,str10tr20zhifmvdvo7,5429.82680556,400.0,400.0,-13.5745670139,1.0
mod008,str10tr20zhifmvdvo7,4218.48957111,28.57,28.57,-147.654517715,1.0
draw-gemcutter,str10tr20zhifmvdvo7,276.875644766,42.64,45.96,-6.02427425513,1.07786116323
eilB76,str10tr20zhifmvdvo7,276.875644766,55.06,59.06,-4.68804004006,1.07264802034
atlanta-ip,str10tr20zhifmvdvo7,264.518839965,673.64,659.09,2.49165617121,-1.02207589252
neos-785914,str10tr20zhifmvdvo7,294.963557856,0.02,0.02,-14748.1778928,1.0
neos-957270,str10tr20zhifmvdvo7,283.8426761,400.0,400.0,1.40923135836,1.0
neos-1620770,zhifmvhr0nve1str10tr20dvo7rnd1rns1,846.334506782,789.97,537.5,-1.57457582657,-1.46971162791
macrophage,zhifmvlgmiend1lyltmend1lyrdcifmv,1574.20834821,401.35,401.43,-3.92150150266,1.00019932727
neos-941313,zhifmvmultiple2passf45,408.425645233,600.0,800.0,1.958740861,1.33333333333
neos-506428,zhifmvlgmiend1lyltmend1lyrdcifmv,264.101714488,3028.33,2995.0,11.3403277438,-1.01112854758
neos-655508,str10tr20zhifmvdvo7,303.423557018,0.02,0.02,-15171.1778509,1.0
neos-810286,zhifmvpptn5005043,256.503981982,200.01,200.01,-1.28245578712,1.0
neos8,str10tr20zhifmvdvo7,291.302458082,428.8,428.8,1.47200954919,1.0
beasleyC3,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,385.22,601.42,2.38612493635,1.56123773428
c05100,str10tr20zhifmvdvo7,290.843964443,3.58,3.79,-76.7398323069,1.05865921788
qnet1_o,str10tr20zhifmvdvo7,306.932167968,19.12,19.12,-16.0529376552,1.0
seymour,str10tr20zhifmvdvo7,279.75726815,452.32,459.3,1.64178040141,1.01543155288
misc06,zhifmvmultiple2passf45,367.039615041,1551.12,1551.27,4.22643751909,1.00009670432
misc07,str10tr20zhifmvdvo7,264.518839965,1070.04,847.44,3.20370375173,-1.26267346361
br5,zhifmvpptn5005043,264.518839965,862.52,814.72,3.08000745847,-1.05867046347
n080w8-7,str10tr20zhifmvdvo7,854.246047045,493.27,500.75,-1.7059331943,1.01516410891
br3,zhifmvpptn5005043,256.139845548,563.83,588.96,2.29936891989,1.04457017186
neos-565815,str10tr20zhifmvdvo7,259.983911329,505.52,500.12,1.92365749651,-1.01079740862
br1,str10tr20zhifmvdvo7,977.06042682,372.91,579.76,-1.68528430182,1.55469148052
opt1217,str10tr20zhifmvdvo7,268.142323518,233.32,233.32,-1.14924705777,1.0
neos-860244,str10tr20zhifmvdvo7,303.423557018,402.45,132.25,-2.29431801148,-3.04310018904
rail507,str10tr20zhifmvdvo7,263.196361627,427.68,229.62,-1.14622577139,-1.86255552652
neos18,zhifmvlgmiend1lyltmend1lyrdcifmv,1583.47582474,400.0,393.75,-4.02152590411,-1.01587301587
enigma,str10tr20zhifmvdvo7,2119.43208296,0.02,200.01,-10.5966305833,10000.5
neos-948268,zhifmvhr0nve1str10tr20dvo7rnd1rns1,253.010052688,400.01,200.01,-1.26498701409,-1.9999500025
bl15_t,str10tr20zhifmvdvo7,264.101714488,307.84,210.99,-1.25172621683,-1.45902649415
neos16,str10tr20zhifmvdvo7,267.85425761,417.28,216.43,-1.23760226221,-1.92801367648
neos10,str10tr20zhifmvdvo7,261.79888738,478.6,440.2,1.68144335679,-1.08723307587
neos13,str10tr20zhifmvdvo7,296.339237577,357.77,359.69,1.21377784104,1.00536657629
mod011,str10tr20zhifmvdvo7,253.010052688,278.58,277.78,1.09790104009,-1.00287997696
mod010,str10tr20zhifmvdvo7,277.852631147,5.05,5.05,-55.0203229994,1.0
eilC76.2,str10tr20zhifmvdvo7,270.545585497,367.86,351.93,1.30081590263,-1.04526468332
d05100,str10tr20zhifmvdvo7,268.142323518,1.52,1.39,-192.908146416,-1.09352517986
gmu-35-40,str10tr20zhifmvdvo7,267.85425761,2.08,1.83,-146.368446781,-1.13661202186
n050w4-0,zhifmvlgmiend1lyltmend1lyrdcifmv,1583.47582474,355.26,488.59,-3.24090919737,1.37530259528
pp08a,str10tr20zhifmvdvo7,267.85425761,146.16,145.37,-1.84256901431,-1.00543440875
air03,zhifmvhr0nve1str10tr20dvo7rnd1rns1,257.026345478,7.99,207.98,-1.23582241311,26.0300375469
mine-90-10,zhifmvmultiple2str10tr20dvo7,252.048830653,225.11,220.41,-1.14354535027,-1.02132389637
rd-rplusc-21,zhifmvmultiple2passf45,437.110557757,3821.39,4400.0,10.0661032362,1.1514134909
air04,zhifmvhr0nve1str10tr20dvo7rnd1rns1,257.026345478,219.47,218.87,-1.17433337359,-1.00274135331
neos-934278,str10tr20zhifmvdvo7,267.817965393,528.73,579.54,2.16393250225,1.09609819757
neos-631710,str10tr20zhifmvdvo7,5503.85371901,4400.0,4400.0,-1.25087584523,1.0
neos-905856,str10tr20zhifmvdvo7,978.173303927,2792.02,1745.06,1.78399879959,-1.59995644849
unitcal_7,cts0,253.010052688,4222.66,808.3,3.19473472067,-5.22412470617
ran16x16,str10tr20zhifmvdvo7,267.85425761,29.77,31.87,-8.4045891939,1.0705408129
vpphard,str10tr20zhifmvdvo7,3020.60288812,3429.9,4338.98,1.43646158092,1.26504562815
d801600,cts0,454.964858961,480.0,418.47,-1.08721021569,-1.14703562979
neos-1599274,str10tr20zhifmvdvo7,273.959373036,255.02,255.02,-1.07426622632,1.0
neos-1516309,str10tr20zhifmvdvo7,263.196361627,24.16,24.16,-10.8938891402,1.0
sprint01_j,str10tr20zhifmvdvo7,260.567098877,247.28,227.76,-1.14404240813,-1.08570425009
neos-1354092,zhifmvhr0nve1str10tr20dvo7rnd1rns1,264.518839965,4401.86,981.96,3.71224975933,-4.48272842071
neos-956971,str10tr20zhifmvdvo7,259.891260896,406.33,400.0,1.53910523432,-1.015825
neos-631784,str10tr20zhifmvdvo7,6287.18799353,552.01,538.34,-11.6788423553,-1.02539287439
layer,str10tr20zhifmvdvo7,270.545585497,45.25,47.65,-5.67776674705,1.05303867403
medium_hidden05,zhifmvmultiple4,264.518839965,2998.8,3386.33,12.8018480666,1.12922835801
mzzv42z,str10tr20zhifmvdvo7,252.048830653,400.0,401.0,1.59096155678,1.0025
manna81,str10tr20zhifmvdvo7,840.045978746,21.01,21.01,-39.9831498689,1.0
eil33-2,str10tr20zhifmvdvo7,303.423557018,248.65,223.28,-1.35893746425,-1.11362414905
sp97ic,str10tr20zhifmvdvo7,294.963557856,214.14,233.31,-1.26425595926,1.08952087419
sp98ir,zhifmvhr0nve1str10tr20dvo7rnd1rns1,264.161394591,227.57,201.74,-1.30941506192,-1.12803608605
gesa3,str10tr20zhifmvdvo7,267.981168064,0.43,0.43,-623.212018753,1.0
gesa2,str10tr20zhifmvdvo7,276.875644766,1.4,1.51,-183.36135415,1.07857142857
neos-1620807,str10tr20zhifmvdvo7,290.843964443,416.74,416.74,1.43286452857,1.0
rmatr100-p10,str10tr20zhifmvdvo7,311.195378301,331.15,378.43,1.21605276423,1.14277517741
khb05250,str10tr20zhifmvdvo7,273.959373036,0.22,0.22,-1245.26987744,1.0
