instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,str10tr20zhifmvdvo7,1724.51604587,400.79,400.68,-4.30397335997,-1.00027453329
neos-631694,str10tr20zhifmvdvo7,240.82928696,329.0,327.5,1.35988443986,-1.00458015267
neos-633273,zhifmvpptn5005043,-20.0833850731,895.73,895.73,-44.600548998,1.0
bell3a,zhifmvxpsve2str10tr20dvo7,32.5436791237,4.53,4.53,-7.18403512664,1.0
d20200,zhifmvmultiple4,-1898.20572028,232.29,223.62,-0.11780598784,-1.03877112959
neos-801834,zhifmvmultiple2passf45,351.107166952,295.75,236.95,-1.48177745074,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,249.539192026,205.68,206.28,-1.20971103367,1.00291715286
planar150_s,str10tr20zhifmvdvo7,-724.700205367,200.01,200.01,-0.275989986644,1.0
neos-934531,zhifmvmultiple4,5241.07833125,2066.69,2133.34,-2.45674779044,1.03224963589
n050w4-0,str10tr20zhifmvdvo7,469.883502256,509.28,488.59,1.03981092687,-1.04234634356
br2,zhifmvmultiple4,308.254421046,703.71,865.81,2.80875128104,1.23035057055
acc-tight5,zhifmvmultiple4,70.725861094,800.01,1200.01,16.9670610076,1.49999375008
e20200,zhifmvmultiple4,49.2328238331,11.62,25.81,-1.90750964096,2.22117039587
mcsched,zhifmvmultiple2passf45,244.304278565,264.9,252.89,1.03514355739,-1.04749100399
l152lav,zhifmvmultiple4,24.9293972849,226.39,26.31,1.05538050917,-8.60471303687
blend2,zhifmvnodedepth,43.0145313074,338.18,138.19,3.21263526068,-2.44721036254
danoint,zhifmvmultiple4,129.434076929,86.03,79.14,-1.63550766905,-1.08706090473
dfn-gwin-UUM,zhifmvnodedepth,40.3176254834,30.73,30.68,-1.31413381628,-1.00162972621
neos-948346,zhifmvmultiple4,598.519232746,469.11,436.27,-1.37190096212,-1.07527448598
neos-1330346,zhifmvmultiple4,5260.05099256,843.75,606.25,-8.67637277124,-1.39175257732
lectsched-4-obj,zhifmvmultiple2passf45,411.916795445,375.56,340.0,-1.2115199866,-1.10458823529
