instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvnodeupfewest,614.885720115,327.5,327.5,-1.87751364921,1.0
egout,zhifmvmultiple2passf20,757.594603825,1547.08,1547.08,2.04209479871,1.0
vpphard,zhifmvmultiple2ltmend1lylgmiend1ly,240.134220919,3830.7,4338.98,18.0689781881,1.13268593208
bell3a,zhifmvmultiple2str10tr20,709.069969435,6.34,4.53,-156.527587072,-1.3995584989
d20200,cts0,390.519966581,219.42,223.62,-1.74635527493,1.01914137271
neos-801834,zhifmvmultiple2passf45,504.507964971,295.75,236.95,-2.12917478359,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,506.116469515,205.68,206.28,-2.4535411553,1.00291715286
planar150_s,zhifmvnodehybrid,671.562138095,200.01,200.01,-3.35764280833,1.0
neos-934531,zhifmvrdcifmv,597.990337118,1200.01,2133.34,3.56751584027,1.7777685186
br2,zhifmvmultiple2residualifmv,178.850305802,610.99,865.81,4.84097578764,1.41706083569
acc-tight5,zhifmvltmend1lyrootstr10tr20,650.337585228,1400.01,1200.01,1.84521089855,-1.16666527779
e20200,str10tr20zhifmv,590.198038108,23.36,25.81,-22.8670297601,1.10488013699
mcsched,cts0,393.475170369,251.95,252.89,-1.55591431203,1.00373089899
neos16,zhifmvpptn5005043,631.170250361,416.95,216.43,-2.91627893712,-1.92648893407
blend2,zhifmvmultiple2passf45,504.922973413,138.18,138.19,-3.65383148863,1.00007236937
danoint,zhifmvmultiple2residualifmv,177.099776127,80.52,79.14,-2.23780359018,-1.01743745262
dfn-gwin-UUM,zhifmvmultiple2passf45,504.868843161,57.59,30.68,-16.4559596858,-1.87711864407
neos-948346,default,640.934028048,436.27,436.27,-1.46912239679,1.0
neos-1330346,zhifmvmultiple2residualifmv,177.95832471,825.0,606.25,3.40669648913,-1.36082474227
lectsched-4-obj,zhifmvmultiple2passf45,199.731137896,375.56,340.0,1.70228840421,-1.10458823529
liu,str10tr20zhifmv,589.994544924,360.65,447.96,-1.31706970472,1.24209066962
newdano,zhifmvmultiple2residualifmv,177.1555268,547.5,563.94,3.18330458094,1.03002739726
e40400,cts0,389.762040874,477.47,302.08,-1.29026099336,-1.58060778602
rmatr100-p5,zhifmvnodeupfewest,614.890882276,507.32,507.32,-1.21203753504,1.0
mas74,zhifmvmultiple2passf45,505.012758024,17.3,22.57,-22.3753991149,1.30462427746
ds,zhifmvmultiple2residualifmv,634.410375015,2033.82,2083.64,3.28437251668,1.02449577642
gesa2-o,zhifmvmultiple2passf20,189.045493546,2.11,2.11,-89.5950206378,1.0
qnet1,zhifmvmultiple2residualifmv,176.825538956,37.1,21.43,-8.2513083974,-1.73121791881
neos-1396125,zhifmvnodeupfewest,615.116137718,4978.88,4980.95,8.09757652999,1.00041575615
rmine6,zhifmvmultiple2passf45,504.877793974,201.71,202.53,-2.49285436219,1.00406524218
mitre,zhifmvmultiple2passf45,504.374592909,207.56,207.56,-2.4300182738,1.0
a1c1s1,zhifmvmultiple2dvo7,503.554365258,665.62,832.04,1.65233400285,1.25002253538
sprint_hint01_j,zhifmvmultiple2passf45,643.473955471,347.91,362.87,-1.77329058746,1.04299962634
rgn,zhifmvmultiple2passf20,757.587974851,295.48,280.78,-2.69815504969,-1.05235415628
long_hidden01,hr0,4234.95386156,5351.17,3237.46,-1.30811001883,-1.6528914643
ash608gpia-3col,zhifmvmultiple2residualifmv,188.207020714,6300.0,6300.0,33.4737778437,1.0
noswot,cts0,393.88320454,77.23,62.03,-6.3498823882,-1.24504272126
pk1,cbn21,630.068254612,356.37,356.37,-1.76801710192,1.0
stein45,str10tr20zhifmvdvo7cbn21,529.315812102,563.3,496.5,-1.06609428419,-1.13454179255
reblock67,zhifmvpptn5005043,631.332906252,218.53,217.81,-2.89854876384,-1.00330563335
layer2,zhifmvmultiple2passf20,757.6219945,494.88,113.05,-6.70165408669,-4.37753206546
pg5_34,str10tr20zhifmvdvo7cbn21,556.339013541,15.54,15.99,-34.79293393,1.02895752896
n030w4-0,zhifmvmultiple2ltmend1lylgmiend1ly,608.807656574,229.68,429.59,-1.41718302701,1.87038488332
n030w4-3,zhifmvmultiple2passf45,646.568750165,235.85,252.05,-2.5652400324,1.06868772525
n030w4-2,cts0,386.755684763,248.81,222.34,-1.73947865774,-1.11905190249
neos-1120495,zhifmvmultiple2passf45,504.852547419,245.35,321.55,-1.57005923626,1.31057672712
neos-506428,zhifmvmultiple2passf45,504.700553366,2628.33,2995.0,5.93421184111,1.13950683514
enlight13,zhifmvmultiple2ltmend1lylgmiend1ly,2480.30630888,5610.51,5660.43,2.28214957957,1.00889758685
neos-632335,zhifmvmultiple2passf45,648.140428802,920.72,920.72,1.42055634718,1.0
neos-1223462,prxt1,614.840292503,200.01,200.01,-3.07404776012,1.0
neos-686190,cbn21,622.869284163,697.7,697.7,1.12013871568,1.0
eilB101,zhifmvpptn5005043,631.106054968,293.71,290.46,-2.17278129508,-1.01118914825
yue20023.1.150,cts0,394.278436047,2300.0,670.14,1.69966180935,-3.43211866177
n050w4-3,zhifmvrdcifmv,602.418309969,291.94,248.73,-2.42197688244,-1.17372251035
gen,str10tr20zhifmvdvo7cbn21,532.169079114,3.37,3.37,-157.913673328,1.0
protfold,zhifmvpptn5005043,631.163638792,1170.09,1413.84,2.24005299593,1.20831730892
layer3,str10tr20zhifmvdvo7cbn21,582.211652897,467.06,435.4,-1.33718799471,-1.07271474506
ns1208400,zhifmvmultiple2passf45,615.942890611,6300.0,6300.0,10.2282209861,1.0
neos-960392,zhifmvmultiple2passf20,588.747715199,410.5,400.0,-1.471869288,-1.02625
dano3mip,zhifmvresidualifmv,496.61596502,478.93,478.94,-1.03690642882,1.00002087988
neos-555884,zhifmvmultiple2str10tr20,708.866145931,235.42,243.27,-2.91390695906,1.03334466061
sp98ar,str10tr20zhifmvdvo7cbn21,626.045195703,229.83,225.81,-2.77244229973,-1.01780257739
neos-916792,zhifmvmultiple2passf20,757.56208114,294.71,287.02,-2.63940520222,-1.02679255801
opm2-z7-s2,zhifmvmultiple2passf20,760.786060444,574.0,807.12,1.06090271886,1.40613240418
zib54-UUE,zhifmvmultiple2residualifmv,171.250326159,525.24,464.56,2.71275395744,-1.13061821939
tr12-30,str10tr20zhifmv,590.072357428,629.52,603.83,1.02331517889,-1.04254508719
n050w4-0,zhifmvmultiple2passf20,690.552257396,360.15,488.59,-1.41335732904,1.35662918229
