instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2passf20,298.72402841,208.7,327.5,1.09632961815,1.56923814087
egout,zhifmvmultiple2passf20,189.637075263,1547.08,1547.08,8.15810936682,1.0
core2536-691,zhifmvmultiple4,437.807008534,401.7,401.98,-1.08912634592,1.00069703759
bell3a,default,196.682118688,4.53,4.53,-43.4176862445,1.0
d20200,zhifmvmultiple4,196.910482912,232.29,223.62,1.13564294136,-1.03877112959
neos-801834,default,277.530934681,236.95,236.95,-1.17126370408,1.0
neos-1337307,zhifmvmultiple2passf20,316.634411878,205.98,206.28,-1.53497387957,1.00145645208
planar150_s,default,420.349315789,200.01,200.01,-2.10164149687,1.0
neos-934531,default,1083.93312719,2133.34,2133.34,1.9681472468,1.0
e40400,zhifmvmultiple4,275.449369941,352.32,302.08,1.09668067153,-1.16631355932
br2,default,382.947891016,865.81,865.81,2.26090812957,1.0
acc-tight5,zhifmvmultiple4,293.547478891,800.01,1200.01,4.08795880153,1.49999375008
e20200,default,245.092960807,25.81,25.81,-9.49604652488,1.0
mcsched,zhifmvmultiple2passf20,223.297305431,264.35,252.89,1.1325259815,-1.04531614536
neos16,zhifmvmultiple4,213.466734943,227.25,216.43,1.0138816245,-1.04999306935
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,204.969958166,333.56,138.19,-1.48324739971,-2.41377813156
danoint,default,199.943013484,79.14,79.14,-2.52644697351,1.0
dfn-gwin-UUM,default,203.786397356,30.68,30.68,-6.64232064394,1.0
neos-948346,default,369.090953998,436.27,436.27,1.18201217146,1.0
neos-1330346,default,265.168073323,606.25,606.25,2.28628579754,1.0
lectsched-4-obj,zhifmvmultiple4,481.307633663,360.0,340.0,-1.41561068724,-1.05882352941
liu,default,235.200266699,447.96,447.96,1.90458967708,1.0
newdano,default,197.528328887,563.94,563.94,2.85498289373,1.0
dcmulti,zhifmvmultiple2passf20,183.619385709,11.77,13.45,-13.6519989375,1.1427357689
