instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvpptn5005043,236.95,327.5,327.5,1.38214813252,1.0
egout,zhifmvrdcifmvmultiple2,49.66,1547.08,1547.08,31.1534434152,1.0
core2536-691,str10tr20zhifmvrdcifmv,1529.2,402.4,401.98,-3.80416936166,-1.0010448281
bell3a,zhifmvrdcifmvmultiple2,0.25,6.34,4.53,18.12,-1.3995584989
d20200,str10tr20zhifmvdvo7cbn21,211.48,240.22,223.62,1.05740495555,-1.07423307396
neos-801834,zhifmvmultiple4,207.5,295.75,236.95,1.14192771084,-1.24815361891
neos-1337307,str10tr20zhifmvdvo7,5.05,207.0,206.28,40.8475247525,-1.0034904014
planar150_s,zhifmvmultiple2passf20,839.1,200.01,200.01,-4.19529023549,1.0
neos-934531,hr0,554.88,2266.67,2133.34,3.84468713956,-1.06249824219
qiu,zhifmvmultiple2ltmend1lylgmiend1ly,373.17,1829.34,357.56,-1.04365700861,-5.11617630607
br2,zhifmvrdcifmvmultiple2,477.81,524.8,865.81,1.81203825788,1.64979039634
acc-tight5,zhifmvmultiple4,300.0,800.01,1200.01,4.00003333333,1.49999375008
e20200,str10tr20zhifmvdvo7,1.48,23.36,25.81,17.4391891892,1.10488013699
mcsched,zhifmvmultiple2ltmend1lylgmiend1ly,92.52,280.84,252.89,2.73335495028,-1.1105223615
neos16,str10tr20zhifmvdvo7,4.53,417.28,216.43,47.7770419426,-1.92801367648
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,5.89,333.56,138.19,23.4617996604,-2.41377813156
danoint,zhifmvltmend1lyroot,329.62,75.0,79.14,-4.16502400809,1.0552
dfn-gwin-UUM,str10tr20zhifmvdvo7,0.22,40.93,30.68,139.454545455,-1.33409387223
neos-948346,str10tr20zhifmvdvo7,400.0,544.5,436.27,1.090675,-1.24808031723
neos-1330346,zhifmvrdcifmvmultiple2,1.08,787.5,606.25,561.342592593,-1.29896907216
lectsched-4-obj,zhifmvpptn5005043,220.25,443.64,340.0,1.54370034052,-1.30482352941
liu,str10tr20zhifmvdvo7,0.02,360.65,447.96,22398.0,1.24209066962
newdano,zhifmvltmend1lyroot,329.62,560.66,563.94,1.71087919422,1.00585024792
dcmulti,cts0,2.2,37.39,13.45,6.11363636364,-2.77992565056
rmatr100-p5,zhifmvhr0nve1str10tr20dvo7rnd1rns1,244.75,459.52,507.32,2.07280898876,1.10402158774
mas74,str10tr20zhifmvrdcifmv,5.75,19.77,22.57,3.9252173913,1.1416287304
ds,zhifmvmultiple2passt2,611.07,2354.92,2083.64,3.40982211531,-1.13019523526
