instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,208.708070485,207.5,327.5,1.56917746036,1.57831325301
neos-633273,zhifmvpptn5005043,920.72,895.73,895.73,-1.02789903207,1.0
bell3a,cbn21,0.777306634102,4.53,4.53,5.82781594967,1.0
n080w8-7,zhifmvcbn21,688.650540386,523.64,500.75,-1.37523822344,-1.04571143285
neos-801834,cbn21,237.058801588,236.95,236.95,-1.0004591753,1.0
neos-1337307,zhifmvmultiple2pptn5005043,3.81459405956,205.77,206.28,54.0765273523,1.00247849541
planar150_s,zhifmvmultiple2pptn5005043,207.280425226,200.01,200.01,-1.03635030861,1.0
neos-934531,str10tr20zhifmvdvo7,0.0,1400.01,2133.34,2133.34,1.5238034014
n050w4-0,zhifmvcbn21,264.280771727,290.64,488.59,1.84875349352,1.68108312689
e40400,zhifmvlgmiend1lyltmend1lyrdcifmv,201.853988564,374.48,302.08,1.4965272777,-1.23967161017
br2,zhifmvrdcifmvmultiple2,227.844271128,524.8,865.81,3.80000776721,1.64979039634
acc-tight5,zhifmvmultiple2passt2,336.066487325,400.01,1200.01,3.57075175675,2.99995000125
e20200,zhifmvlgmiend1lyltmend1lystr10tr20,1.49684557562,28.67,25.81,17.2429276743,-1.11080976366
mcsched,zhifmvmultiple2passf20,257.035340104,264.35,252.89,-1.01639187039,-1.04531614536
l152lav,cts0,115.643733982,29.46,26.31,-4.39542888566,-1.11972633979
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,114.584621158,333.56,138.19,1.20600826362,-2.41377813156
danoint,zhifmvlgmiend1lyltmend1lystr10tr20,51.5128871398,85.05,79.14,1.53631458833,-1.0746777862
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,346.069507086,122.92,30.68,-11.2799708959,-4.00651890482
neos-948346,zhifmvpptn5005043,400.000971982,430.69,436.27,1.09067234972,1.0129559544
neos-1330346,cts0,623.731437066,600.0,606.25,-1.02883536011,1.01041666667
lectsched-4-obj,zhifmvmultiple2pptn5005043,0.0713483225122,370.0,340.0,4765.35380271,-1.08823529412
n030w4-1,zhifmvmultiple2ltmend1lylgmiend1ly,233.957189084,250.97,254.57,1.08810505459,1.01434434395
dcmulti,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,87.588587364,9.25,13.45,-6.51216262929,1.45405405405
neos-777800,zhifmvmultiple2dvo7,215.243310369,200.01,200.01,-1.07616274371,1.0
mas74,str10tr20zhifmvrdcifmv,11.1698924414,19.77,22.57,2.02061032534,1.1416287304
mas76,zhifmvxpsve2str10tr20dvo7,15.1595170564,51.96,49.6,3.27187204022,-1.04758064516
mkc,zhifmvmultiple2pptn5005043,400.000000216,83.99,293.44,-1.36314067685,3.49374925586
gesa2-o,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,1.28949670372,1.71,2.11,1.63629731965,1.23391812865
qnet1,zhifmvrdcifmvmultiple2,12.5851828456,28.1,21.43,1.70279607876,-1.31124591694
neos-1396125,cbn21,413.262710503,4980.93,4980.95,12.0527448362,1.00000401531
tanglegram2,zhifmvmultiple2passt2,4174.53609515,2113.49,2164.6,-1.92854850557,1.02418274986
rmine6,zhifmvmultiple2passf45,338.254424809,201.71,202.53,-1.67014479242,1.00406524218
neos-1109824,cts0,240.99477672,558.78,250.98,1.04143335974,-2.22639254124
mitre,zhifmvhr0nve1str10tr20dvo7rnd1rns1,22.3808370522,207.56,207.56,9.27400523564,1.0
fast0507,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,218.628664183,228.35,220.21,1.00723297571,-1.0369647155
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,340.075208925,533.24,832.04,2.44663526821,1.56034806091
neos-538916,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,78.3196723573,159.39,347.66,4.43898690503,2.18119078989
vpphard,zhifmvmultiple2pptn5005043,623.10630552,3707.45,4338.98,6.96346668548,1.17034080028
neos-957270,zhifmvhr0nve1str10tr20dvo7rnd1rns1,357.058159064,400.0,400.0,1.12026567618,1.0
layer3,cts0,385.686694263,594.09,435.4,1.12889556854,-1.36446945338
pk1,zhifmvxpsve2str10tr20dvo7,3558.38082627,349.05,356.37,-9.98507401371,1.02097120756
aflow30a,zhifmvmultiple2passf45,29.1308684869,139.86,133.84,4.59443905904,-1.0449790795
reblock67,prxt1,269.895224531,218.55,217.81,-1.23913146564,-1.0033974565
ns1208400,zhifmvpptn5005043,4184.00646644,6300.0,6300.0,1.50573381053,1.0
n080w8-1,zhifmvmultiple2passf20,461.15319244,704.3,713.19,1.54653597046,1.01262246202
neos-859770,zhifmvpptn5005043,1183.85220839,6300.0,6300.0,5.32161021061,1.0
n030w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,239.948371695,236.65,252.05,1.05043430059,1.06507500528
n030w4-2,zhifmvlgmiend1lyltmend1lyrdcifmv,252.124742936,221.34,222.34,-1.13396034423,1.00451793621
neos-1120495,xpsve2,252.523070918,326.95,321.55,1.27334900067,-1.01679365573
app1-2,xpsve2,444.029379874,4554.38,5942.13,13.3822901577,1.30470667797
enlight13,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,6299.99991868,1785.34,5660.43,-1.11298963483,3.17050533792
tas010,zhifmvhr0nve1str10tr20dvo7rnd1rns1,401.601581316,528.22,440.12,1.09591201947,-1.20017268018
bley_xl1,str10tr20zhifmvdvo7,0.0,415.56,405.0,405.0,-1.02607407407
neos-1223462,zhifmvmultiple2passt2,422.720375516,800.01,200.01,-2.11349620277,-3.9998500075
neos-686190,xpsve1,4200.00999998,454.5,697.7,-6.01979360754,1.53509350935
yue20023.1.150,zhifmvltmend1lyroot,1659.84190825,2278.2,670.14,-2.47685842996,-3.39958814576
n050w4-3,zhifmvcbn21,278.202108971,250.53,248.73,-1.11849036695,-1.00723676275
ds,zhifmvmultiple2passt2,611.014463225,2354.92,2083.64,3.41013204336,-1.13019523526
protfold,cts0,6299.92794581,1531.23,1413.84,-4.45589879039,-1.08302919708
sp98ar,zhifmvmultiple2pptn5005043,222.114125622,236.41,225.81,1.01663952874,-1.04694211948
noswot,zhifmvnodedepth,451.007950224,60.76,62.03,-7.27080364701,1.02090190915
layer2,cbn21,39.4666885243,113.05,113.05,2.86444098117,1.0
neos-960392,zhifmvpptn5005043,400.000000001,405.88,400.0,-1.0,-1.0147
dano3mip,zhifmvlgmiend1lyltmend1lyrdcifmv,1210.86517346,466.08,478.94,-2.52821892817,1.02759182973
neos-555884,zhifmvhr0nve1str10tr20dvo7rnd1rns1,448.551897334,244.65,243.27,-1.84384386621,-1.00567270934
n050w4-1,zhifmvresidualifmv,305.736684006,400.0,400.0,1.30831536065,1.0
neos-916792,zhifmvlgmiend1lyltmend1lyrdcifmv,426.582695303,272.33,287.02,-1.48624728347,1.05394190871
opm2-z7-s2,zhifmvlgmiend1lyltmend1lyrdcifmv,6300.0,771.9,807.12,-7.80553077609,1.04562767198
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,551.109731168,451.93,464.56,-1.18630474248,1.02794680592
tr12-30,zhifmvlgmiend1lyltmend1lystr10tr20,136.265429082,435.34,603.83,4.43127801429,1.38703082648
layer4,zhifmvmultiple2pptn5005043,324.98019809,574.43,574.43,1.76758462016,1.0
dsbmip,zhifmvhr0nve1str10tr20dvo7rnd1rns1,140.574114492,0.02,0.02,-7028.70572459,1.0
neos-957323,zhifmvpptn5005043,400.000075231,400.0,400.0,-1.00000018808,1.0
lseu,cts0,200.865722461,281.62,123.07,-1.63212580208,-2.28829121638
gt2,zhifmvxpsve2str10tr20dvo7,3950.12460213,764.62,764.62,-5.16612775252,1.0
neos-1437164,cts0,201.593385183,97.24,97.24,-2.07315287107,1.0
neos-641591,prxt1,200.47047827,418.51,200.76,1.0014442113,-2.08462841203
neos-1622252,cts0,425.306436207,733.29,733.29,1.72414508123,1.0
ex9,zhifmvhr0nve1str10tr20dvo7rnd1rns1,417.156708951,4400.0,3200.0,7.67097815123,-1.375
e10400,zhifmvpptn5005043,0.841715138677,9.12,5.32,6.32042808255,-1.71428571429
a10100,cts0,4.85315797312,2.32,2.32,-2.09187843669,1.0
neos-799838,zhifmvrdcifmvmultiple2,325.462084372,554.58,398.06,1.22306105416,-1.39320705421
flugpl,zhifmvxpsve2str10tr20dvo7,3648.74227401,27.1,27.1,-134.63993631,1.0
neos-957389,zhifmvmultiple2pptn5005043,400.000000019,400.0,400.0,-1.00000000005,1.0
neos-849702,zhifmvmultiple2passf20,128.113126644,4200.01,4200.01,32.7836039133,1.0
neos-957143,zhifmvpptn5005043,400.000000293,400.0,400.0,-1.00000000073,1.0
rd-rplusc-21,str10tr20zhifmvdvo7,0.0,4400.0,4400.0,4400.0,1.0
pdistuchoa,zhifmvmultiple2str10tr20,733.29,873.07,792.08,1.08017291931,-1.10224977275
ns1766074,hr0,7.35197799234,6300.0,6300.0,856.912249542,1.0
eilC76.2,cts0,284.805257285,216.61,351.93,1.23568645943,1.62471723374
neos-931538,zhifmvmultiple2passt2,422.497057595,456.46,485.08,1.14812633906,1.06269990799
timtab2,str10tr20zhifmvrdcifmv,620.830958911,1453.24,1415.83,2.28054026572,-1.02642266374
neos-860244,cts0,6267.98203084,240.25,132.25,-47.3949491935,-1.81663516068
ran16x16,zhifmvlgmiend1lyltmend1lystr10tr20,78.7296605117,29.46,31.87,-2.47033763764,1.08180583842
neos-1441553,zhifmvhr0nve1str10tr20dvo7rnd1rns1,5.18039347661,295.76,204.56,39.4873480023,-1.44583496285
eilA101.2,zhifmvmultiple2str10tr20,219.071641065,868.9,641.07,2.92630299789,-1.355390207
neos1,zhifmvxpsve1str10tr20dvo7,591.334579921,196.56,172.96,-3.41890945838,-1.13644773358
a05100,zhifmvcbn21,2.95511975273,0.43,0.43,-6.87237151797,1.0
p0548,cts0,202.424285044,764.83,2023.78,9.99771346388,2.64605206386
disctom,str10tr20zhifmvdvo7cbn21,204.540804669,200.01,200.01,-1.0226528907,1.0
vpm2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,69.2540191043,111.72,110.03,1.58878865693,-1.01535944742
pigeon-10,prxt1,101.691538952,210.01,210.01,2.0651668975,1.0
nw04,zhifmvmultiple2pptn5005043,400.053974808,268.67,268.67,-1.48901617154,1.0
harp2,str10tr20zhifmvdvo7,0.0,4.37,5.18,5.18,1.18535469108
neos-555927,zhifmvmultiple4,264.088356671,211.83,448.43,1.69803018071,2.11693338998
c20400,zhifmvmultiple2dvo7,215.000036914,4.71,203.71,-1.05542210453,43.2505307856
m100n500k4r1,hr0,9.12814537582,92.01,92.01,10.0798131725,1.0
neos-709469,hr0,356.00311823,200.01,200.01,-1.77992659482,1.0
csched010,zhifmvmultiple2pptn5005043,199.719522602,614.6,679.06,3.40006821142,1.10488122356
cov1075,zhifmvxpsve2str10tr20dvo7,316.059782302,192.94,193.81,-1.63077128271,1.00450917384
modglob,zhifmvmultiple2pptn5005043,0.220000002053,3.42,8.22,37.363636015,2.40350877193
A-1,zhifmvlgmiend1lyltmend1lyrdcifmv,201.853988547,252.32,252.32,1.25001245611,1.0
trd445c,str10tr20zhifmvdvo7,0.0,266.36,266.36,266.36,1.0
