instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2ltmend1lylgmiend1ly,620.919397458,208.7,327.5,-1.89593709147,1.56923814087
egout,zhifmvmultiple4,628.503831193,1547.08,1547.08,2.46152835228,1.0
core2536-691,zhifmvmultiple2ltmend1lylgmiend1ly,621.974647334,401.48,401.98,-1.54727759424,1.00124539205
bell3a,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.732181117,6.34,4.53,-132.832711063,-1.3995584989
d20200,zhifmvmultiple2ltmend1lylgmiend1ly,674.108155023,231.62,223.62,-3.01452533326,-1.0357749754
neos-801834,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,629.109325917,292.55,236.95,-2.65502986249,-1.23464866005
neos-1337307,zhifmvmultiple4,628.886871295,206.13,206.28,-3.04870501888,1.00072769611
ds,zhifmvmultiple2ltmend1lylgmiend1ly,648.660854106,2026.45,2083.64,3.21221788984,1.02822176713
planar150_s,zhifmvmultiple2ltmend1lylgmiend1ly,647.928332215,200.01,200.01,-3.23947968709,1.0
neos-934531,zhifmvmultiple4,1927.23717556,2066.69,2133.34,1.10694211748,1.03224963589
acc-tight5,zhifmvmultiple2ltmend1lylgmiend1ly,669.761716753,1000.01,1200.01,1.79169691247,1.19999800002
neos10,zhifmvmultiple4,2024.00615088,491.96,440.2,-4.59792401381,-1.11758291686
e20200,zhifmvmultiple2ltmend1lylgmiend1ly,629.26795596,30.19,25.81,-24.3807809361,-1.16970166602
mcsched,zhifmvmultiple2passf20,629.563793445,264.35,252.89,-2.48947682172,-1.04531614536
neos16,zhifmvmultiple2ltmend1lylgmiend1ly,620.576192882,431.02,216.43,-2.86732981972,-1.99149840595
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,629.620526472,333.56,138.19,-4.55619456163,-2.41377813156
danoint,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.273238969,77.87,79.14,-8.54527721719,1.01630923334
neos-859770,zhifmvmultiple4,628.672332644,6300.0,6300.0,10.0211185905,1.0
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1ly,684.764126349,86.37,30.68,-22.3195608328,-2.81518904824
neos-948346,zhifmvmultiple2ltmend1lylgmiend1ly,619.310741535,477.04,436.27,-1.41955839626,-1.09345130309
neos-1330346,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.243140206,881.25,606.25,-1.1154526024,-1.45360824742
lectsched-4-obj,zhifmvmultiple2ltmend1lylgmiend1ly,669.469906949,363.64,340.0,-1.96902913809,-1.06952941176
liu,zhifmvmultiple2ltmend1lylgmiend1ly,628.873817549,380.17,447.96,-1.40386154467,1.17831496436
e40400,zhifmvmultiple2ltmend1lylgmiend1ly,676.318007168,367.66,302.08,-2.23887052161,-1.21709480932
neos-777800,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.389106753,200.01,200.01,-3.38177644494,1.0
mas74,zhifmvmultiple2ltmend1lylgmiend1ly,684.78260953,19.4,22.57,-30.3403903203,1.16340206186
mas76,zhifmvmultiple2ltmend1lylgmiend1ly,673.923358075,51.12,49.6,-13.5871644773,-1.03064516129
gesa2-o,zhifmvmultiple2ltmend1lylgmiend1ly,669.207758038,1.91,2.11,-317.1600749,1.10471204188
qnet1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.365628357,26.3,21.43,-31.561625215,-1.22725151657
neos-1396125,zhifmvmultiple2ltmend1lylgmiend1ly,643.476730961,357.19,4980.95,7.74068394448,13.9448192839
rmine6,zhifmvmultiple2ltmend1lylgmiend1ly,684.786767365,202.04,202.53,-3.38116213581,1.00242526232
mitre,zhifmvmultiple2ltmend1lylgmiend1ly,685.991102864,207.56,207.56,-3.30502554858,1.0
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1ly,684.548791227,587.09,832.04,1.21545755491,1.41722734163
sprint_hint01_j,zhifmvmultiple2ltmend1lylgmiend1ly,618.019241544,334.12,362.87,-1.70314228662,1.08604692925
vpphard,zhifmvmultiple4,1960.63340146,3855.03,4338.98,2.21305012797,1.12553728505
long_hidden01,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,688.890587371,3499.16,3237.46,4.69952712281,-1.08083497557
noswot,zhifmvmultiple2ltmend1lylgmiend1ly,673.922031432,97.66,62.03,-10.8644531909,-1.57439948412
pk1,zhifmvmultiple2ltmend1lylgmiend1ly,615.610860022,2142.11,356.37,-1.72744860685,-6.0109156214
stein45,zhifmvmultiple2ltmend1lylgmiend1ly,669.181750216,560.08,496.5,-1.34779808704,-1.12805639476
n080w8-1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,621.080504493,750.39,713.19,1.14830524359,-1.05216001346
layer2,zhifmvmultiple4,628.545510785,40.05,113.05,-5.55988952486,2.822721598
n030w4-1,zhifmvmultiple2ltmend1lylgmiend1ly,670.869396705,250.97,254.57,-2.63530422558,1.01434434395
n030w4-0,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,602.151738536,229.48,429.59,-1.40168937484,1.87201499041
n030w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,617.598132043,236.65,252.05,-2.45030006762,1.06507500528
n030w4-2,zhifmvmultiple2ltmend1lylgmiend1ly,676.849407499,648.14,222.34,-3.04420890303,-2.91508500495
neos-1120495,zhifmvmultiple2ltmend1lylgmiend1ly,684.681533198,264.75,321.55,-2.12931591727,1.21454202077
neos-506428,zhifmvmultiple4,1799.69147235,3837.86,2995.0,1.66417413541,-1.28142237062
enlight13,zhifmvmultiple2ltmend1lylgmiend1ly,673.965397413,5610.51,5660.43,8.39869527683,1.00889758685
sprint01_j,zhifmvmultiple2ltmend1lylgmiend1ly,677.127057879,213.2,227.76,-2.97298497488,1.06829268293
neos-1223462,zhifmvmultiple2ltmend1lylgmiend1ly,643.960665215,1400.01,200.01,-3.21964234396,-6.999700015
neos-686190,zhifmvmultiple2ltmend1lylgmiend1ly,615.828834696,267.65,697.7,1.13294467665,2.60676256305
yue20023.1.150,zhifmvmultiple2ltmend1lylgmiend1ly,673.836726273,593.28,670.14,-1.00551634923,1.12955097087
n050w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,631.120947664,248.13,248.73,-2.53737364879,1.00241808729
beasleyC3,zhifmvmultiple2ltmend1lylgmiend1ly,643.522622961,309.32,601.42,-1.07000535892,1.94432949696
gen,zhifmvmultiple2ltmend1lylgmiend1ly,669.120057007,3.37,3.37,-198.551945699,1.0
protfold,zhifmvmultiple2ltmend1lylgmiend1ly,620.729255211,1271.88,1413.84,2.27770801542,1.11161430324
bnatt350,zhifmvmultiple2ltmend1lylgmiend1ly,620.730853109,4200.01,4200.01,6.76623367271,1.0
layer3,zhifmvmultiple2ltmend1lylgmiend1ly,669.276202343,399.21,435.4,-1.53715250883,1.09065404173
ns1208400,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.890355254,6300.0,6300.0,10.4670226811,1.0
neos-960392,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,619.512887968,405.04,400.0,-1.54878221992,-1.0126
dano3mip,zhifmvmultiple2ltmend1lylgmiend1ly,684.987413317,460.19,478.94,-1.43021550365,1.04074404051
neos-555884,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.757164707,227.27,243.27,-2.47361846799,1.07040084481
sp98ar,zhifmvmultiple2ltmend1lylgmiend1ly,669.721722193,255.84,225.81,-2.96586387756,-1.13298791019
tanglegram2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.883583863,1603.04,2164.6,3.59637653865,1.35030941212
opm2-z7-s2,zhifmvmultiple4,2016.52540331,808.26,807.12,-2.49842080894,-1.00141242938
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.082645488,451.93,464.56,-1.45531824843,1.02794680592
tr12-30,zhifmvmultiple2ltmend1lylgmiend1ly,628.861047177,373.17,603.83,-1.04145379855,1.61810970871
c201600,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,632.87371683,201.02,201.02,-3.14831219197,1.0
dsbmip,zhifmvmultiple2ltmend1lylgmiend1ly,669.1873279,0.02,0.02,-33459.366395,1.0
neos-957323,zhifmvmultiple2ltmend1lylgmiend1ly,677.033101067,400.0,400.0,-1.69258275267,1.0
lseu,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.729168628,30.04,123.07,-4.88932451961,4.09687083888
gt2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.206474699,764.62,764.62,1.13074930307,1.0
map18,zhifmvmultiple4,1941.8017523,1158.65,768.82,-2.52569099698,-1.50704976457
neos-1437164,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.776049431,97.24,97.24,-6.18856488514,1.0
neos-641591,zhifmvmultiple4,629.494294904,400.63,200.76,-3.13555636035,-1.99556684599
n080w8-7,zhifmvmultiple2ltmend1lylgmiend1ly,648.266191224,495.9,500.75,-1.2945904967,1.00978019762
ex9,zhifmvmultiple2,1928.55572958,4000.0,3200.0,1.6592727661,-1.25
e10400,zhifmvmultiple2ltmend1lylgmiend1ly,644.513171801,200.61,5.32,-121.149092444,-37.7086466165
a10100,zhifmvmultiple4,628.751216662,2.32,2.32,-271.013455458,1.0
neos-799838,zhifmvmultiple2ltmend1lylgmiend1ly,622.130600882,421.98,398.06,-1.56290659921,-1.0600914435
flugpl,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,601.728140415,25.84,27.1,-22.2039904212,1.04876160991
neos-957389,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,676.53186935,400.0,400.0,-1.69132967338,1.0
dcmulti,zhifmvmultiple4,628.504012284,10.65,13.45,-46.7289228464,1.26291079812
neos-912023,zhifmvmultiple2passf20,618.098862623,223.53,223.53,-2.76517184549,1.0
neos-957143,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,687.646902727,400.0,400.0,-1.71911725682,1.0
air05,zhifmvmultiple2ltmend1lylgmiend1ly,644.732361955,219.48,233.48,-2.76140295509,1.06378713322
pdistuchoa,zhifmvmultiple4,1974.36033093,872.12,792.08,-2.49262742517,-1.10105039895
neos-950242,zhifmvmultiple4,2021.59586466,1817.88,675.0,-2.99495683654,-2.69315555556
