instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2passf45,610.272926008,208.7,327.5,-1.86342878171,1.56923814087
neos-633273,zhifmvmultiple4,798.221464918,895.73,895.73,1.12215724503,1.0
mkc,zhifmvmultiple4,579.221851472,254.86,293.44,-1.97390216559,1.15137722671
d20200,zhifmvmultiple4,479.091531339,232.29,223.62,-2.14243596878,-1.03877112959
neos-801834,zhifmvmultiple4,565.003252038,295.75,236.95,-2.38448302189,-1.24815361891
neos-1337307,zhifmvmultiple4,608.778196765,206.13,206.28,-2.95122259436,1.00072769611
ds,zhifmvmultiple4,1145.05584661,2280.6,2083.64,1.81968417189,-1.09452688564
planar150_s,zhifmvmultiple4,375.163948452,200.01,200.01,-1.87572595596,1.0
neos-934531,zhifmvmultiple4,1452.00281759,2066.69,2133.34,1.4692395732,1.03224963589
qiu,zhifmvmultiple4,420.268116105,393.32,357.56,-1.17537788373,-1.10001118693
br2,zhifmvmultiple4,747.810296029,703.71,865.81,1.15779363376,1.23035057055
acc-tight5,zhifmvmultiple4,669.513883028,800.01,1200.01,1.79236014431,1.49999375008
e20200,zhifmvmultiple4,552.166730258,11.62,25.81,-21.3935191886,2.22117039587
mcsched,zhifmvmultiple4,514.976210501,233.21,252.89,-2.03636446875,1.08438746194
neos16,zhifmvmultiple4,463.097667598,227.25,216.43,-2.13971107332,-1.04999306935
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,504.746638659,333.56,138.19,-3.65255545741,-2.41377813156
danoint,zhifmvmultiple4,501.167229557,86.03,79.14,-6.33266653471,-1.08706090473
dfn-gwin-UUM,zhifmvmultiple4,486.535591487,40.0,30.68,-15.8583960719,-1.3037809648
neos-948346,zhifmvmultiple4,523.540601663,469.11,436.27,-1.20003805364,-1.07527448598
neos-1330346,zhifmvmultiple4,545.99809157,843.75,606.25,1.11035186635,-1.39175257732
lectsched-4-obj,zhifmvmultiple4,809.723160872,360.0,340.0,-2.38153870845,-1.05882352941
liu,zhifmvmultiple4,508.690615297,483.16,447.96,-1.13557151374,-1.0785784445
neos-810286,zhifmvmultiple4,658.815274292,200.01,200.01,-3.29391167587,1.0
neos-777800,zhifmvmultiple4,502.508556023,200.01,200.01,-2.51241715926,1.0
mas74,zhifmvmultiple4,511.273251282,19.8,22.57,-22.6527802961,1.1398989899
mas76,zhifmvmultiple4,458.302775223,45.78,49.6,-9.23997530692,1.08344255133
glass4,zhifmvmultiple4,456.326747019,825.43,781.78,1.71320222868,-1.05583412213
mzzv11,zhifmvmultiple4,829.414831138,423.81,411.53,-2.01544196326,-1.02983986587
qnet1,zhifmvmultiple4,502.554616068,21.51,21.43,-23.4509853508,-1.00373308446
neos-1396125,zhifmvmultiple4,501.401189493,402.84,4980.95,9.93406099623,12.3645864363
tanglegram2,zhifmvmultiple4,932.872727898,1975.73,2164.6,2.32035939659,1.09559504588
rmine6,zhifmvmultiple4,642.193598298,202.21,202.53,-3.1708566548,1.00158251323
bell3a,zhifmvmultiple4,434.856639127,6.34,4.53,-95.9948430745,-1.3995584989
mitre,zhifmvmultiple4,697.198833488,207.56,207.56,-3.35902309447,1.0
fast0507,zhifmvmultiple4,774.227971469,421.01,220.21,-3.51586200204,-1.9118568639
a1c1s1,zhifmvmultiple4,456.635916142,786.33,832.04,1.8221080966,1.05813081022
neos-538916,zhifmvmultiple4,487.296978336,214.17,347.66,-1.40164809968,1.62328990988
rgn,zhifmvmultiple4,452.035442501,244.84,280.78,-1.60992749662,1.14678974024
T1_300_5000_0,zhifmvmultiple4,535.623653683,353.03,551.83,1.03025696533,1.56312494689
layer3,zhifmvmultiple4,553.353652531,374.67,435.4,-1.27090871045,1.16208930526
pk1,zhifmvmultiple4,425.367693414,479.51,356.37,-1.19361251905,-1.34553974801
aflow30a,zhifmvmultiple4,459.914264422,136.28,133.84,-3.43629904679,-1.01823072325
reblock67,zhifmvmultiple4,500.266732066,217.57,217.81,-2.2968033243,1.00110309326
ns1208400,zhifmvmultiple4,709.599303496,6300.0,6300.0,8.87824997708,1.0
n030w4-1,zhifmvmultiple4,875.806976877,257.77,254.57,-3.44033851938,-1.01257021644
neos-859770,zhifmvmultiple4,509.701724007,6300.0,6300.0,12.3601700824,1.0
n030w4-3,zhifmvmultiple4,781.116031339,233.45,252.05,-3.09905189978,1.07967444849
n030w4-2,zhifmvmultiple4,791.45452003,648.14,222.34,-3.55965872101,-2.91508500495
neos-1120495,zhifmvmultiple4,568.45877745,243.15,321.55,-1.76787055652,1.32243471108
neos-506428,zhifmvmultiple4,2945.03398932,3837.86,2995.0,1.01696619151,-1.28142237062
enlight13,zhifmvmultiple4,1030.42934467,5647.7,5660.43,5.49327329361,1.00225401491
tas010,zhifmvmultiple4,658.64037947,462.4,440.12,-1.49650181648,-1.05062255748
A-1,zhifmvmultiple4,243.200108292,251.32,252.32,1.03749953802,1.00397899093
neos-1223462,zhifmvmultiple4,587.957106886,1000.01,200.01,-2.9396385525,-4.99980001
neos-686190,zhifmvmultiple4,533.338419892,594.7,697.7,1.30817502355,1.1731965697
yue20023.1.150,zhifmvmultiple4,583.900645719,573.62,670.14,1.14769525417,1.16826470486
n050w4-3,zhifmvmultiple4,973.077834045,250.53,248.73,-3.91218523718,-1.00723676275
beasleyC3,zhifmvmultiple4,507.218135324,462.21,601.42,1.18572258781,1.30118344475
gen,zhifmvmultiple4,489.08044169,3.37,3.37,-145.127727505,1.0
protfold,zhifmvmultiple4,511.547740138,1366.44,1413.84,2.76384761199,1.03468868007
noswot,zhifmvmultiple4,460.585948064,97.66,62.03,-7.42521276905,-1.57439948412
layer2,zhifmvmultiple4,461.334595807,40.05,113.05,-4.08080137821,2.822721598
neos-960392,zhifmvmultiple4,537.751316696,402.94,400.0,-1.34437829174,-1.00735
dano3mip,zhifmvmultiple4,170.269987616,475.9,478.94,2.81282689161,1.00638789662
neos-555884,zhifmvmultiple4,472.574453378,230.27,243.27,-1.94259240094,1.05645546532
sp98ar,zhifmvmultiple4,592.529148954,235.43,225.81,-2.62401642511,-1.04260218768
neos-916792,zhifmvmultiple4,467.361063624,294.64,287.02,-1.62832228982,-1.02654867257
opm2-z7-s2,zhifmvmultiple4,1034.18289578,808.26,807.12,-1.28132482875,-1.00141242938
zib54-UUE,zhifmvmultiple4,331.796730292,470.18,464.56,1.40013435211,-1.01209746857
tr12-30,zhifmvmultiple4,451.625414993,594.66,603.83,1.33701510135,1.01542057646
layer4,zhifmvmultiple4,495.706810017,574.43,574.43,1.15880998282,1.0
neos-1595230,zhifmvmultiple4,511.123556359,266.35,272.26,-1.87733620936,1.02218884926
neos-957323,zhifmvmultiple4,671.997480827,400.0,400.0,-1.67999370207,1.0
lseu,zhifmvmultiple4,435.168628841,29.41,123.07,-3.53594400618,4.18463107786
gt2,zhifmvmultiple4,485.564876022,764.62,764.62,1.5747020383,1.0
neos-1437164,zhifmvmultiple4,462.232025131,97.24,97.24,-4.75351732961,1.0
neos-641591,zhifmvmultiple4,534.739656522,400.63,200.76,-2.66357669118,-1.99556684599
neos-1622252,zhifmvmultiple4,520.605512774,733.29,733.29,1.40853291409,1.0
n080w8-7,zhifmvmultiple4,1325.58620432,638.4,500.75,-2.64720160622,-1.2748876685
bnatt350,zhifmvmultiple4,589.073847983,4200.01,4200.01,7.12985309801,1.0
e10400,zhifmvmultiple4,687.379345587,2.01,5.32,-129.206643907,2.64676616915
a10100,zhifmvmultiple4,488.875878242,2.32,2.32,-210.722361311,1.0
neos-799838,zhifmvmultiple4,506.610730204,390.61,398.06,-1.27269941769,1.01907273239
flugpl,zhifmvmultiple4,434.485807296,26.89,27.1,-16.0326866161,1.00780959464
e401600,zhifmvmultiple4,1225.60193657,418.0,924.14,-1.32620808164,2.21086124402
neos-957389,zhifmvmultiple4,609.099166978,4400.0,400.0,-1.52274791745,-11.0
dcmulti,zhifmvmultiple4,443.919169199,10.65,13.45,-33.0051426914,1.26291079812
neos-849702,zhifmvmultiple4,551.706023088,4200.01,4200.01,7.61276807618,1.0
