instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,str10tr20zhifmvdvo7,239.995931067,329.0,327.5,1.36460646872,-1.00458015267
egout,str10tr20zhifmvdvo7,37.14099482,1547.08,1547.08,41.6542423674,1.0
bell3a,str10tr20zhifmvdvo7,32.8126802851,4.53,4.53,-7.24341728148,1.0
d20200,zhifmvmultiple4,185.911304743,232.29,223.62,1.20283164227,-1.03877112959
neos-801834,zhifmvmultiple2passf45,397.752505119,295.75,236.95,-1.67863475467,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,366.204874695,205.68,206.28,-1.77528056377,1.00291715286
ds,zhifmvmultiple4,684.115589298,2280.6,2083.64,3.04574260928,-1.09452688564
planar150_s,zhifmvmultiple4,628.934891255,200.01,200.01,-3.14451723041,1.0
neos-934531,zhifmvmultiple4,855.31683877,2066.69,2133.34,2.4942102193,1.03224963589
br2,zhifmvmultiple4,6427.4658562,703.71,865.81,-7.42364474445,1.23035057055
acc-tight5,zhifmvmultiple4,70.5577309235,800.01,1200.01,17.0074913733,1.49999375008
e20200,zhifmvpptn5005043,51.1156814496,12.37,25.81,-1.98046034287,2.0864995958
mcsched,zhifmvmultiple2passf45,235.855032455,264.9,252.89,1.07222643235,-1.04749100399
l152lav,zhifmvmultiple4,24.7950933912,226.39,26.31,1.06109703178,-8.60471303687
blend2,zhifmvmultiple2str10tr20dvo7,15.7882335639,76.19,138.19,8.75272078034,1.81375508597
danoint,str10tr20zhifmvdvo7,121.486651335,87.29,79.14,-1.53508530876,-1.10298205711
dfn-gwin-UUM,zhifmvmultiple2str10tr20dvo7,36.1502332101,84.49,30.68,-1.17829964831,-2.75391134289
neos-948346,zhifmvhr0nve1str10tr20dvo7rnd1rns1,-2107.77325357,737.1,436.27,-0.206981466939,-1.68955004928
neos-1330346,zhifmvmultiple4,494.203137277,843.75,606.25,1.22672228133,-1.39175257732
lectsched-4-obj,zhifmvmultiple4,402.491212319,360.0,340.0,-1.18379768329,-1.05882352941
liu,zhifmvmultiple4,250.269504963,483.16,447.96,1.78991044101,-1.0785784445
e40400,zhifmvmultiple4,34.3790162839,352.32,302.08,8.78675519699,-1.16631355932
neos-777800,zhifmvmultiple4,501.210670215,200.01,200.01,-2.50592805467,1.0
mas74,zhifmvmultiple4,168.686867565,19.8,22.57,-7.47394185047,1.1398989899
mas76,zhifmvmultiple4,247.396062909,45.78,49.6,-4.98782384898,1.08344255133
mkc,str10tr20zhifmvdvo7,427.308664715,250.01,293.44,-1.45620455533,1.17371305148
gesa2-o,zhifmvmultiple4,23.052259099,1.91,2.11,-10.9252412791,1.10471204188
qnet1,zhifmvxpsve2str10tr20dvo7,-5.40051046212,51.49,21.43,-3.96814340983,-2.40270648623
neos-1396125,zhifmvmultiple4,606.529202643,402.84,4980.95,8.21221794152,12.3645864363
