instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,xpsve2,662.41,401.48,400.68,-1.65321453529,-1.00199660577
qnet1_o,str10tr20zhifmvdvo7,23.9752,19.12,19.12,-1.25393305439,1.0
neos-631694,str10tr20zhifmvdvo7,239.784629213,329.0,327.5,1.36580898064,-1.00458015267
neos-633273,str10tr20zhifmvdvo7,475.888152174,895.73,895.73,1.88222798972,1.0
core2536-691,str10tr20zhifmvdvo7,428.185306122,402.61,401.98,-1.06519057197,-1.00156724215
bell3a,str10tr20zhifmvdvo7,27.7985714286,4.53,4.53,-6.13654998423,1.0
d20200,zhifmvnodeupfewest,230.2944,245.82,223.62,-1.02984706198,-1.09927555675
neos-801834,str10tr20zhifmvdvo7,206.126226415,299.75,236.95,1.1495383393,-1.26503481747
neos-1337307,str10tr20zhifmvdvo7,8.133,207.0,206.28,25.3633345629,-1.0034904014
planar150_s,str10tr20zhifmvdvo7,1481.27043478,200.01,200.01,-7.40598187482,1.0
neos-934531,zhifmvmultiple4,3869.45133333,2066.69,2133.34,-1.81379964438,1.03224963589
qiu,str10tr20zhifmvdvo7,565.460816327,1975.34,357.56,-1.5814431601,-5.52449938472
n050w4-0,str10tr20zhifmvdvo7,259.190526316,509.28,488.59,1.88506118239,-1.04234634356
br2,zhifmvpptn5005043,537.823636364,542.06,865.81,1.60983999486,1.59725860606
acc-tight5,zhifmvlgmiend1lyltmend1ly,2360.01,800.01,1200.01,-1.96665861118,1.49999375008
e20200,str10tr20zhifmvdvo7,21.0996488294,23.36,25.81,1.22324310744,1.10488013699
mcsched,str10tr20zhifmvdvo7,234.260490196,242.24,252.89,1.07952476232,1.04396466314
neos16,str10tr20zhifmvdvo7,225.631135266,417.28,216.43,-1.04251321566,-1.92801367648
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,120.54,333.56,138.19,1.14642442343,-2.41377813156
danoint,str10tr20zhifmvdvo7,103.718979592,87.29,79.14,-1.31057593621,-1.10298205711
dfn-gwin-UUM,str10tr20zhifmvdvo7,27.5157142857,40.93,30.68,1.11499922122,-1.33409387223
neos-948346,str10tr20zhifmvdvo7,9.45816326531,544.5,436.27,46.1262919409,-1.24808031723
neos-1330346,zhifmvmultiple4,3899.14266667,843.75,606.25,-6.43157553265,-1.39175257732
lectsched-4-obj,zhifmvmultiple2passf45,365.537714286,375.56,340.0,-1.07511092437,-1.10458823529
newdano,str10tr20zhifmvdvo7,103.718979592,516.76,563.94,5.43719194133,1.09129963619
e40400,zhifmvmultiple4,212.104666667,352.32,302.08,1.42420251637,-1.16631355932
rmatr100-p5,str10tr20zhifmvdvo7,379.143469388,308.92,507.32,1.33806867574,1.64223747248
mas74,str10tr20zhifmvdvo7,55.6625724638,17.2,22.57,-2.46621942684,1.31220930233
mas76,str10tr20zhifmvdvo7,24.0923369565,51.96,49.6,2.05874590288,-1.04758064516
mzzv11,str10tr20zhifmvdvo7,262.165217391,422.03,411.53,1.5697353146,-1.02551454329
qnet1,str10tr20zhifmvdvo7,12.8809448819,51.49,21.43,1.66369782625,-2.40270648623
neos-1396125,str10tr20zhifmvdvo7,5.69765306122,1564.58,4980.95,874.210827946,3.18357003157
rmine6,str10tr20zhifmvdvo7,196.605666667,202.2,202.53,1.03013307517,1.00163204748
neos-1109824,str10tr20zhifmvdvo7,831.020144928,300.46,250.98,-3.31110106354,-1.19714718304
mitre,str10tr20zhifmvdvo7,6300.0,207.56,207.56,-30.3526691077,1.0
a1c1s1,str10tr20zhifmvdvo7,262.14122449,640.07,832.04,3.1740143185,1.29992032121
neos-538916,str10tr20zhifmvdvo7,220.079387755,312.46,347.66,1.57970268614,1.11265441977
rgn,zhifmvhr0nve1str10tr20dvo7rnd1rns1,81.1933333333,273.15,280.78,3.45816569505,1.02793336994
neos10,str10tr20zhifmvdvo7,429.125918367,478.6,440.2,1.02580613559,-1.08723307587
ash608gpia-3col,str10tr20zhifmvdvo7,911.906777778,6300.0,6300.0,6.90860091571,1.0
layer3,str10tr20zhifmvdvo7,571.279591837,413.38,435.4,-1.31207990776,1.0532681794
pk1,str10tr20zhifmvdvo7,6300.0,506.25,356.37,-17.6782557454,-1.4205741224
aflow30a,str10tr20zhifmvdvo7,200.01,135.04,133.84,-1.49439629408,-1.00896592947
reblock67,str10tr20zhifmvdvo7,219.843695652,216.31,217.81,-1.00933701691,1.00693449216
ns1208400,zhifmvhr0nve1str10tr20dvo7rnd1rns1,283.084705882,6300.0,6300.0,22.2548229173,1.0
neos-555927,str10tr20zhifmvdvo7,225.631135266,219.03,448.43,1.98744734175,2.04734511254
neos-859770,str10tr20zhifmvdvo7,19.3278571429,6300.0,6300.0,325.95439595,1.0
