instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2passf20,785.617776848,400.82,400.68,-1.96071123302,-1.00034940601
neos-631694,zhifmvmultiple2passf45,221.336337354,208.7,327.5,1.47964859234,1.56923814087
neos-633273,zhifmvmultiple2passf20,655.331764609,895.73,895.73,1.3668344011,1.0
bell3a,zhifmvlgmiend1lyltmend1lyrdcifmv,132.849606755,4.53,4.53,-29.3266240076,1.0
d20200,zhifmvmultiple2ltmend1ly,225.308829434,223.17,223.62,-1.00755222893,1.00201640005
neos-801834,zhifmvmultiple2ltmend1lylgmiend1ly,266.419154175,295.75,236.95,-1.12436866079,-1.24815361891
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1ly,217.111782006,205.68,206.28,-1.05251009311,1.00291715286
ds,zhifmvmultiple2passt2,575.596177471,2354.92,2083.64,3.61996844586,-1.13019523526
planar150_s,zhifmvmultiple2ltmend1ly,571.242183492,200.01,200.01,-2.85606811405,1.0
neos-934531,zhifmvmultiple2passf45,1322.02861862,1666.68,2133.34,1.61368670084,1.27999376005
acc-tight5,zhifmvxpsve2str10tr20dvo7,1147.87042049,1200.01,1200.01,1.04542287925,1.0
e20200,zhifmvcbn21,15.8135785538,12.38,25.81,1.63214163778,2.08481421648
mcsched,zhifmvmultiple2passf20,249.916645465,264.35,252.89,1.01189738494,-1.04531614536
neos-1599274,zhifmvltmend1lyrootstr10tr20,127.084496357,255.02,255.02,2.0066963895,1.0
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,128.011686592,333.56,138.19,1.07951081405,-2.41377813156
danoint,zhifmvlgmiend1lyltmend1lyrdcifmv,233.036498363,79.9,79.14,-2.94461079559,-1.00960323477
dfn-gwin-UUM,zhifmvlgmiend1lyltmend1lyrdcifmv,593.824086276,68.89,30.68,-19.3554135031,-2.24543676662
neos-948346,zhifmvnodedepth,354.210524232,430.69,436.27,1.23166865509,1.0129559544
neos-1330346,zhifmvhr0nve1str10tr20dvo7rnd1rns1,1529.02428313,587.5,606.25,-2.52210191031,1.03191489362
lectsched-4-obj,zhifmvmultiple2passf20,357.437193595,350.0,340.0,-1.05128586352,-1.02941176471
liu,zhifmvmultiple2ltmend1ly,308.807044814,477.39,447.96,1.45061457477,-1.06569783016
e40400,zhifmvmultiple2passf20,108.521317131,407.4,302.08,2.78360056794,-1.34864936441
neos-777800,zhifmvlgmiend1lyltmend1ly,354.656732743,200.01,200.01,-1.77319500397,1.0
mas74,str10tr20zhifmvdvo7cbn21,45.4727447514,19.09,22.57,-2.01474278916,1.18229439497
mas76,str10tr20zhifmvdvo7,21.952841501,51.96,49.6,2.25938860797,-1.04758064516
eilC76,zhifmvltmend1lyrootstr10tr20,180.946215848,417.63,424.74,2.3473273426,1.01702463903
mzzv11,zhifmvltmend1lyroot,396.71412156,417.41,411.53,1.03734648614,-1.01428814424
qnet1,xpsve1,23.4965598212,21.43,21.43,-1.09643302945,1.0
neos-1396125,zhifmvlgmiend1lyltmend1lystr10tr20,398.286390732,1251.62,4980.95,12.5059507829,3.97960243524
tanglegram2,zhifmvnodehybrid,1088.95132967,2178.58,2164.6,1.98778397254,-1.00645846808
rmine6,zhifmvnodeupfewest,374.697847628,202.99,202.53,-1.85008565461,-1.00227126845
mitre,zhifmvmultiple2passf45,724.766183529,207.56,207.56,-3.49183938875,1.0
fast0507,zhifmvmultiple3,467.709781378,220.27,220.21,-2.12392616765,-1.00027246719
a1c1s1,zhifmvnodedowndepth,426.319374605,829.06,832.04,1.95168235263,1.00359443225
stp3d,zhifmvmultiple2str10tr20,1425.86556588,5403.3,5403.3,3.78948768335,1.0
vpphard,zhifmvnodeupdepth,2574.40659887,3357.63,4338.98,1.68542917887,1.29227461037
long_hidden01,zhifmvmultiple3,2659.72776895,3564.03,3237.46,1.21721479837,-1.10087228877
layer3,zhifmvmultiple2ltmend1lylgmiend1ly,530.569898511,399.21,435.4,-1.21858038243,1.09065404173
pk1,zhifmvhr0nve1str10tr20dvo7rnd1rns1,1805.17585656,2066.09,356.37,-5.06545404092,-5.79759800208
stein45,zhifmvnodehybrid,1002.52283976,496.5,496.5,-2.01917993909,1.0
n080w8-1,zhifmvnodeupfewest,595.063212732,740.13,713.19,1.19851132576,-1.03777394523
ns1208400,zhifmvhr0nve1str10tr20dvo7rnd1rns1,5511.35348332,6300.0,6300.0,1.14309488932,1.0
n030w4-1,zhifmv,241.942073734,263.37,254.57,1.0521940069,-1.03456809522
neos-859770,zhifmvmultiple2passf20,353.072636671,6300.0,6300.0,17.8433538759,1.0
n030w4-3,zhifmvmultiple2str10tr20dvo7,307.381161442,235.85,252.05,-1.2195245445,1.06868772525
n030w4-2,cbn21,275.821919418,222.34,222.34,-1.24054115057,1.0
neos-1120495,zhifmvmultiple2ltmend1lylgmiend1ly,547.842524705,264.75,321.55,-1.70375532485,1.21454202077
neos-506428,zhifmvmultiple2str10tr20,2246.14288405,3228.33,2995.0,1.33339691846,-1.07790651085
enlight13,zhifmvnodehybrid,5359.85999446,5660.46,5660.43,1.05607795835,-1.00000529995
tas010,zhifmvmultiple2residualifmv,603.402050428,500.43,440.12,-1.37099438887,-1.13703080978
neos-632335,zhifmvnodeupdepth,2514.73947718,920.72,920.72,-2.73127495567,1.0
neos-1223462,zhifmvmultiple2passf20,308.319933842,1000.01,200.01,-1.54152259308,-4.99980001
neos-686190,cbn21,569.34012759,697.7,697.7,1.22545375987,1.0
yue20023.1.150,zhifmvltmend1lyroot,1346.40489596,2278.2,670.14,-2.00913972596,-3.39958814576
neos-555884,str10tr20zhifmvdvo7cbn21,474.416940753,237.47,243.27,-1.95016623814,1.02442413779
gen,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,570.494535014,3.37,3.37,-169.28621217,1.0
protfold,str10tr20zhifmvdvo7cbn21,878.250714034,2264.9,1413.84,1.60983643669,-1.60194930119
bnatt350,prxt1,505.281925383,4200.01,4200.01,8.312211043,1.0
noswot,zhifmvlgmiend1lyltmend1lyrdcifmv,612.128536416,61.34,62.03,-9.86826594255,1.01124877731
layer2,zhifmvxpsve2str10tr20dvo7,425.664645778,33.65,113.05,-3.76527771586,3.35958395245
neos-960392,zhifmvresidualifmv,400.218476894,401.26,400.0,-1.00054619224,-1.00315
dano3mip,zhifmvmultiple2passf45,683.546135828,490.66,478.94,-1.42720619666,-1.02447070614
30n20b8,zhifmvcbn21,408.341468727,3725.36,4961.68,12.1508109756,1.33186591363
sp98ar,zhifmvmultiple2residualifmv,567.387532377,237.54,225.81,-2.51267672989,-1.05194632656
neos-916792,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,379.476686613,305.21,287.02,-1.32212628602,-1.06337537454
