instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvlgmiend1lyltmend1ly,208.7,327.5,327.5,1.56923814087,1.0
egout,zhifmvmultiple4,31.2195238095,1547.08,1547.08,49.5548878144,1.0
core2536-691,zhifmvrdcifmv,261.56,401.97,401.98,1.53685578835,1.00002487748
bell3a,zhifmvmultiple4,6.58933333333,6.34,4.53,-1.45459896983,-1.3995584989
d20200,str10tr20zhifmvdvo7,13.1462466488,239.02,223.62,17.0101783402,-1.06886682765
neos-801834,zhifmvmultiple2passf45,274.0075,295.75,236.95,-1.15639375396,-1.24815361891
neos-1337307,cts0,0.75,205.48,206.28,275.04,1.00389332295
ds,zhifmvxpsve1,215.35,2197.84,2083.64,9.67559786394,-1.05480793227
planar150_s,zhifmvmultiple2ltmend1lylgmiend1ly,207.59,200.01,200.01,-1.03789810509,1.0
neos-934531,str10tr20zhifmvdvo7,269.283043478,1400.01,2133.34,7.9222960809,1.5238034014
acc-tight5,zhifmvpptn5005043,256.504634146,1000.01,1200.01,4.67831703701,1.19999800002
e20200,str10tr20zhifmvdvo7,1.48,23.36,25.81,17.4391891892,1.10488013699
mcsched,str10tr20zhifmvdvo7,10.6681818182,242.24,252.89,23.7050703025,1.04396466314
neos16,zhifmvmultiple2ltmend1lylgmiend1ly,0.02,431.02,216.43,10821.5,-1.99149840595
blend2,str10tr20zhifmvdvo7,6.79477272727,139.56,138.19,20.3376927451,-1.00991388668
danoint,cts0,47.48,74.36,79.14,1.66680707666,1.06428187197
dfn-gwin-UUM,zhifmvmultiple4,410.116923077,40.0,30.68,-13.3675659412,-1.3037809648
neos-948346,hr0,400.0,1008.4,436.27,1.090675,-2.3114126573
neos-1330346,hr0,102.84,600.0,606.25,5.89507973551,1.01041666667
lectsched-4-obj,zhifmvmultiple2passf20,240.355,350.0,340.0,1.41457427555,-1.02941176471
macrophage,zhifmvmultiple2str10tr20dvo7,556.3,353.34,401.43,-1.38579578009,1.13610120564
liu,str10tr20zhifmvdvo7,289.73122449,360.65,447.96,1.54612262033,1.24209066962
e40400,zhifmvmultiple2ltmend1lylgmiend1ly,4.1,367.66,302.08,73.6780487805,-1.21709480932
neos-777800,zhifmvmultiple2str10tr20dvo7,2.04,200.01,200.01,98.0441176471,1.0
mas74,str10tr20zhifmvdvo7,49.0467346939,17.2,22.57,-2.17309413797,1.31220930233
mas76,zhifmvmultiple2str10tr20dvo7,17.74,51.96,49.6,2.79594137542,-1.04758064516
mkc,str10tr20zhifmvdvo7,400.0,250.01,293.44,-1.36314067612,1.17371305148
mzzv11,zhifmvmultiple4,200.01,423.81,411.53,2.05754712264,-1.02983986587
qnet1,str10tr20zhifmvdvo7,24.9406060606,51.49,21.43,-1.16381736167,-2.40270648623
neos-1396125,str10tr20zhifmvdvo7,5.69765306122,1564.58,4980.95,874.210827947,3.18357003157
rmine6,zhifmvmultiple2str10tr20dvo7,556.3,202.26,202.53,-2.74675356737,1.00133491546
neos10,zhifmvmultiple4,414.4,491.96,440.2,1.06225868726,-1.11758291686
a1c1s1,zhifmvmultiple4,211.193333333,786.33,832.04,3.93970769279,1.05813081022
sprint_hint01_j,zhifmvmultiple4,408.685,308.55,362.87,-1.12625733734,1.17604926268
vpphard,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3738.02,3814.0,4338.98,1.1607696053,1.13764551652
long_hidden01,zhifmvmultiple2passt2,2798.74,3703.48,3237.46,1.1567562546,-1.14394618003
noswot,str10tr20zhifmvdvo7,22.1256060606,59.07,62.03,2.80353902307,1.05011003894
pk1,str10tr20zhifmvdvo7,3553.13,506.25,356.37,-9.97033981536,-1.4205741224
stein45,xpsve2,48.76,546.5,496.5,10.1825266612,-1.10070493454
n080w8-1,zhifmvnodehybrid,290.64,740.13,713.19,2.45386044591,-1.03777394523
layer2,zhifmvmultiple3,74.25,677.05,113.05,1.52255892256,-5.9889429456
pg5_34,str10tr20zhifmvdvo7,70.6765306122,15.55,15.99,-4.42004569182,1.02829581994
n030w4-0,zhifmvmultiple2str10tr20dvo7,240.055,244.77,429.59,1.78954822853,1.75507619398
n030w4-3,zhifmvlgmiend1lyltmend1ly,250.13,247.05,252.05,1.00767600848,1.02023881805
n030w4-2,zhifmvmultiple2ltmend1lylgmiend1ly,254.37,648.14,222.34,-1.14405864892,-2.91508500495
neos-1120495,hr0,439.74,274.35,321.55,-1.36756336495,1.17204301075
eilC76.2,cts0,241.56,216.61,351.93,1.45690511674,1.62471723374
enlight13,str10tr20zhifmvdvo7,6300.0,5643.41,5660.43,-1.1129896492,1.00301590705
neos-632335,str10tr20zhifmvdvo7,436.748503401,920.72,920.72,2.10812399546,1.0
neos-1223462,str10tr20zhifmvdvo7,212.886122449,400.01,200.01,-1.06437739338,-1.9999500025
neos-686190,zhifmvmultiple4,408.685,594.7,697.7,1.70718279359,1.1731965697
yue20023.1.150,zhifmvltmend1lyroot,1403.4,2278.2,670.14,-2.09418927388,-3.39958814576
n050w4-3,str10tr20zhifmvdvo7,227.992826087,300.68,248.73,1.09095537903,-1.20886101395
beasleyC3,zhifmvmultiple2str10tr20,384.97,412.73,601.42,1.56225160402,1.45717539311
gen,str10tr20zhifmvdvo7,7.32795918367,3.37,3.37,-2.1744686005,1.0
protfold,zhifmvmultiple2passf20,66.36,1286.84,1413.84,21.3056057866,1.098691368
bnatt350,zhifmvlgmiend1lyltmend1ly,24.16,4200.01,4200.01,173.84147351,1.0
layer3,cts0,367.66,594.09,435.4,1.18424631453,-1.36446945338
ns1208400,zhifmvnodeupfewest,367.32,6300.0,6300.0,17.1512577589,1.0
neos-960392,zhifmvhr0nve1str10tr20dvo7rnd1rns1,400.0,437.81,400.0,1.0,-1.094525
dano3mip,zhifmvmultiple4,211.193333333,475.9,478.94,2.2677799173,1.00638789662
neos-555884,zhifmvmultiple2passf20,84.6,233.07,243.27,2.87553191489,1.04376367615
sp98ar,str10tr20zhifmvdvo7,465.526326531,227.33,225.81,-2.0615841926,-1.00673132279
tanglegram2,xpsve1,267.87,2164.6,2164.6,8.08078545563,1.0
opm2-z7-s2,zhifmvmultiple4,219.804666667,808.26,807.12,3.67198755258,-1.00141242938
zib54-UUE,zhifmvrdcifmv,314.74,512.72,464.56,1.47601194637,-1.10366798691
tr12-30,str10tr20zhifmvdvo7,6.12596938776,625.62,603.83,98.5688895552,-1.03608631568
neos-820879,cts0,0.0200000000002,202.73,215.53,10776.4999999,1.06313816406
neos-1215891,zhifmvmultiple4,400.0,401.98,202.5,-1.97530864198,-1.98508641975
neos-957323,cts0,400.1,400.0,400.0,-1.00025,1.0
lseu,str10tr20zhifmvdvo7,63.6622580645,123.07,123.07,1.93317051172,1.0
gt2,zhifmvmultiple4,25.21,764.62,764.62,30.3300277668,1.0
neos-1437164,zhifmvmultiple4,5.554,97.24,97.24,17.5081022686,1.0
neos-641591,str10tr20zhifmvdvo7,7.73830882353,321.8,200.76,25.943653139,-1.60290894601
n080w8-7,str10tr20zhifmvdvo7,6300.0,493.27,500.75,-12.5811283075,1.01516410891
ex9,str10tr20zhifmvdvo7,0.0199999999949,3000.0,3200.0,160000.00004,1.06666666667
e10400,str10tr20zhifmvdvo7,0.790666666667,6.05,5.32,6.72849915683,-1.13721804511
a10100,cts0,7.178,2.32,2.32,-3.09396551724,1.0
neos-799838,zhifmvrdcifmvmultiple2,268.29,554.58,398.06,1.48369301875,-1.39320705421
flugpl,str10tr20zhifmvdvo7,6300.0,27.1,27.1,-232.472324723,1.0
neos-957389,zhifmvmultiple2passt2,284.655,400.0,400.0,1.40520981539,1.0
dcmulti,str10tr20zhifmvdvo7,10.5591176471,13.45,13.45,1.27378067463,1.0
neos-849702,zhifmvmultiple2passf20,211.77,4200.01,4200.01,19.8328847334,1.0
neos-957143,str10tr20zhifmvdvo7,408.474489796,400.0,400.0,-1.02118622449,1.0
air05,zhifmvmultiple2passf20,186.285,224.68,233.48,1.25334836407,1.03916681503
pdistuchoa,zhifmvmultiple2passf45,469.825,932.94,792.08,1.68590432608,-1.17783557216
ns1766074,str10tr20zhifmvdvo7,758.853469388,6300.0,6300.0,8.30199801957,1.0
timtab2,zhifmvrdcifmv,668.626666667,1435.32,1415.83,2.11751949269,-1.01376577696
t1717,zhifmvnodehybrid,567.213333333,752.42,720.96,1.27105615759,-1.04363626276
timtab1,str10tr20zhifmvdvo7,26.4454040404,878.98,920.38,34.8030228086,1.04710004778
neos-1441553,zhifmvlgmiend1lyltmend1ly,79.65,295.76,204.56,2.56823603264,-1.44583496285
gesa3,str10tr20zhifmvdvo7,8.06802721088,0.43,0.43,-18.7628539788,1.0
neos1,zhifmvmultiple2str10tr20,2.04,163.17,172.96,84.7843137255,1.05999877428
a05100,zhifmvmultiple4,6.57764705882,0.43,0.43,-15.2968536252,1.0
p0548,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,34.615,2023.78,2023.78,58.4654051712,1.0
disctom,cts0,11.51,200.01,200.01,17.3770634231,1.0
vpm2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,46.07,111.72,110.03,2.38832211852,-1.01535944742
pigeon-10,zhifmvnodeupfewest,52.75,210.01,210.01,3.98123222749,1.0
nw04,cts0,518.51,258.07,268.67,-1.92991402092,1.04107412717
neos-953928,zhifmvmultiple4,204.059333333,403.45,400.4,1.96217440026,-1.00761738262
irp,zhifmvmultiple2passf20,62.45,201.3,202.1,3.23618895116,1.00397416791
c20400,zhifmvlgmiend1lyltmend1ly,2.414,204.37,203.71,84.3869096935,-1.00323989986
eilB101,str10tr20zhifmvdvo7,5.05,272.54,290.46,57.5168316832,1.06575181625
neos-709469,str10tr20zhifmvdvo7,0.02,200.01,200.01,10000.5,1.0
csched010,zhifmvmultiple2ltmend1lylgmiend1ly,441.4,1014.38,679.06,1.53842319891,-1.49380025329
cov1075,zhifmvxpsve1str10tr20dvo7,28.57,192.56,193.81,6.78368918446,1.00649148317
modglob,str10tr20zhifmvdvo7,0.22,8.22,8.22,37.3636363636,1.0
sprint01_j,str10tr20zhifmvdvo7,202.31,247.28,227.76,1.12579704414,-1.08570425009
trd445c,zhifmvmultiple2dvo7,0.02,266.36,266.36,13318.0,1.0
stp3d,zhifmvmultiple2passt2,0.0199999999988,5203.52,5403.3,270165.000016,1.0383932415
A-2,zhifmvmultiple2ltmend1lylgmiend1ly,207.59,289.45,638.65,3.07649694109,2.20642598031
netdiversion,zhifmvmultiple2passt2,5203.52,1276.61,842.34,-6.17745803357,-1.5155519149
dsbmip,cts0,764.83,0.02,0.02,-38241.5,1.0
bs24_t,hr0,0.02,4427.4,1248.74,62437.0,-3.54549385781
iis-pima-cov,zhifmvnodehybrid,571.72,493.52,477.45,-1.19744475861,-1.03365797466
fiber,zhifmvmultiple2str10tr20dvo7,210.01,145.34,117.96,-1.78034927094,-1.23211258054
neos-1597104,zhifmvpptn5005043,264.833870968,400.0,400.0,1.51038082304,1.0
m100n500k4r1,str10tr20zhifmvdvo7,20.1074305556,92.01,92.01,4.57592031691,1.0
aflow40b,str10tr20zhifmvdvo7,139.643877551,266.39,314.99,2.25566638169,1.18243928075
triptim1,cts0,226.522857143,400.4,400.4,1.76759204369,1.0
mine-166-5,xpsve2,203.865,281.86,240.72,1.18078139946,-1.1709039548
neos-1595230,zhifmvlgmiend1lyltmend1ly,416.74,276.03,272.26,-1.53066921325,-1.01384705796
glass4,zhifmvmultiple4,0.02,825.43,781.78,39089.0,-1.05583412213
T2_300_1000_0,zhifmvmultiple2str10tr20dvo7,319.76,30.58,31.93,-10.0144065142,1.04414650098
neos-1622252,hr0,439.74,733.29,733.29,1.66755355437,1.0
neos-631710,hr0,595.545,4400.0,4400.0,7.3881906489,1.0
rail507,xpsve1,215.345,224.19,229.62,1.06628897815,1.02422052723
tas010,zhifmvmultiple2ltmend1lylgmiend1ly,4.1,529.84,440.12,107.346341463,-1.2038534945
neos-825075,zhifmvmultiple2ltmend1lylgmiend1ly,73.9,81.53,45.76,-1.61494755245,-1.78168706294
set1ch,zhifmvrdcifmv,314.74,60.86,60.95,-5.16390484003,1.00147880381
neos-662469,str10tr20zhifmvdvo7,7.73830882353,321.8,200.77,25.944945411,-1.60282910793
rentacar,prxt1,252.29,261.51,261.51,1.03654524555,1.0
p2756,zhifmvmultiple2ltmend1lylgmiend1ly,48.59,19.41,3.16,-15.3765822785,-6.14240506329
eilA76,zhifmvmultiple2passf20,232.57,152.58,344.03,1.47925355807,2.25475160572
vpm1,str10tr20zhifmvdvo7,111.431515152,481.33,481.33,4.31951409209,1.0
biella1,prxt1,252.29,408.3,403.67,1.60002378216,-1.01146976491
neos-1440225,zhifmvmultiple4,0.713076923077,200.01,200.01,280.488673139,1.0
stdc6262p,str10tr20zhifmvdvo7,294.463030303,400.79,400.68,1.3607141093,-1.00027453329
map20,cts0,535.65,534.55,749.8,1.39979464202,1.40267514732
10teams,cts0,86.67,205.16,200.76,2.31637244721,-1.02191671648
neos-1281048,zhifmvnodeupfewest,45.76,394.92,228.52,4.99388111888,-1.72816383686
neos-1620807,str10tr20zhifmvdvo7,8.06802721088,416.74,416.74,51.6532715008,1.0
p6b,str10tr20zhifmvdvo7,29.1975510204,486.35,519.44,17.7905331731,1.06803742161
medium_hidden05,zhifmvmultiple4,224.91,2998.8,3386.33,15.0563781068,1.12922835801
neos-1599274,str10tr20zhifmvdvo7,24.16,255.02,255.02,10.5554635762,1.0
binkar10_1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,533.24,2.57,2.38,-224.050420168,-1.07983193277
bley_xl1,xpsve2,662.41,427.64,405.0,-1.63558024691,-1.05590123457
neos-808214,zhifmvmultiple2passf45,211.77,1100.0,700.0,3.30547291873,-1.57142857143
rmatr100-p5,str10tr20zhifmvdvo7,379.143469388,308.92,507.32,1.33806867574,1.64223747248
nug08,zhifmvmultiple2passf20,186.285,276.51,283.91,1.52406259226,1.02676214242
neos-1109824,str10tr20zhifmvdvo7,242.9,300.46,250.98,1.03326471799,-1.19714718304
neos-633273,zhifmvmultiple2passf45,0.02,895.73,895.73,44786.5000001,1.0
d10100,str10tr20zhifmvdvo7,34.9302083333,18.26,19.95,-1.75088763576,1.09255202629
gmu-35-40,str10tr20zhifmvdvo7,289.73122449,2.08,1.83,-158.323073492,-1.13661202186
eilD76,zhifmvmultiple2passf20,195.483333333,167.9,456.07,2.33303776963,2.71631923764
eilD76.2,cts0,216.61,262.91,543.29,2.50814828494,2.06644859458
draw-product,zhifmvhr0nve1str10tr20dvo7rnd1rns1,2.535,908.53,550.18,217.033530572,-1.65133229125
newdano,cts0,47.48,315.81,563.94,11.8774220725,1.78569392989
tanglegram1,zhifmvmultiple4,414.4,6387.8,6397.0,15.4367760618,1.00144024547
bab5,zhifmvmultiple2dvo7,453.0,511.72,506.33,1.11772626932,-1.01064523137
neos-950242,zhifmvmultiple2ltmend1ly,290.13,708.33,675.0,2.3265432737,-1.04937777778
neos-1601936,hr0,321.05,1791.56,1066.67,3.32244198723,-1.67958225131
yue20013.1.150,str10tr20zhifmvdvo7,249.958673469,2093.2,2300.0,9.20152106777,1.09879610166
markshare2,str10tr20zhifmvdvo7,3553.13,4007.65,4048.0,1.13927720067,1.01006824448
p0282,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6.31,34.98,6.82,1.08082408875,-5.12903225806
neos-1224597,zhifmvmultiple4,232.303333333,200.01,200.01,-1.16145859374,1.0
markshare1,str10tr20zhifmvdvo7,3608.20333333,3553.13,3612.07,1.00107163214,1.01658819126
bienst2,cts0,315.81,107.2,59.19,-5.33552965028,-1.81111674269
iis-100-0-cov,hr0,388.91,646.34,634.17,1.63063433699,-1.0191904379
neos-912015,str10tr20zhifmvdvo7,223.53,200.01,200.01,-1.11759412029,1.0
neos-912023,str10tr20zhifmvdvo7,223.53,366.33,223.53,1.0,-1.6388404241
neos-791021,str10tr20zhifmvdvo7,240.406632653,228.89,228.89,-1.05031514113,1.0
p0201,str10tr20zhifmvdvo7,27.7242857143,52.74,53.14,1.91673107642,1.00758437619
gesa2-o,str10tr20zhifmvrdcifmv,0.22,1.71,2.11,9.59090909091,1.23391812865
neos-780889,zhifmvlgmiend1lyltmend1lystr10tr20,747.37,400.0,400.0,-1.868425,1.0
mod008,zhifmvmultiple2str10tr20dvo7,47.4875,109.84,28.57,-1.66214560728,-3.84459222961
draw-gemcutter,zhifmvmultiple4,0.02,32.59,45.96,2298.0,1.4102485425
reblock67,zhifmvhr0nve1str10tr20dvo7rnd1rns1,131.68,120.22,217.81,1.65408566221,1.81176177009
eilB76,zhifmvmultiple2str10tr20dvo7,59.45,56.1,59.06,-1.00660345411,1.05276292335
atlanta-ip,zhifmvmultiple4,207.56,809.38,659.09,3.17541915591,-1.22802652142
