instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,str10tr20zhifmvdvo7,733.29,400.79,400.68,-1.83011380653,-1.00027453329
neos-631694,str10tr20zhifmvdvo7,208.7,329.0,327.5,1.56923814087,-1.00458015267
egout,zhifmvnodeupfewest,25.84,1547.08,1547.08,59.8715170279,1.0
bell3a,zhifmvrdcifmv,0.62,4.53,4.53,7.3064516129,1.0
d20200,str10tr20zhifmvdvo7,0.02,239.02,223.62,11181.0,-1.06886682765
neos-801834,str10tr20zhifmvdvo7,295.75,299.75,236.95,-1.24815361891,-1.26503481747
neos-1337307,str10tr20zhifmvdvo7,205.68,207.0,206.28,1.00291715286,-1.0034904014
planar150_s,str10tr20zhifmvdvo7,207.19,200.01,200.01,-1.03589820509,1.0
neos-934531,zhifmvxpsve1str10tr20dvo7,645.35,1466.68,2133.34,3.3057100798,1.45453677694
qiu,zhifmvmultiple2passf20,164.01,1816.38,357.56,2.18011096884,-5.07993064101
n050w4-0,zhifmvxpsve1str10tr20dvo7,400.0,406.3,488.59,1.221475,1.20253507261
acc-tight5,zhifmvxpsve1str10tr20dvo7,400.0,1600.01,1200.01,3.000025,-1.33333055558
e20200,str10tr20zhifmvdvo7,1.48,23.36,25.81,17.4391891892,1.10488013699
mcsched,str10tr20zhifmvdvo7,3.16,242.24,252.89,80.0284810127,1.04396466314
neos16,zhifmvnodeupfewest,3.985,416.72,216.43,54.3111668758,-1.92542623481
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,138.18,333.56,138.19,1.00007236937,-2.41377813156
danoint,str10tr20zhifmvdvo7,336.33,87.29,79.14,-4.24981046247,-1.10298205711
dfn-gwin-UUM,prxt1,0.02,38.63,30.68,1534.0,-1.25912646675
neos-948346,str10tr20zhifmvdvo7,400.0,544.5,436.27,1.090675,-1.24808031723
neos-1330346,zhifmvpptn5005043,66.36,606.25,606.25,9.13577456299,1.0
lectsched-4-obj,zhifmvmultiple2passf45,21.01,375.56,340.0,16.1827701095,-1.10458823529
n030w4-1,str10tr20zhifmvdvo7,221.34,266.17,254.57,1.15013102015,-1.04556703461
e40400,str10tr20zhifmvdvo7,205.4,244.12,302.08,1.47069133398,1.2374242176
neos-777800,str10tr20zhifmvdvo7,694.46,200.01,200.01,-3.47212639368,1.0
neos-633273,zhifmvpptn5005043,338.72,895.73,895.73,2.64445559754,1.0
mas74,zhifmvmultiple2passf20,49.6,19.37,22.57,-2.19760744351,1.16520392359
mas76,str10tr20zhifmvdvo7,19.37,51.96,49.6,2.56066081569,-1.04758064516
eilC76,str10tr20zhifmvdvo7,3.37,424.02,424.74,126.035608309,1.00169803311
mzzv11,zhifmvpptn5005043,147.22,415.0,411.53,2.79534030702,-1.00843194907
qnet1,str10tr20zhifmvdvo7,21.01,51.49,21.43,1.01999048072,-2.40270648623
neos-1396125,zhifmvpptn5005043,764.62,4980.94,4980.95,6.51428160393,1.00000200765
tanglegram2,str10tr20zhifmvdvo7,252.38,2164.6,2164.6,8.57674934622,1.0
rmine6,zhifmvpptn5005043,764.62,202.56,202.53,-3.77534192465,-1.0001481262
fiber,zhifmvnodeupfewest,1.63,121.16,117.96,72.3680981595,-1.02712783995
mitre,str10tr20zhifmvdvo7,213.6,207.56,207.56,-1.02910001927,1.0
fast0507,zhifmvnodeupdepth,215.81,220.37,220.21,1.02038830453,-1.00072657917
a1c1s1,str10tr20zhifmvdvo7,383.02,640.07,832.04,2.17231476163,1.29992032121
neos-538916,str10tr20zhifmvdvo7,410.0,312.46,347.66,-1.17931312202,1.11265441977
vpphard,zhifmvnodeupfewest,266.36,3756.92,4338.98,16.2899083947,1.15493010232
long_hidden01,str10tr20zhifmvdvo7,209.93,3261.6,3237.46,15.4216167294,-1.00745646278
layer3,str10tr20zhifmvdvo7,574.43,413.38,435.4,-1.31931557189,1.0532681794
pk1,zhifmvmultiple2passf20,118.66,412.27,356.37,3.0032867015,-1.15685944384
aflow30a,zhifmv,26.89,133.84,133.84,4.97731498698,1.0
reblock67,zhifmvnodeupfewest,327.86,52.75,217.81,-1.50525687526,4.12909952607
layer2,zhifmvnodedepth,5.92,113.05,113.05,19.0962837838,1.0
n080w8-1,str10tr20zhifmvdvo7,369.48,914.15,713.19,1.930253329,-1.28177624476
neos-859770,cts0,45.76,6300.0,6300.0,137.674825175,1.0
30n20b8,str10tr20zhifmvdvo7,238.35,1707.82,4961.68,20.8167820432,2.9052710473
n030w4-2,str10tr20zhifmvdvo7,259.37,221.54,222.34,-1.16654673023,1.00361108603
neos-1120495,str10tr20zhifmvdvo7,200.76,243.15,321.55,1.60166367802,1.32243471108
app1-2,zhifmvpptn5005043,406.57,5942.13,5942.13,14.6152692033,1.0
enlight13,zhifmv,228.52,5660.45,5660.43,24.7699544898,-1.0000035333
tas010,str10tr20zhifmvdvo7,213.38,626.45,440.12,2.06261130378,-1.42336181042
n030w4-3,zhifmvnodeupfewest,600.01,247.05,252.05,-2.38051973815,1.02023881805
A-1,str10tr20zhifmvdvo7,205.4,252.32,252.32,1.22843232717,1.0
neos-1223462,zhifmvnodeupfewest,233.45,400.01,200.01,-1.16719164042,-1.9999500025
neos-686190,zhifmvxpsve1str10tr20dvo7,225.79,462.27,697.7,3.09003941716,1.50929110693
yue20023.1.150,zhifmvpptn5005043,701.56,520.13,670.14,-1.04688572537,1.28840866706
n050w4-3,str10tr20zhifmvdvo7,402.29,300.68,248.73,-1.61737627146,-1.20886101395
dsbmip,zhifmvnodeupfewest,259.36,0.02,0.02,-12968.0,1.0
ds,str10tr20zhifmvdvo7,428.8,1980.28,2083.64,4.85923507463,1.05219463914
protfold,str10tr20zhifmvdvo7,571.98,2264.97,1413.84,2.47183467953,-1.60199881175
sp98ar,str10tr20zhifmvdvo7,251.11,227.33,225.81,-1.1120410965,-1.00673132279
noswot,zhifmv,4.52,61.34,62.03,13.7234513274,1.01124877731
ns1208400,zhifmvnodedowndepth,211.48,6300.0,6300.0,29.7900510687,1.0
neos-960392,zhifmvnodeupfewest,406.3,416.39,400.0,-1.01575,-1.040975
dano3mip,str10tr20zhifmvdvo7,468.38,467.26,478.94,1.02254579615,1.0249967898
neos-555884,zhifmvnodeupfewest,2.1,237.62,243.27,115.842857143,1.02377745981
n050w4-1,zhifmvmultiple2passf20,321.59,445.45,400.0,1.24381977052,-1.113625
neos-916792,str10tr20zhifmvdvo7,0.22,268.26,287.02,1304.63636364,1.06993215537
opm2-z7-s2,str10tr20zhifmvdvo7,4000.0,751.47,807.12,-4.95589255625,1.07405485249
zib54-UUE,str10tr20zhifmvdvo7,600.01,383.02,464.56,-1.29156621319,1.21288705551
tr12-30,zhifmvnodeupdepth,300.0,602.89,603.83,2.01276666667,1.00155915673
layer4,str10tr20zhifmvdvo7,3.37,574.43,574.43,170.454005935,1.0
neos-1595230,zhifmvnodedepth,0.02,271.11,272.26,13613.0,1.00424182066
neos-957323,str10tr20zhifmvdvo7,200.01,400.0,400.0,1.999900005,1.0
lseu,str10tr20zhifmvdvo7,280.78,123.07,123.07,-2.28146583245,1.0
gt2,zhifmvpptn5005043,116.225,764.62,764.62,6.57879113788,1.0
neos-1437164,zhifmvpptn5005043,129.36,97.24,97.24,-1.33031674208,1.0
neos-641591,zhifmvpptn5005043,271.55,1677.49,200.76,-1.35261008169,-8.35569834628
neos-1622252,zhifmvnodeupfewest,200.01,733.29,733.29,3.66626668667,1.0
bnatt350,zhifmvnodeupdepth,464.58,4200.01,4200.01,9.04044513324,1.0
e10400,zhifmvmultiple2passf20,0.73,3.66,5.32,7.28767123288,1.45355191257
a10100,str10tr20zhifmvdvo7,6.69,2.32,2.32,-2.88362068966,1.0
neos-799838,str10tr20zhifmvdvo7,510.99,444.61,398.06,-1.28370094961,-1.11694216952
beasleyC3,zhifmvnodeupfewest,266.39,407.6,601.42,2.25766732985,1.47551521099
neos-957389,zhifmv,56.26,600.0,400.0,7.10984713829,-1.5
neos-849702,str10tr20zhifmvdvo7,1.41,2000.01,4200.01,2978.73049645,2.09999450003
neos-957143,zhifmvnodeupfewest,400.0,400.0,400.0,1.0,1.0
rd-rplusc-21,str10tr20zhifmvdvo7,2628.33,4400.0,4400.0,1.67406680287,1.0
pdistuchoa,str10tr20zhifmvdvo7,0.02,800.24,792.08,39604.0,-1.0103019897
neos-950242,str10tr20zhifmvdvo7,300.46,728.33,675.0,2.2465552819,-1.07900740741
eilC76.2,zhifmvmultiple2dvo7,380.25,383.42,351.93,-1.08047054812,-1.0894780212
neos-931538,zhifmvnodedepth,201.83,499.0,485.08,2.40340880939,-1.02869629752
timtab2,str10tr20zhifmvdvo7,17.91,1448.87,1415.83,79.0524846454,-1.02333613499
t1717,zhifmvxpsve1str10tr20dvo7,225.08,774.4,720.96,3.20312777679,-1.07412339103
ran16x16,zhifmvnodeupdepth,191.52,30.05,31.87,-6.00941324129,1.06056572379
neos-1441553,zhifmvmultiple2passf20,50.15,295.76,204.56,4.07896311067,-1.44583496285
