instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvhr0nve1str10tr20dvo7rnd1rns1,840.146061036,402.0,400.68,-2.09680059158,-1.00329439952
neos-631694,str10tr20zhifmvdvo7,263.805741171,329.0,327.5,1.24144379325,-1.00458015267
neos-633273,str10tr20zhifmvdvo7,840.146061036,895.73,895.73,1.06615985189,1.0
core2536-691,zhifmvlgmiend1lyltmend1lyrdcifmv,1589.37864929,401.79,401.98,-3.95387494226,1.00047288384
bell3a,str10tr20zhifmvdvo7,268.434671401,4.53,4.53,-59.2571018546,1.0
n080w8-7,str10tr20zhifmvdvo7,854.246047045,493.27,500.75,-1.7059331943,1.01516410891
neos-801834,zhifmvmultiple2passf45,303.423557018,295.75,236.95,-1.28053832884,-1.24815361891
neos-1337307,str10tr20zhifmvdvo7,280.514119192,207.0,206.28,-1.35987065732,-1.0034904014
planar150_s,str10tr20zhifmvdvo7,279.943872594,200.01,200.01,-1.3996493805,1.0
neos-934531,str10tr20zhifmvdvo7,3036.19134497,1400.01,2133.34,-1.42321024542,1.5238034014
n050w4-0,zhifmvlgmiend1lyltmend1lyrdcifmv,1583.47582474,355.26,488.59,-3.24090919737,1.37530259528
acc-tight5,str10tr20zhifmvdvo7,364.903141885,1600.01,1200.01,3.28857130087,-1.33333055558
e20200,zhifmvhr0nve1str10tr20dvo7rnd1rns1,256.139845548,202.4,25.81,-9.92405445751,-7.84192173576
mcsched,zhifmvmultiple2passf45,300.943234035,264.9,252.89,-1.19001634717,-1.04749100399
neos16,str10tr20zhifmvdvo7,267.85425761,417.28,216.43,-1.23760226221,-1.92801367648
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,262.545740047,333.56,138.19,-1.89988957267,-2.41377813156
danoint,zhifmvmultiple2ltmend1lylgmiend1ly,848.539515635,77.84,79.14,-10.7220055046,1.01670092497
dfn-gwin-UUM,str10tr20zhifmvdvo7,264.101714488,40.93,30.68,-8.60826970301,-1.33409387223
neos-948346,str10tr20zhifmvdvo7,253.010052688,544.5,436.27,1.72431883779,-1.24808031723
neos-1330346,str10tr20zhifmvdvo7,299.788610545,600.0,606.25,2.02225828025,1.01041666667
lectsched-4-obj,zhifmvmultiple4,259.238164708,360.0,340.0,1.3115352841,-1.05882352941
n030w4-1,str10tr20zhifmvdvo7,287.416948126,266.17,254.57,-1.12902913983,-1.04556703461
e40400,str10tr20zhifmvdvo7,256.503981982,244.12,302.08,1.17768152239,1.2374242176
neos-777800,zhifmvhr0nve1str10tr20dvo7rnd1rns1,257.026345478,200.01,200.01,-1.28506747402,1.0
mas74,str10tr20zhifmvdvo7,264.101714488,17.2,22.57,-11.7014494678,1.31220930233
mas76,str10tr20zhifmvdvo7,260.128557001,51.96,49.6,-5.24452735889,-1.04758064516
gesa2-o,str10tr20zhifmvdvo7,270.545585497,2.11,2.11,-128.220656634,1.0
qnet1,zhifmvmultiple2str10tr20dvo7,848.539515635,37.1,21.43,-39.5958710049,-1.73121791881
neos-1396125,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,355.05,4980.95,19.7618453023,14.0288691734
tanglegram2,str10tr20zhifmvdvo7,285.077591124,2164.6,2164.6,7.59302052281,1.0
rmine6,str10tr20zhifmvdvo7,294.963557856,202.2,202.53,-1.45639440012,1.00163204748
neos-1109824,str10tr20zhifmvdvo7,290.838326533,300.46,250.98,-1.15881076792,-1.19714718304
mitre,str10tr20zhifmvdvo7,959.730261516,207.56,207.56,-4.62386905722,1.0
a1c1s1,str10tr20zhifmvdvo7,279.425114316,640.07,832.04,2.97768510192,1.29992032121
sprint_hint01_j,str10tr20zhifmvdvo7,261.663968026,369.67,362.87,1.38677863344,-1.01873949348
vpphard,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3025.98160337,3814.0,4338.98,1.43390825482,1.13764551652
neos-957270,str10tr20zhifmvdvo7,282.767399862,400.0,400.0,1.41459022573,1.0
layer3,str10tr20zhifmvdvo7,270.545585497,413.38,435.4,1.60934061888,1.0532681794
pk1,str10tr20zhifmvdvo7,258.058169968,506.25,356.37,1.38096770989,-1.4205741224
aflow30a,str10tr20zhifmvdvo7,280.514119192,135.04,133.84,-2.09589150621,-1.00896592947
n080w8-1,str10tr20zhifmvdvo7,260.753425629,914.15,713.19,2.73511267696,-1.28177624476
layer2,str10tr20zhifmvdvo7,262.545740047,130.25,113.05,-2.3223860243,-1.15214506855
pg5_34,str10tr20zhifmvdvo7,270.545585497,15.55,15.99,-16.9196738897,1.02829581994
neos-859770,str10tr20zhifmvdvo7,280.514119192,6300.0,6300.0,22.4587625684,1.0
n030w4-3,zhifmvhr0nve1str10tr20dvo7rnd1rns1,281.279509458,243.65,252.05,-1.11596710755,1.03447568233
n030w4-2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,256.503981982,221.34,222.34,-1.15365648098,1.00451793621
neos-1120495,str10tr20zhifmvdvo7,959.730261516,243.15,321.55,-2.98469992697,1.32243471108
app1-2,str10tr20zhifmvdvo7,426.295200622,5952.19,5942.13,13.9390028115,-1.00169299561
enlight13,str10tr20zhifmvdvo7,6254.73558912,5643.41,5660.43,-1.10499301098,1.00301590705
neos-632335,str10tr20zhifmvdvo7,844.629985808,920.72,920.72,1.09008680188,1.0
neos-1223462,cts0,252.048830653,200.01,200.01,-1.26018114421,1.0
neos-686190,str10tr20zhifmvdvo7,308.624917712,427.9,697.7,2.26067293974,1.6305211498
yue20023.1.150,zhifmvhr0nve1str10tr20dvo7rnd1rns1,256.503981982,2300.0,670.14,2.61259102031,-3.43211866177
n050w4-3,xpsve2,256.139845548,312.18,248.73,-1.02979071905,-1.25509588711
dsbmip,zhifmvlgmiend1lyltmend1ly,259.238164708,0.02,0.02,-12961.9082354,1.0
ds,str10tr20zhifmvdvo7,822.077948572,1980.28,2083.64,2.53460149809,1.05219463914
protfold,zhifmvrdcifmv,259.589758161,1361.64,1413.84,5.44643983652,1.03833612409
sp98ar,str10tr20zhifmvdvo7,295.108724362,227.33,225.81,-1.30688952819,-1.00673132279
noswot,str10tr20zhifmvdvo7,260.128557001,59.07,62.03,-4.19359272934,1.05011003894
ns1208400,zhifmvmultiple2passf45,6162.114322,6300.0,6300.0,1.02237635831,1.0
neos-960392,str10tr20zhifmvdvo7,253.010052688,411.76,400.0,1.58096485001,-1.0294
dano3mip,str10tr20zhifmvdvo7,1559.45276921,467.26,478.94,-3.25605038044,1.0249967898
neos10,str10tr20zhifmvdvo7,261.79888738,478.6,440.2,1.68144335679,-1.08723307587
gmu-35-40,str10tr20zhifmvdvo7,267.85425761,2.08,1.83,-146.368446781,-1.13661202186
neos-916792,str10tr20zhifmvdvo7,280.514119192,268.26,287.02,1.02319270355,1.06993215537
opm2-z7-s2,str10tr20zhifmvdvo7,261.79888738,751.47,807.12,3.08297719703,1.07405485249
zib54-UUE,str10tr20zhifmvdvo7,257.026345478,383.02,464.56,1.80744117548,1.21288705551
tr12-30,str10tr20zhifmvdvo7,268.142323518,625.62,603.83,2.25190112504,-1.03608631568
neos-820879,str10tr20zhifmvdvo7,4244.2154522,227.73,215.53,-19.6919939322,-1.056604649
neos-1215891,zhifmvmultiple2str10tr20dvo7,258.830432363,201.83,202.5,-1.27817497463,1.00331962543
neos-957323,str10tr20zhifmvdvo7,267.817965393,400.0,400.0,1.493551784,1.0
lseu,str10tr20zhifmvdvo7,276.875644766,123.07,123.07,-2.24974116166,1.0
gt2,str10tr20zhifmvdvo7,269.098042828,764.62,764.62,2.8414179158,1.0
neos-1437164,zhifmvhr0nve1str10tr20dvo7rnd1rns1,264.518839965,0.02,97.24,-2.72026779068,4862.0
neos-641591,str10tr20zhifmvdvo7,278.00668707,321.8,200.76,-1.38477130439,-1.60290894601
T2_300_5000_0,str10tr20zhifmvdvo7,276.875644766,209.83,232.69,-1.18989060452,1.1089453367
ex9,zhifmvlgmiend1lyltmend1lyrdcifmv,264.518839965,3200.0,3200.0,12.0974369932,1.0
e10400,str10tr20zhifmvdvo7,268.722097048,6.05,5.32,-50.5116723774,-1.13721804511
a10100,str10tr20zhifmvdvo7,280.514119192,2.32,2.32,-120.911258272,1.0
neos-799838,zhifmvhr0nve1str10tr20dvo7rnd1rns1,782.509539973,463.06,398.06,-1.96580801882,-1.16329196604
beasleyC3,zhifmvhr0nve1str10tr20dvo7rnd1rns1,252.048830653,385.22,601.42,2.38612493635,1.56123773428
neos-957389,zhifmvmultiple2str10tr20dvo7,848.539515635,400.0,400.0,-2.12134878909,1.0
dcmulti,str10tr20zhifmvdvo7,280.514119192,13.45,13.45,-20.8560683414,1.0
neos-849702,str10tr20zhifmvdvo7,965.467943417,2000.01,4200.01,4.35023247394,2.09999450003
neos-957143,str10tr20zhifmvdvo7,270.483054296,400.0,400.0,1.47883571132,1.0
rd-rplusc-21,zhifmvmultiple2passf45,437.110557757,3821.39,4400.0,10.0661032362,1.1514134909
pdistuchoa,zhifmvmultiple2str10tr20dvo7,2154.30827044,930.89,792.08,-2.71981147162,-1.17524744975
neos-950242,zhifmvmultiple4,317.012150708,1817.88,675.0,2.1292559244,-2.69315555556
neos-538916,str10tr20zhifmvdvo7,280.514119192,312.46,347.66,1.23936720548,1.11265441977
neos-931538,str10tr20zhifmvdvo7,287.416948126,901.62,485.08,1.68772232522,-1.85870371897
timtab2,str10tr20zhifmvdvo7,849.0212883,1448.87,1415.83,1.667602473,-1.02333613499
neos-860244,str10tr20zhifmvdvo7,303.423557018,402.45,132.25,-2.29431801148,-3.04310018904
ran16x16,str10tr20zhifmvdvo7,267.85425761,29.77,31.87,-8.4045891939,1.0705408129
neos-1441553,zhifmvhr0nve1str10tr20dvo7rnd1rns1,259.589758161,295.76,204.56,-1.26901524326,-1.44583496285
eilA101.2,str10tr20zhifmvdvo7,268.722097048,1015.14,641.07,2.3856244315,-1.58350882119
neos1,str10tr20zhifmvdvo7,270.887854785,196.56,172.96,-1.56618787457,-1.13644773358
a05100,str10tr20zhifmvdvo7,260.128557001,0.43,0.43,-604.950132561,1.0
p0548,str10tr20zhifmvdvo7,260.128557001,2023.78,2023.78,7.77992244808,1.0
disctom,zhifmvmultiple4,2956.65488214,200.01,200.01,-14.7825352839,1.0
pigeon-10,str10tr20zhifmvdvo7,267.817965393,210.01,210.01,-1.27526291792,1.0
ibarra,str10tr20zhifmvdvo7,816.096005772,241.72,309.82,-2.63409723637,1.28173092835
neos-953928,str10tr20zhifmvdvo7,294.194853954,400.44,400.4,1.3610027321,-1.0000999001
neos-555927,str10tr20zhifmvdvo7,276.892250941,219.03,448.43,1.6195108331,2.04734511254
c20400,str10tr20zhifmvdvo7,267.85425761,203.87,203.71,-1.31488025924,-1.00078543027
m100n500k4r1,str10tr20zhifmvdvo7,290.843964443,92.01,92.01,-3.16100385222,1.0
neos-709469,str10tr20zhifmvdvo7,268.722097048,200.01,200.01,-1.34354330807,1.0
csched010,zhifmvmultiple2ltmend1lylgmiend1ly,252.048830653,1014.38,679.06,2.69416048565,-1.49380025329
cov1075,str10tr20zhifmvdvo7,258.830432363,191.64,193.81,-1.33548543606,1.01132331455
modglob,zhifmvhr0nve1str10tr20dvo7rnd1rns1,259.589758161,6.23,8.22,-31.58026255,1.31942215088
fast0507,str10tr20zhifmvdvo7,268.142323518,223.14,220.21,-1.21766642531,-1.01330548113
