instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,xpsve1,37024.7410087,26389.110829,25906.248111,-1.4291819043,-1.01863885175
egout,zhifmvhr0nve1str10tr20dvo7rnd1rns1,29734.3240703,265207.1184,265207.1184,8.91922472404,1.0
core2536-691,zhifmvmultiple4,47647.7691447,28474.530473,15468.800219,-3.08024982352,-1.84077175152
bell3a,zhifmvmultiple2ltmend1lylgmiend1ly,31955.934852,1054.951985,732.407338,-43.6313690401,-1.44038969883
d20200,zhifmvnodeupfewest,7605.10804204,9766.311491,5956.449415,-1.276785466,-1.63961964764
neos-801834,zhifmvmultiple4,13324.1917184,17753.281855,7772.25927,-1.71432671705,-2.28418549077
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,354749.128392,2732.743822,3728.829555,-95.1368581373,1.36450022318
ds,zhifmvnodedowndepth,70203.2523695,319724.02016,326895.484804,4.65641510572,1.02243017162
planar150_s,zhifmvmultiple2passf20,50019.6425657,334.351,263.3588,-189.929641864,-1.26956456363
neos-934531,zhifmvmultiple2str10tr20dvo7,580780.607061,306394.79151,383168.300595,-1.5157323979,1.25057054236
br2,zhifmvpptn5005043,37068.2304201,61647.819727,116772.24574,3.15019747144,1.89418289661
acc-tight5,cbn21,82377.2713723,186041.2214,187296.1832,2.27363907641,1.00674561149
e20200,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,3926.43156021,3846.881512,3081.621339,-1.27414472068,-1.24833037185
mcsched,zhifmvnodehybrid,31221.9323638,8883.64798,9604.093581,-3.25089839041,1.08109794564
neos-1599274,zhifmvlgmiend1lyltmend1ly,40146.6260167,9776.955218,9765.504818,-4.1110650975,-1.00117253539
blend2,hr0,34725.5623776,21923.645517,23685.1488,-1.4661323292,1.08034718868
danoint,zhifmvnodedepth,55737.2282174,11758.702579,11775.024763,-4.73351261159,1.00138809396
dfn-gwin-UUM,str10tr20zhifmvdvo7,18827.9836102,1681.647043,3066.394846,-6.14010411436,1.82344735107
neos-948346,zhifmvnodeupfewest,11124.2952866,14540.472279,15863.460324,1.42601934912,1.09098659381
neos-1330346,zhifmvmultiple2pptn5005043,122576.973088,111301.574531,69179.11104,-1.7718784073,-1.60888992151
lectsched-4-obj,zhifmvnodeupfewest,93605.48918,39401.64778,24550.183041,-3.81282245528,-1.60494313685
liu,hr0,11985.9406521,91896.13841,62692.419497,5.23049640547,-1.4658253605
newdano,xpsve2,68045.3226822,96311.156509,88137.097768,1.29527047994,-1.09274254483
e40400,zhifmvmultiple2passf45,12271.3724928,15047.629925,19138.241843,1.55958446003,1.2718442664
rmatr100-p5,str10tr20zhifmvrdcifmv,59376.2016823,78817.283569,54654.318848,-1.08639542005,-1.44210531263
mas74,zhifmvltmend1lyroot,6332.70297214,2343.153628,2328.458162,-2.71969798534,-1.00631124331
mas76,str10tr20zhifmvdvo7,3707.6645613,8653.614046,8467.091552,2.28367248763,-1.02202911033
gesa2-o,zhifmvhr0nve1str10tr20dvo7rnd1rns1,15473.867947,174.211135,155.722814,-99.368021612,-1.11872583422
qnet1,str10tr20zhifmvdvo7,5262.70858539,7703.203205,3674.393928,-1.43226575281,-2.09645545795
neos-1396125,str10tr20zhifmvdvo7,48156.4478044,259007.708848,845412.742644,17.5555461665,3.26404471282
rmine6,zhifmvnodedownfewest,18289.7276403,750.695386,1487.441733,-12.2960968719,1.98141850974
mitre,zhifmvmultiple2passt2,211938.859036,1534.228115,1660.79391,-127.612979407,1.08249476969
a1c1s1,zhifmvrdcifmv,21271.9079789,94108.384541,99064.095152,4.65703853411,1.0526596077
neos-538916,str10tr20zhifmvdvo7,13412.9979279,15372.024121,18863.215949,1.40633854194,1.22711334568
rgn,zhifmvhr0nve1str10tr20dvo7rnd1rns1,38106.2368958,46800.547749,48146.4792,1.26348028885,1.02875888244
neos-957270,zhifmvltmend1lyroot,38746.7000443,6609.6,8370.229,-4.62910871905,1.26637451586
ash608gpia-3col,str10tr20zhifmvdvo7,115947.956148,1080043.5115,1080043.5115,9.31489909251,1.0
noswot,zhifmvmultiple2ltmend1lylgmiend1ly,7302.38503062,16744.1868,10605.481817,1.45233122775,-1.57882377142
