instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-538916,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,8651.0116902,11444.281442,18863.215949,2.18046358328,1.64826564644
neos-631694,zhifmvhr0nve1str10tr20dvo7,6841.80257428,28786.91798,25906.248111,3.78646531082,-1.11119594998
egout,zhifmvnodedowndepth,45158.4121137,265207.1184,265207.1184,5.87281762105,1.0
bell3a,cts0,12.9689510516,3653.64,732.407338,56.473907187,-4.98853549171
n080w8-7,zhifmvcbn21,70947.428765,45795.533059,37358.003848,-1.89912258304,-1.22585599716
neos-801834,zhifmvmultiple2passf20,28933.8487565,17476.60796,7772.25927,-3.72270761324,-2.24858787553
neos-1337307,cts0,260.946152898,3751.993963,3728.829555,14.2896513843,-1.00621224641
planar150_s,zhifmvmultiple2residualifmv,8085.42032796,320.6106,263.3588,-30.7011587536,-1.21739087511
neos-934531,str10tr20zhifmvdvo7,0.0,225891.419388,383168.300595,383168.300595,1.69624991349
qiu,zhifmvltmend1lyroot,6319.80102253,298138.818619,28717.138311,4.54399406067,-10.3819125496
acc-tight5,zhifmvltmend1lyroot,18132.2120557,151476.0,187296.1832,10.329472357,1.23647431408
neos10,zhifmvhr0nve1str10tr20dvo7,14556.0650905,30068.052666,23821.813858,1.63655587618,-1.26220668356
e20200,zhifmvlgmiend1lyltmend1lystr10tr20,255.953530008,3611.849052,3081.621339,12.0397688553,-1.1720612803
mcsched,zhifmvxpsve2str10tr20dvo7,170246.259086,14407.483198,9604.093581,-17.7264265128,-1.50013981814
neos16,hr0,9959.16779386,492679.657322,35074.447297,3.52182511862,-14.0466834203
blend2,zhifmvnodeupfewest,2414.29821824,23685.1488,23685.1488,9.81036585336,1.0
danoint,zhifmvxpsve1str10tr20dvo7,4586.72906597,13284.980447,11775.024763,2.56719431073,-1.12823375869
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1ly,36306.6837715,2173.87409,3066.394846,-11.840185493,1.41056690454
neos-948346,zhifmvmultiple2passf20,5502.07518107,26869.724991,15863.460324,2.88317767423,-1.69381234877
neos-1330346,zhifmvhr0nve1str10tr20dvo7,75150.6258531,69587.1899,69179.11104,-1.08631962341,-1.00589887401
lectsched-4-obj,zhifmvmultiple2dvo7,21.1945279643,27172.623387,24550.183041,1158.32648325,-1.10681958426
liu,zhifmvnodeupfewest,2414.37704791,61670.3844,62692.419497,25.9662920301,1.016572543
e40400,zhifmvltmend1lyroot,4204.15821927,61056.518888,19138.241843,4.55221731553,-3.19028881487
neos-777800,zhifmvmultiple2dvo7,3424.83486531,409.9236,652.6718,-5.24740744937,1.59217912801
mas74,str10tr20zhifmvrdcifmv,504.102545732,1776.777665,2328.458162,4.61901686812,1.31049495267
ds,zhifmvmultiple2passt2,46879.6753704,363784.288445,326895.484804,6.97307483939,-1.11284586467
eilC76,zhifmvmultiple2passt2,20951.5376203,34816.086969,39567.732364,1.8885359672,1.13647844455
gesa2-o,zhifmvlgmiend1lyltmend1ly,10.6044605636,160.423729,155.722814,14.684652092,-1.03018770904
qnet1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,891.542171141,1634.75663,3674.393928,4.12139105355,2.24767030185
neos-1396125,zhifmvrdcifmv,26944.6241365,122813.778191,845412.742644,31.3759337804,6.88369623585
rmine6,zhifmvxpsve2str10tr20dvo7,35297.2535348,21947.454951,1487.441733,-23.7301756107,-14.7551695398
mitre,zhifmvhr0nve1str10tr20dvo7,1607.32316833,1536.973384,1660.79391,1.03326695137,1.08056126885
fast0507,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6799.15481834,6580.273021,12929.709941,1.90166429306,1.96491998124
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,47671.0999896,48222.982989,99064.095152,2.07807445546,2.05429214478
sprint_hint01_j,zhifmvmultiple4,38992.7046771,26956.373679,35160.060926,-1.10900560608,1.30433200492
vpphard,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,44592.0318981,662317.88805,714307.507528,16.0187252548,1.0784964749
modglob,str10tr20zhifmvrdcifmv,23.5066133176,1295.293875,1411.487825,60.0464135743,1.08970470118
noswot,zhifmvnodedepth,58892.7834032,10220.922679,10605.481817,-5.553051188,1.03762469887
pk1,zhifmvxpsve1str10tr20dvo7,607425.244184,70199.552296,40095.974263,-15.1492825738,-1.7507880426
stein45,str10tr20zhifmv,31674.1993692,96005.061528,84055.69322,2.65375904976,-1.14216013039
reblock67,cts0,30281.9524032,7729.247208,3581.409427,-8.45531710922,-2.15815794467
layer2,cts0,1880.57353308,3295.078805,16134.777675,8.57971113132,4.8966287697
pg5_34,zhifmvmultiple2ltmend1lylgmiend1ly,48274.4468998,432.269425,303.923451,-158.837518925,-1.42229704084
enlight14,zhifmvltmend1lyroot,172184.269618,1080013.7406,1080013.7406,6.27242978116,1.0
n030w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,11692.6396405,7814.071305,11041.72655,-1.05895029981,1.41305679447
n030w4-2,zhifmvlgmiend1lyltmend1lyrdcifmv,8314.42562529,12429.848643,12602.21489,1.51570480728,1.01386712356
neos-1120495,xpsve1,4950.6041946,17868.883502,17857.304091,3.60709589963,-1.00064844116
app1-2,xpsve2,25025.7014067,787902.106677,999390.328513,39.9345581677,1.26841941409
enlight13,cts0,1080000.85152,1014167.41804,969472.182567,-1.11400911851,-1.04610264872
A-1,zhifmvltmend1lyroot,4204.15813585,9888.084096,9532.950458,2.26750520555,-1.03725327637
neos-1223462,zhifmvmultiple2passt2,12161.3860104,128690.4,31188.5496,2.56455551804,-4.12620662552
neos-686190,zhifmvnodedepth,720006.919908,87103.963282,88438.873682,-8.14129454539,1.01532548405
yue20023.1.150,zhifmvltmend1lyroot,202376.582849,358814.72895,81983.992859,-2.46848897926,-4.37664373785
n050w4-3,zhifmvnodedownfewest,19371.5189139,13720.686162,16181.424205,-1.19714548413,1.17934511539
gen,zhifmvrdcifmv,25569.1979251,587.7324,587.7324,-43.5048296217,1.0
protfold,zhifmvnodeupdepth,1080003.92006,667266.05022,230876.182479,-4.67784900317,-2.89014675769
layer3,cts0,28064.8545389,65783.81301,38255.862222,1.36312348133,-1.71957470539
ns1208400,zhifmvhr0nve1str10tr20dvo7,717154.752364,1080029.771,1080030.916,1.50599422571,1.00000106016
neos-960392,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3867.57087375,17408.414669,18650.983119,4.82240241429,1.07137746163
dano3mip,zhifmvlgmiend1lyltmend1lyrdcifmv,161814.481926,20807.372701,22402.860516,-7.22293841941,1.07667896557
neos-555884,hr0,44774.1506428,11510.932574,11146.128886,-4.01701353902,-1.03272918264
sp98ar,zhifmvmultiple2passf20,6061.43753684,10522.235692,7028.234782,1.15949966312,-1.49713776195
tanglegram2,zhifmvmultiple2passt2,715240.140635,329591.945732,340466.295492,-2.10076636103,1.03299337226
opm2-z7-s2,zhifmvnodedowndepth,1080036.27745,87664.641778,83157.232073,-12.987881517,-1.05420346003
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,48507.5072698,37834.346914,39821.48862,-1.21812390623,1.05252216222
tr12-30,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,16349.7619319,52807.456618,88537.021959,5.41518722582,1.67660076113
neos-820879,zhifmvhr0nve1str10tr20dvo7,1400.0196815,4242.121001,3228.079918,2.30573895543,-1.31413134394
dsbmip,str10tr20zhifmvrdcifmv,4022.7235127,19.412397,23.113197,-174.044443644,1.19064106303
neos-957323,zhifmvmultiple2pptn5005043,8337.9602473,21754.559939,11784.180254,1.41331691499,-1.84608173586
lseu,cts0,33697.9938516,48288.7512,21088.6704,-1.59791931935,-2.28979590861
gt2,zhifmvxpsve2str10tr20dvo7,675066.471357,131063.4036,131063.4036,-5.15068625425,1.0
neos-1437164,prxt1,223.316175547,16663.05,16667.577002,74.6366758303,1.00027167907
neos-641591,zhifmvmultiple2dvo7,709.749624988,5461.183977,4276.537427,6.02541695894,-1.27701068217
neos-1622252,cts0,43382.7330845,86374.299431,86788.803233,2.00053793439,1.0047989252
bnatt350,zhifmvhr0nve1str10tr20dvo7,6848.97008598,720009.1604,720009.1604,105.126632378,1.0
e10400,zhifmvmultiple3,84.2121487347,354.581367,111.633126,1.3256178316,-3.17630957499
a10100,cts0,493.471148127,381.1752,381.1752,-1.29460454963,1.0
neos-799838,zhifmvlgmiend1lyltmend1lyrdcifmv,27859.0760697,33686.293905,35382.57976,1.27005575028,1.05035537183
flugpl,zhifmvxpsve2str10tr20dvo7,623392.308758,4639.7304,4639.7304,-134.359597437,1.0
neos-957389,cts0,3562.53914838,19044.2748,4536.6412,1.27342915012,-4.19787987642
dcmulti,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,6935.4158574,1251.86003,2289.3552,-3.02941887628,1.82876291689
neos-954925,cbn21,2015.60108898,26372.972375,23852.959007,11.8341665607,-1.10564783041
neos-957143,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3870.93999489,3795.146747,13632.260748,3.52169260335,3.59202467171
air05,zhifmvmultiple2passf45,370.496922918,5231.902286,7162.444035,19.3319933094,1.36899422877
pdistuchoa,zhifmvhr0nve1str10tr20dvo7,85155.0028965,149231.317171,113683.243687,1.33501544032,-1.31269404647
neos-950242,zhifmvnodeupdepth,718780.825021,56791.214262,63924.645561,-11.244189447,1.12560800806
eilC76.2,cts0,17282.1111987,5900.788567,30758.969024,1.77981547916,5.21268787633
timtab2,str10tr20zhifmvrdcifmv,61823.0327705,213560.723644,212084.568037,3.43051058049,-1.00696022167
t1717,zhifmvltmend1lyroot,271007.813565,77057.101915,71434.953722,-3.79377040853,-1.07870304242
ran16x16,hr0,9164.37875012,2724.719757,1949.572993,-4.70071076232,-1.39759822627
neos-1441553,zhifmvhr0nve1str10tr20dvo7,66.2224979163,16661.59136,210.706649,3.1817985674,-79.0748248291
eilA101.2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,7064.26982148,78450.288091,54686.341877,7.74125893532,-1.43454993328
neos1,zhifmvxpsve1,67316.4952931,19401.898087,15074.783514,-4.46550328438,-1.28704323143
a05100,hr0,234.190840905,57.2436,57.2436,-4.09112705883,1.0
p0548,cts0,585.812873704,131102.4384,346941.4572,592.239386967,2.64633870608
neos-1215891,xpsve1,12315.6202116,31109.772953,22314.335027,1.81187261735,-1.39416087978
disctom,str10tr20zhifmv,1725.30241919,464.8854,462.5954,-3.72961430052,-1.00495033025
vpm2,zhifmvhr0nve1str10tr20dvo7,8231.97250404,18774.980598,18208.406497,2.21191293922,-1.03111607274
pigeon-10,zhifmvmultiple4,13457.7685192,36004.4655,36004.4655,2.67536668123,1.0
nw04,zhifmvresidualifmv,22134.2007945,4498.801651,12693.678779,-1.74371836406,2.82156888961
neos-953928,str10tr20zhifmvrdcifmv,33606.0008313,10350.24704,7890.046045,-4.25929083806,-1.31181072721
irp,zhifmvltmend1lyroot,4204.15824045,1065.802771,1114.606162,-3.77187780203,1.0457902647
c20400,zhifmvmultiple2dvo7,3399.21458989,525.626776,945.304204,-3.59589492515,1.79843236144
nug08,zhifmvxpsve2str10tr20dvo7,79125.26338,15770.500709,15729.014578,-5.03052896211,-1.00263755436
neos-709469,hr0,59848.7417637,30091.603,258.7786,-231.273922046,-116.283197297
csched010,zhifmvmultiple2residualifmv,15289.925414,82130.610339,113519.1288,7.42443967031,1.38217807382
cov1075,zhifmvxpsve2str10tr20dvo7,46564.5630018,31848.267613,31862.944656,-1.46140174753,1.00046084274
neos-860244,cts0,1074321.29471,39319.593323,20098.732269,-53.4521919259,-1.95632206035
bley_xl1,str10tr20zhifmvdvo7,0.0,22008.900105,21684.802184,21684.802184,-1.01494585555
trd445c,str10tr20zhifmvdvo7,0.0,16468.145673,16894.619794,16894.619794,1.0258969121
iis-pima-cov,zhifmvxpsve1str10tr20dvo7,57210.344784,46960.080946,50587.76284,-1.13091272617,1.07725033307
A-2,cts0,17282.1111987,340317.227325,79878.724819,4.62204668751,-4.26042388754
netdiversion,str10tr20zhifmvdvo7,0.0,117610.932129,103334.545887,103334.545887,-1.13815695535
