instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,prxt1,64141.2521316,27229.223258,34709.368546,-1.84795214717,1.2747101971
neos-631694,zhifmvcbn21,111236.368278,53479.150829,25906.248111,-4.29380463744,-2.06433407879
egout,zhifmvmultiple2passf45,14470.9338941,265207.1184,265207.1184,18.3268834162,1.0
bell3a,zhifmvmultiple2dvo7,86172.9754062,1054.888028,732.407338,-117.657170997,-1.44030237447
d20200,zhifmvmultiple3,9676.24266332,8969.005413,5956.449415,-1.62449841997,-1.50576371729
neos-801834,zhifmvmultiple2dvo7,112179.57993,17543.624075,7772.25927,-14.4333296193,-2.25721035101
neos-1337307,zhifmvnodeupfewest,52788.8091342,3798.704328,3728.829555,-14.1569380835,-1.01873906328
planar150_s,zhifmvnodehybrid,-99600.0383989,265.649,263.3588,-0.00264416363923,-1.00869612103
neos-934531,zhifmvmultiple2ltmend1lylgmiend1ly,133067.924104,259452.731981,383168.300595,2.87949408675,1.47683278441
n050w4-0,zhifmvmultiple2,163611.387641,38339.621744,65125.077017,-2.51226401773,1.69863639897
e40400,zhifmv,13454.0370185,19098.532513,19138.241843,1.42249064847,1.00207918226
br2,zhifmvmultiple3,-11771.2496178,69129.230318,116772.24574,-9.92012314172,1.68918770255
acc-tight5,zhifmvmultiple2residualifmv,155016.993764,137843.5556,187296.1832,1.20823000532,1.35875908297
e20200,zhifmvmultiple2dvo7,111846.435818,3671.083253,3081.621339,-36.2946720295,-1.19128304524
mcsched,zhifmvmultiple3,12244.8501298,6719.744388,9604.093581,-1.27496155952,1.42923495694
l152lav,zhifmvmultiple3,-30961.4392059,4551.892537,4457.629003,-0.143973572202,-1.02114656333
blend2,zhifmvmultiple2,134202.203688,22742.068387,23685.1488,-5.66609079898,1.04146854178
danoint,zhifmvmultiple3,-27146.2589908,10792.597095,11775.024763,-0.433762337823,1.09102792028
dfn-gwin-UUM,zhifmvmultiple2,134195.84507,2711.05389,3066.394846,-43.7633937602,1.13107115182
neos-948346,zhifmvmultiple2passf45,94843.1204536,15878.349048,15863.460324,-5.97871577301,-1.00093855462
neos-1330346,zhifmvmultiple3,-16269.1775267,111150.429362,69179.11104,-4.25215785656,-1.60670508324
lectsched-4-obj,zhifmvmultiple2residualifmv,156812.919171,24256.346762,24550.183041,-6.38744399214,1.01211378951
liu,prxt1,111754.314436,28586.089809,62692.419497,-1.78258097762,2.19310930302
newdano,zhifmvmultiple3,-26519.9431049,105311.173038,88137.097768,-3.32342710614,-1.19485637382
dcmulti,zhifmvmultiple2passf45,14903.6450314,2027.079677,2289.3552,-6.50997496212,1.12938589735
rmatr100-p5,zhifmvcbn21,108262.948189,54321.728133,54654.318848,-1.9808672118,1.00612260925
rail507,zhifmvmultiple2passf45,-7885.94078395,15853.511193,15347.956627,-1.94624294646,-1.03293953575
mas74,zhifmvmultiple2,134206.434697,2030.50566,2328.458162,-57.6374688139,1.14673808001
mas76,zhifmvmultiple3,12632.2756791,8467.14461,8467.091552,-1.49192619467,-1.00000626638
eilC76,zhifmvmultiple2dvo7,111869.181641,33802.672597,39567.732364,-2.82728311575,1.17055041285
mzzv11,zhifmvmultiple2str10tr20,8647.35700638,28428.058892,26279.431281,3.03901310674,-1.08176081088
qnet1,zhifmvmultiple3,-33559.6061598,2583.584127,3674.393928,-0.109488589065,1.42220796668
neos-1396125,zhifmvxpsve2,106254.160625,96075.263918,845412.742644,7.95651424538,8.79948394798
rmine6,zhifmvmultiple2,134215.932423,798.970386,1487.441733,-90.2327327821,1.86169820442
mitre,zhifmvmultiple2,134162.681505,1573.614584,1660.79391,-80.7822576281,1.05540068508
fast0507,zhifmvmultiple2passf20,95652.2111397,9600.225312,12929.709941,-7.39786210024,1.34681317582
a1c1s1,zhifmvmultiple2,134180.886019,70744.50089,99064.095152,-1.35448555617,1.40030806502
sprint_hint01_j,zhifmvxpsve2,144905.781493,36148.163439,35160.060926,-4.12131770188,-1.02810298068
vpphard,zhifmvcbn21,123834.713209,585080.994012,714307.507528,5.76823322815,1.22086944344
modglob,zhifmvcbn21,98050.9708821,1411.487825,1411.487825,-69.4663950659,1.0
ash608gpia-3col,zhifmvmultiple2dvo7,-135838.29969,1080050.3817,1080043.5115,-7.95094987178,-1.00000636104
layer3,zhifmvmultiple2residualifmv,153602.123386,36611.621822,38255.862222,-4.01512642675,1.04491034044
pk1,zhifmvltmend1lyroot,108417.07093,40424.276751,40095.974263,-2.7039390593,-1.00818791647
aflow30a,zhifmvmultiple2passf45,25057.8172096,21407.691132,20177.024585,-1.24189853187,-1.06099346025
reblock67,zhifmvcbn21,99466.4226492,3050.448537,3581.409427,-27.7729828652,1.17405994022
layer2,zhifmvmultiple2passf45,20498.6399886,4507.635183,16134.777675,-1.27046312019,3.57943289995
pg5_34,zhifmvmultiple2residualifmv,151652.850984,477.755287,303.923451,-498.983709501,-1.57195927273
n030w4-0,zhifmvmultiple2,98156.1937243,13169.077457,49648.419575,-1.97702554411,3.77007575034
30n20b8,zhifmvnodehybrid,-9809.77354,667778.407893,842135.790435,-85.846608691,1.26110065926
n030w4-2,zhifmv,14578.8456036,12299.879796,12602.21489,-1.15684788197,1.02458032916
neos-1120495,zhifmvmultiple2,134219.853836,3636.593517,17857.304091,-7.5162439499,4.91044820036
app1-2,zhifmvmultiple2dvo7,85730.5458901,395137.37612,999390.328513,11.6573424109,2.52922246517
enlight13,zhifmvmultiple2ltmend1ly,537367.757167,963280.949572,969472.182567,1.80411304853,1.00642723496
neos-632335,zhifmvxpsve2,143945.142968,124952.198163,124573.712221,-1.15550175396,-1.00303824888
