instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2passf45,289763.267076,5773.63285,25906.248111,-11.1850726448,4.48699264121
neos-633273,zhifmvmultiple2dvo7,169350.640231,120411.234221,120073.820423,-1.41038770678,-1.00281005299
core2536-691,zhifmvlgmiend1lyltmend1ly,51295.4599143,17626.360941,15468.800219,-3.31605937035,-1.13947822012
bell3a,str10tr20zhifmvdvo7,40424.1127701,732.226826,732.407338,-55.1934841074,1.0002465247
n080w8-7,zhifmvmultiple4,69707.4464093,64528.641053,37358.003848,-1.86593070371,-1.72730430982
neos-801834,hr0,124041.594653,17641.289506,7772.25927,-15.9595286704,-2.26977625079
neos-1337307,zhifmvmultiple2pptn5005043,82568.7227612,2593.77854,3728.829555,-22.1433352057,1.43760521475
planar150_s,zhifmvpptn5005043,44103.4774935,267.939,263.3588,-167.465364717,-1.01739148265
neos-934531,zhifmvmultiple2passf45,371480.920076,284083.22402,383168.300595,1.03146159032,1.34878890479
qiu,zhifmvnodeupfewest,18858.005775,293574.959494,28717.138311,1.52280886185,-10.2229879703
e40400,zhifmvmultiple2passf45,6367.44320977,15047.629925,19138.241843,3.00563997393,1.2718442664
acc-tight5,zhifmvmultiple2ltmend1lylgmiend1ly,214432.159508,155322.1374,187296.1832,-1.14488269779,1.20585633404
e20200,zhifmvmultiple2dvo7,8950.31324373,3671.083253,3081.621339,-2.90441694781,-1.19128304524
mcsched,zhifmvmultiple2passf45,156204.640541,11500.182869,9604.093581,-16.2643813519,-1.19742511586
neos16,zhifmvmultiple2dvo7,30178.7759464,242742.123797,35074.447297,1.16222233,-6.92076832292
blend2,str10tr20zhifmvdvo7,26030.811155,23686.949685,23685.1488,-1.09903515383,-1.00007603435
danoint,xpsve2,70839.8028892,11834.606371,11775.024763,-6.01610648937,-1.00505999853
neos-931538,zhifmvlgmiend1lyltmend1lyrdcifmv,28822.0219999,34397.596574,30930.250204,1.07314643657,-1.11210211192
neos-948346,zhifmvnodeupfewest,9218.96872532,14540.472279,15863.460324,1.7207413103,1.09098659381
neos-1330346,zhifmvpptn5005043,144994.269593,69505.057297,69179.11104,-2.0959255968,-1.0047116283
lectsched-4-obj,cts0,59800.5556463,44811.890661,24550.183041,-2.43584968578,-1.82531798586
macrophage,zhifmvpptn5005043,441945.344764,32117.158551,34266.243189,-12.8973970775,1.06691390942
n030w4-1,zhifmvmultiple2str10tr20dvo7,23195.7032507,10835.643619,8984.180538,-2.5818385052,-1.20608035125
dcmulti,str10tr20zhifmvdvo7,24510.5307115,2293.927919,2289.3552,-10.706303116,-1.00199738293
neos-777800,zhifmvmultiple2dvo7,15948.8735104,409.9236,652.6718,-24.4362840717,1.59217912801
mas74,zhifmvltmend1lyroot,7717.89645253,2343.153628,2328.458162,-3.3145952882,-1.00631124331
ds,zhifmvmultiple4,54465.185866,349126.945206,326895.484804,6.00191626277,-1.06800785399
glass4,zhifmvmultiple2passf45,172893.126013,128175.863829,126792.801516,-1.36358786891,-1.01090805074
gesa2-o,zhifmvhr0nve1str10tr20dvo7rnd1rns1,76157.6814098,174.211135,155.722814,-489.059242211,-1.11872583422
qnet1,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6778.13528874,3890.75084,3674.393928,-1.8446947773,-1.05888233985
neos-1396125,zhifmvmultiple4,35287.8377138,35010.919597,845412.742644,23.9576238561,24.1471161676
tanglegram2,zhifmvrdcifmv,42827.9518955,315726.403798,340466.295492,7.94962823164,1.07835864025
