instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvlgmiend1lyltmend1lystr10tr20,8663.8346545,26216.592393,34709.368546,4.00623626029,1.32394660701
neos-631694,zhifmvmultiple2dvo7,73.717605,6230.048422,25906.248111,351.425525978,4.15827395812
egout,cts0,801.214678583,35793.0108,265207.1184,331.006315148,7.40946661017
core2536-691,str10tr20zhifmvdvo7,5155.62343592,15685.116056,15468.800219,3.0003743313,-1.01398400871
bell3a,str10tr20zhifmvdvo7,1920.04377743,732.226826,732.407338,-2.62155180296,1.0002465247
d20200,xpsve1,5758.3319598,6010.636944,5956.449415,1.03440535499,-1.00909728686
neos-801834,zhifmvlgmiend1lyltmend1lystr10tr20,77.676634,18968.994198,7772.25927,100.059166699,-2.4406023447
neos-1337307,zhifmvmultiple4,7768.36632633,2905.742753,3728.829555,-2.08332566875,1.28326210266
ds,xpsve1,10620.080945,345937.408103,326895.484804,30.7808844864,-1.05825079937
planar150_s,cbn21,23.141996,254.1986,263.3588,11.3801246876,1.03603560366
neos-934531,zhifmvnodedowndepth,2962.847817,315736.231459,383168.300595,129.324327222,1.21357089373
br2,zhifmvmultiple2passf45,2331.112909,76398.733646,116772.24574,50.0929171166,1.52845787053
acc-tight5,xpsve2,1189.9632272,408091.603,187296.1832,157.396614382,-2.17885701688
neos10,str10tr20zhifmvdvo7,16039.2403615,31143.838096,23821.813858,1.48522082849,-1.307366361
e20200,hr0,257.0328,31121.650074,3081.621339,11.9892143687,-10.0991155792
mcsched,zhifmvmultiple2residualifmv,3815.9028,11380.791908,9604.093581,2.51686012049,-1.1849938583
neos16,str10tr20zhifmvdvo7,2622.02683363,49481.401355,35074.447297,13.376845289,-1.41075355902
blend2,zhifmvlgmiend1lyltmend1lyrdcifmv,327.176271,22571.3052,23685.1488,72.3926240971,1.04934777099
danoint,zhifmvresidualifmv,2979.9885325,11763.164022,11775.024763,3.95136579708,1.00100829513
dfn-gwin-UUM,zhifmvrdcifmv,547.852043,3113.387488,3066.394846,5.59712222521,-1.01532504598
neos-948346,str10tr20zhifmv,6921.4588565,35827.028227,15863.460324,2.2919243837,-2.25846237172
neos-1330346,str10tr20zhifmvdvo7,89.6931482041,68132.037255,69179.11104,771.286463071,1.01536830289
lectsched-4-obj,zhifmvhr0nve1str10tr20dvo7,1514.930353,95848.54402,24550.183041,16.2054862736,-3.90418857
liu,zhifmvnodedowndepth,2962.847817,61615.246328,62692.419497,21.1595138762,1.01748225047
e40400,str10tr20zhifmvdvo7,967.672185,9164.72243,19138.241843,19.7776087188,2.08825111608
neos-777800,cbn21,7730.104548,673.2824,652.6718,-11.8437851122,-1.03157881189
mas74,cts0,7256.70454643,2350.029751,2328.458162,-3.11652777999,-1.00926432321
mas76,zhifmvmultiple2pptn5005043,1165.680731,8467.319203,8467.091552,7.26364546211,-1.00002688656
mkc,zhifmvmultiple2passf20,4977.544993,8687.399139,15810.617628,3.17638869166,1.8199483384
gesa2-o,zhifmvhr0nve1str10tr20dvo7,702.968829429,143.052191,155.722814,-4.51423148203,1.08857342842
qnet1,xpsve2,3245.91916083,3681.666059,3674.393928,1.13200413995,-1.00197913755
neos-1396125,zhifmvhr0nve1str10tr20dvo7rnd1rns1,53825.8375265,29501.569717,845412.742644,15.7064484548,28.6565342371
rmine6,str10tr20zhifmvdvo7,474.660768333,1683.285138,1487.441733,3.13369427649,-1.13166458938
mitre,zhifmvnodeupfewest,27984.4130503,1658.511024,1660.79391,-16.8500214757,1.00137646718
a1c1s1,zhifmvlgmiend1lyltmend1lyrdcifmv,20.823197,73413.79033,99064.095152,4757.39124746,1.34939355
sprint_hint01_j,zhifmvmultiple4,41206.1360765,26956.373679,35160.060926,-1.17195860847,1.30433200492
vpphard,str10tr20zhifmvdvo7,318.892363265,558950.141809,714307.507528,2239.96429458,1.27794494374
neos-957270,zhifmvnodeupfewest,8460.31844017,9909.3334,8370.229,-1.0107630795,-1.18387841002
noswot,zhifmvmultiple4,17428.309879,16744.1868,10605.481817,-1.6433303248,-1.57882377142
pk1,zhifmvhr0nve1str10tr20dvo7,6863.328997,50395.51598,40095.974263,5.84205919322,-1.25687221489
stein45,zhifmvrdcifmvmultiple2,31433.326503,84053.624764,84055.69322,2.67409474501,1.00002460877
reblock67,str10tr20zhifmvrdcifmv,4001.547821,4087.854025,3581.409427,-1.11731090861,-1.14140929942
layer2,zhifmvhr0nve1str10tr20dvo7,1865.73711,2339.872912,16134.777675,8.64793736938,6.89557864115
n030w4-1,zhifmvmultiple2passf20,5781.726692,15046.166947,8984.180538,1.55389229146,-1.67474004817
n030w4-0,zhifmvhr0nve1str10tr20dvo7rnd1rns1,12990.2105573,43403.065842,49648.419575,3.82198728465,1.143891995
n030w4-3,str10tr20zhifmvdvo7,329.5328,10409.022266,11041.72655,33.5072155185,1.06078421852
n030w4-2,zhifmvmultiple2passf45,9735.126779,80505.880513,12602.21489,1.29450958124,-6.3882326413
neos-1120495,str10tr20zhifmvdvo7,12126.8593255,3797.800205,17857.304091,1.47254153872,4.70201251437
app1-2,zhifmvcbn21,40078.3344785,1000086.06277,999390.328513,24.9359246465,-1.00069615868
enlight13,zhifmvhr0nve1str10tr20dvo7,1080010.3053,967361.597524,969472.182567,-1.11401886998,1.00218179536
neos-632335,zhifmvlgmiend1lyltmend1lystr10tr20,120105.691815,124634.758445,124573.712221,1.03720073827,-1.00049004098
neos-1223462,zhifmvhr0nve1str10tr20dvo7,1298.4734,86035.8778,31188.5496,24.019398164,-2.75857258204
neos-686190,zhifmvmultiple2ltmend1lylgmiend1ly,7366.992728,14306.598578,88438.873682,12.0047456197,6.18168415084
yue20023.1.150,str10tr20zhifmvrdcifmv,156265.848,362524.640764,81983.992859,-1.90605315197,-4.42189539838
n050w4-3,default,16195.594855,16181.424205,16181.424205,-1.00087573565,1.0
gen,zhifmvhr0nve1str10tr20dvo7,13355.806299,587.7324,587.7324,-22.7242981653,1.0
protfold,zhifmvmultiple2str10tr20dvo7,5312.977,212885.918601,230876.182479,43.455144353,1.08450659394
layer3,cts0,25683.596282,65783.81301,38255.862222,1.48950566743,-1.71957470539
ns1208400,zhifmvmultiple2dvo7,14769.180487,1080048.0916,1080030.916,73.1273422348,-1.00001590288
neos-960392,cbn21,9559.9312335,19163.758097,18650.983119,1.9509536903,-1.02749318761
dano3mip,zhifmvmultiple2str10tr20dvo7,34950.830874,24858.328034,22402.860516,-1.56010572172,-1.10960508888
neos-555884,zhifmvmultiple2str10tr20dvo7,846.3713585,21252.614496,11146.128886,13.1693124703,-1.90672606726
sp98ar,hr0,869.796784,21041.556545,7028.234782,8.08031819764,-2.99386079117
tanglegram2,zhifmvmultiple4,4789.921772,292736.896889,340466.295492,71.079719398,1.16304538003
opm2-z7-s2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,5266.401805,72433.704828,83157.232073,15.7901419512,1.14804609636
zib54-UUE,zhifmvmultiple2ltmend1ly,23.113197,46699.728074,39821.48862,1722.8896816,-1.17272682897
tr12-30,zhifmvlgmiend1lyltmend1ly,265.3820386,64969.522788,88537.021959,333.621003238,1.3627469952
n050w4-0,zhifmvnodeupfewest,13279.1646222,31277.193011,65125.077017,4.90430526843,2.08219059153
neos-1595230,zhifmvmultiple2str10tr20dvo7,1424.591134,1353.610744,2343.593403,1.64509896704,1.7313643626
neos-957323,xpsve1,9183.14383217,11729.686194,11784.180254,1.28324030086,1.0046458242
lseu,zhifmvnodedownfewest,343.5114,21088.6704,21088.6704,61.3914717241,1.0
gt2,str10tr20zhifmvrdcifmv,11672.3268,131063.4036,131063.4036,11.2285584396,1.0
neos-1437164,zhifmvresidualifmv,49.639631,16663.05,16667.577002,335.771573362,1.00027167907
neos-641591,str10tr20zhifmvdvo7,4771.20018116,29678.483951,4276.537427,-1.11566898749,-6.9398396384
n080w8-7,str10tr20zhifmvdvo7cbn21,27.721995,34377.351954,37358.003848,1347.59435055,1.08670394095
bnatt350,zhifmvmultiple2ltmend1ly,11857.78233,720009.1604,720009.1604,60.7203893917,1.0
e10400,str10tr20zhifmvdvo7,2399.13823017,288.968105,111.633126,-21.4912751809,-2.5885515828
a10100,zhifmvlgmiend1lyltmend1ly,1973.56303636,381.1752,381.1752,-5.17757460705,1.0
neos-799838,zhifmvlgmiend1lyltmend1lyrdcifmv,27439.936577,33686.293905,35382.57976,1.28945559552,1.05035537183
beasleyC3,zhifmvrdcifmv,304.042665167,66529.835234,56353.453197,185.34718858,-1.18058133903
eilD76,zhifmvmultiple2passf45,128.820399182,25825.208034,74082.997829,575.087472943,2.86863121224
neos-957389,zhifmvhr0nve1str10tr20dvo7rnd1rns1,4761.06866667,13383.2062,4536.6412,-1.04946996176,-2.95002527421
dcmulti,str10tr20zhifmvdvo7,2744.84465609,2293.927919,2289.3552,-1.19895971411,-1.00199738293
neos-912023,zhifmvmultiple2str10tr20dvo7,54895.504493,1502.424766,979.479248,-56.0456024006,-1.53390157991
neos-957143,zhifmvmultiple2passt2,5308.68295467,11422.464761,13632.260748,2.56791766704,1.19346052128
air05,zhifmvcbn21,2589.02269171,7101.370968,7162.444035,2.76646630327,1.00860017978
pdistuchoa,xpsve2,10158.0542672,150545.709716,113683.243687,11.1914389013,-1.32425593107
neos-950242,cbn21,17357.466067,57619.653876,63924.645561,3.68283281179,1.10942432418
neos-538916,str10tr20zhifmv,2907.16677067,15464.766599,18863.215949,6.48852213754,1.21975432531
timtab2,str10tr20zhifmvrdcifmv,65319.732755,213560.723644,212084.568037,3.24686827536,-1.00696022167
t1717,zhifmvltmend1lyroot,270632.234427,77057.101915,71434.953722,-3.78851277038,-1.07870304242
ran16x16,zhifmvmultiple2ltmend1lylgmiend1ly,590.679720667,1153.815554,1949.572993,3.30055853416,1.68967473722
neos-1441553,zhifmvhr0nve1str10tr20dvo7,4077.7462745,16661.59136,210.706649,-19.3527175998,-79.0748248291
eilA101.2,hr0,1399.043825,130440.983256,54686.341877,39.0883694276,-2.38525706381
neos1,zhifmvmultiple4,7106.68990022,17577.338494,15074.783514,2.12121025761,-1.16600934784
a05100,str10tr20zhifmvdvo7,1164.56486368,57.2436,57.2436,-20.3440186096,1.0
p0548,zhifmvlgmiend1lyltmend1ly,146.454633,346941.4572,346941.4572,2368.93466661,1.0
neos-1215891,str10tr20zhifmvdvo7,18839.345861,9126.989379,22314.335027,1.18445381234,2.4448735613
disctom,str10tr20zhifmvdvo7,581.255785366,467.1756,462.5954,-1.25651008498,-1.00990109283
fixnet6,str10tr20zhifmvdvo7,2744.84465609,24720.695112,24718.736393,9.00551378678,-1.00007924026
