instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,default,24812.7745745,25906.248111,25906.248111,1.04406897476,1.0
neos-633273,zhifmvmultiple2residualifmv,48271.5451427,120704.953475,120073.820423,2.48746585733,-1.00525620864
bell3a,zhifmvmultiple2residualifmv,7412.50911876,1054.847862,732.407338,-10.1207466586,-1.4402475334
d20200,zhifmvrdcifmvmultiple2,7915.10201236,9374.699076,5956.449415,-1.32882888125,-1.57387369939
neos-801834,zhifmvmultiple2,20313.1680431,17658.697713,7772.25927,-2.61354740461,-2.27201603801
neos-1337307,zhifmvmultiple2dvo7,27889.3860231,2553.79086,3728.829555,-7.47939416692,1.46011547516
ds,default,42105.7841536,326895.484804,326895.484804,7.76367169916,1.0
planar150_s,default,6639.40574904,263.3588,263.3588,-25.2104951459,1.0
neos-934531,zhifmvmultiple2,155727.776401,293766.442764,383168.300595,2.46050068556,1.3043297151
qiu,zhifmvmultiple2residualifmv,7104.54647242,299687.967821,28717.138311,4.0420790296,-10.4358576602
br2,zhifmvmultiple2residualifmv,37747.9952709,77613.177729,116772.24574,3.09346880283,1.50454148583
acc-tight5,zhifmvmultiple2residualifmv,20971.2996983,137843.5556,187296.1832,8.9310717931,1.35875908297
e20200,zhifmvmultiple2,14268.6450197,3671.275944,3081.621339,-4.63023955574,-1.19134557434
mcsched,zhifmvrdcifmvmultiple2,14915.8335427,8012.639258,9604.093581,-1.55307040866,1.19861799237
neos-1599274,zhifmvmultiple2residualifmv,10983.9695389,9728.863618,9765.504818,-1.12477232294,1.00376623637
blend2,zhifmvmultiple2,12167.402794,22742.068387,23685.1488,1.94660678215,1.04146854178
danoint,zhifmvmultiple2residualifmv,8510.51318895,12100.452389,11775.024763,1.38358574878,-1.02763710757
dfn-gwin-UUM,zhifmvmultiple2,8907.89550804,2711.05389,3066.394846,-2.90500602676,1.13107115182
neos-948346,zhifmvmultiple2residualifmv,23202.2250764,21980.104597,15863.460324,-1.46262067686,-1.38558070863
neos-1330346,zhifmvmultiple2residualifmv,19364.1051364,108552.9,69179.11104,3.57254366017,-1.56915719743
lectsched-4-obj,zhifmvmultiple2residualifmv,53990.9464049,24256.346762,24550.183041,-2.19920748919,1.01211378951
liu,zhifmvmultiple2,13975.5411584,70124.963203,62692.419497,4.48586704347,-1.11855570044
newdano,zhifmvmultiple2residualifmv,8125.36060779,85071.488076,88137.097768,10.8471613781,1.03603568906
e40400,zhifmvrdcifmvmultiple2,15829.2501255,31117.804665,19138.241843,1.20904285997,-1.62594897276
neos-777800,zhifmvmultiple2residualifmv,11255.063973,405.3436,652.6718,-17.2445997713,1.610169249
