instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2ltmend1lylgmiend1ly,84748.5982258,16192.453238,34709.368546,-2.44166349824,2.14355218668
neos-631694,zhifmvmultiple2ltmend1lylgmiend1ly,95390.7172641,6314.34293,25906.248111,-3.68215099521,4.10276229818
egout,zhifmvmultiple2passf20,84701.5350045,265207.1184,265207.1184,3.13107806589,1.0
mkc,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95008.4221824,11034.022843,15810.617628,-6.00915311582,1.43289694547
d20200,zhifmvmultiple2ltmend1lylgmiend1ly,92278.6872513,7336.224163,5956.449415,-15.492230492,-1.23164382871
neos-801834,zhifmvmultiple2ltmend1lylgmiend1ly,91863.5982808,17975.623,7772.25927,-11.8194202084,-2.31279250673
neos-1337307,zhifmvmultiple2passf20,84726.4831726,3953.138217,3728.829555,-22.7220048337,-1.06015524676
planar150_s,zhifmvmultiple2ltmend1lylgmiend1ly,95631.1621011,345.8016,263.3588,-363.121194739,-1.31304364996
neos-934531,zhifmvmultiple2residualifmv,405135.735817,252503.972162,383168.300595,-1.05733103492,1.51747434828
n050w4-0,zhifmvmultiple2ltmend1lylgmiend1ly,92109.1637314,45647.241051,65125.077017,-1.41434249218,1.42670346592
br2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92533.23584,91638.02405,116772.24574,1.26194923024,1.27427721135
acc-tight5,zhifmvmultiple2ltmend1lylgmiend1ly,91919.7251166,155322.1374,187296.1832,2.03760599765,1.20585633404
e20200,zhifmvmultiple2ltmend1lylgmiend1ly,91926.851732,4322.312559,3081.621339,-29.8306773024,-1.4026098873
mcsched,zhifmvmultiple2ltmend1lylgmiend1ly,92283.3314544,14241.491928,9604.093581,-9.6087497145,-1.48285643074
l152lav,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92527.5115851,4217.752538,4457.629003,-20.7571135962,1.05687305332
blend2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94994.4860788,20422.982452,23685.1488,-4.01071941244,1.15973016457
danoint,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92502.3325357,11684.452243,11775.024763,-7.85580789829,1.0077515418
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94995.1127668,3628.827534,3066.394846,-30.9794131342,-1.18341822115
neos-948346,zhifmvmultiple2ltmend1lylgmiend1ly,90787.8079515,26247.507807,15863.460324,-5.72307719106,-1.65458905377
neos-1330346,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92495.3169857,116980.677544,69179.11104,-1.33704113272,-1.69098266493
lectsched-4-obj,zhifmvmultiple2ltmend1lylgmiend1ly,91888.1259011,31675.23289,24550.183041,-3.74286927913,-1.29022389923
n030w4-1,zhifmvmultiple2ltmend1lylgmiend1ly,92009.3753152,10233.824889,8984.180538,-10.2412651801,-1.13909386011
e40400,zhifmvmultiple2ltmend1lylgmiend1ly,92470.4062502,30568.633757,19138.241843,-4.83170852416,-1.59725402196
rmatr100-p5,zhifmvmultiple2ltmend1lylgmiend1ly,95356.5144702,60236.605036,54654.318848,-1.7447205725,-1.10213806165
mas74,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94998.2986443,2709.276492,2328.458162,-40.7987999074,-1.1635495695
mas76,zhifmvmultiple2ltmend1lylgmiend1ly,92270.7376975,8482.610676,8467.091552,-10.8975717495,-1.00183287542
eilC76,zhifmvmultiple2ltmend1lylgmiend1ly,91867.7639286,35882.056521,39567.732364,-2.32178491008,1.10271640481
mzzv11,zhifmvmultiple2ltmend1lylgmiend1ly,92306.4261214,44916.634778,26279.431281,-3.51249709837,-1.70919356274
neos-1620807,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94999.4202097,60516.032668,60231.983141,-1.57722550804,-1.0047159252
neos-1396125,zhifmvmultiple2ltmend1lylgmiend1ly,95337.6907685,22416.579676,845412.742644,8.86756051913,37.7137259503
rmine6,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94995.6350792,1274.068381,1487.441733,-63.8651134842,1.16747401881
bell3a,zhifmvmultiple2ltmend1lylgmiend1ly,84635.2222202,1054.951985,732.407338,-115.557583641,-1.44038969883
mitre,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95083.7465317,1573.614584,1660.79391,-57.2519841018,1.05540068508
fast0507,zhifmvmultiple2ltmend1lylgmiend1ly,92046.1798036,12658.395713,12929.709941,-7.11896710936,1.02143353977
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1ly,94970.4453765,56866.25332,99064.095152,1.04310446012,1.74205419503
sprint_hint01_j,zhifmvmultiple2ltmend1lylgmiend1ly,90945.3454397,31751.75565,35160.060926,-2.58660943822,1.10734226206
vpphard,zhifmvltmend1lystr10tr20,330948.173025,699867.575949,714307.507528,2.15836667415,1.02063237686
neos-957270,zhifmvmultiple2ltmend1lylgmiend1ly,90562.3647058,7481.6794,8370.229,-10.8195802894,1.11876338887
ash608gpia-3col,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92922.2184904,1080043.5115,1080043.5115,11.6230921845,1.0
layer3,zhifmvmultiple2ltmend1lylgmiend1ly,91881.716659,32149.509923,38255.862222,-2.40176828654,1.18993609276
pk1,zhifmvmultiple2ltmend1lylgmiend1ly,90508.849068,360419.441514,40095.974263,-2.25730514675,-8.98891841734
aflow30a,zhifmvmultiple2passf20,84708.7658817,22508.971602,20177.024585,-4.19827836978,-1.11557437556
reblock67,zhifmvmultiple2ltmend1lylgmiend1ly,83958.7393009,5264.137739,3581.409427,-23.4429324578,-1.46985086355
layer2,zhifmvmultiple2passf20,84705.3439773,81732.515113,16134.777675,-5.24986124281,-5.0656114859
pg5_34,zhifmvmultiple2ltmend1lylgmiend1ly,91875.5418912,432.269425,303.923451,-302.298297775,-1.42229704084
n030w4-0,zhifmvmultiple2pptn5005043,80233.6236536,21070.163512,49648.419575,-1.61603580417,2.35633765
30n20b8,zhifmvmultiple2ltmend1lylgmiend1ly,95423.009423,430868.488266,842135.790435,8.82529062463,1.95450772885
n030w4-2,zhifmvmultiple2ltmend1lylgmiend1ly,92533.7484984,80968.561674,12602.21489,-7.34265756504,-6.42494691455
neos-1120495,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94982.399955,3278.301678,17857.304091,-5.31896637202,5.44712044375
app1-2,zhifmvmultiple2passt2,392785.783863,386629.6434,999390.328513,2.54436481556,2.58487766154
enlight13,zhifmvmultiple2ltmend1lylgmiend1ly,92274.7441824,956755.41803,969472.182567,10.5063654325,1.01329155215
neos-632335,zhifmvmultiple2ltmend1lylgmiend1ly,90871.2598678,125306.590549,124573.712221,1.37088131497,-1.00588308974
neos-1223462,zhifmvmultiple2ltmend1lylgmiend1ly,95413.6480648,216368.7024,31188.5496,-3.05925249133,-6.9374403483
neos-686190,zhifmvmultiple2ltmend1lylgmiend1ly,90525.7691415,14306.598578,88438.873682,-1.02359703796,6.18168415084
yue20023.1.150,zhifmvmultiple2ltmend1lylgmiend1ly,92247.3701054,66983.529016,81983.992859,-1.1251875749,1.2239425731
n050w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,85326.9775095,21035.548853,16181.424205,-5.27314384868,-1.29998129871
dsbmip,zhifmvmultiple2ltmend1lylgmiend1ly,91868.8847704,23.113197,23.113197,-3974.7372365,1.0
ds,zhifmvmultiple2pptn5005043,89916.7099791,319064.436605,326895.484804,3.63553654132,1.0245437827
protfold,zhifmvmultiple2ltmend1lylgmiend1ly,83969.929501,191911.312075,230876.182479,2.74951025743,1.2030358189
sp98ar,zhifmvmultiple2ltmend1lylgmiend1ly,91913.3006067,22894.907312,7028.234782,-13.0777219967,-3.25756153887
noswot,zhifmvmultiple2ltmend1lylgmiend1ly,92270.6387102,16744.1868,10605.481817,-8.70027786595,-1.57882377142
ns1208400,zhifmvmultiple2ltmend1lylgmiend1ly,84735.8949333,1080029.771,1080030.916,12.7458489327,1.00000106016
neos-960392,zhifmvmultiple2ltmend1lylgmiend1ly,90802.2247564,16336.846223,18650.983119,-4.86849535904,1.14165138512
dano3mip,zhifmvmultiple2ltmend1lylgmiend1ly,95004.3546264,26004.548968,22402.860516,-4.24072428423,-1.16076913256
neos-555884,zhifmvmultiple2ltmend1lylgmiend1ly,84627.2955448,31724.771677,11146.128886,-7.5925279898,-2.84625918123
gmu-35-40,zhifmvmultiple2ltmend1lylgmiend1ly,83962.0984876,185.364776,234.206572,-358.495911411,1.26349016816
newdano,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92502.9353927,92149.875319,88137.097768,-1.04953461976,-1.04552881423
opm2-z7-s2,zhifmvmultiple2residualifmv,339124.786032,42699.103393,83157.232073,-4.07811536746,1.94751705458
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92470.6819892,37834.346914,39821.48862,-2.32213021647,1.05252216222
tr12-30,zhifmvmultiple2ltmend1lylgmiend1ly,91832.6298399,47817.604345,88537.021959,-1.03722293576,1.85155703996
neos-916792,zhifmvmultiple2passf20,84705.1685281,17705.078957,17287.192479,-4.89987999098,-1.02417318362
neos-1215891,zhifmvmultiple2passf20,84752.8029756,28086.786504,22314.335027,-3.79813258486,-1.25868803484
neos-957323,zhifmvmultiple2ltmend1lylgmiend1ly,92466.5925511,21030.896559,11784.180254,-7.84667160193,-1.78467200142
lseu,zhifmvmultiple2ltmend1lylgmiend1ly,84634.9762866,3811.338,21088.6704,-4.01329124507,5.53314095995
gt2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92497.4712095,131063.4036,131063.4036,1.41694039725,1.0
neos-1437164,zhifmvmultiple2ltmend1lylgmiend1ly,84647.8724462,16666.564456,16667.577002,-5.07859495331,1.00006075313
neos-641591,zhifmvmultiple2passf20,84758.5698011,4633.969315,4276.537427,-19.8194383302,-1.08357974041
neos-1622252,zhifmvmultiple2ltmend1lylgmiend1ly,91845.1881324,87745.291772,86788.803233,-1.0582607976,-1.01102087485
ex9,zhifmvmultiple2ltmend1lylgmiend1ly,84691.7493262,644219.084,526204.5802,6.21317406225,-1.22427494598
e10400,zhifmvmultiple2passf20,89236.5179593,121.562107,111.633126,-799.373099695,-1.08894296304
a10100,zhifmvmultiple2passf20,84718.6422661,381.1752,381.1752,-222.256438158,1.0
neos-799838,zhifmvmultiple2ltmend1lylgmiend1ly,84068.3103258,38557.052792,35382.57976,-2.37598023932,-1.08971852967
beasleyC3,zhifmvmultiple2ltmend1lylgmiend1ly,95340.2293867,39341.285281,56353.453197,-1.69182585943,1.432425321
neos-957389,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92515.7625679,34028.4444,4536.6412,-20.3930085033,-7.50080134175
dcmulti,zhifmvmultiple2passf20,84700.330022,2025.2412,2289.3552,-36.9974611288,1.13041113325
neos-849702,zhifmvmultiple2passf20,84756.4763513,720032.061,720029.771,8.49527731681,-1.00000318042
neos-957143,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95160.6620782,11262.143941,13632.260748,-6.98054884933,1.21044987699
rd-rplusc-21,zhifmvltmend1lystr10tr20,322294.685829,721276.8,721676.3358,2.23918161711,1.00055392853
pdistuchoa,zhifmvmultiple2ltmend1lylgmiend1ly,95335.3389574,154164.443012,113683.243687,1.19245649022,-1.35608765208
neos-950242,zhifmvmultiple2residualifmv,339755.545497,78860.98572,63924.645561,-5.3149382764,-1.23365542394
neos-538916,zhifmvmultiple2passf20,84707.4774158,12634.077724,18863.215949,-4.49061695762,1.49304257589
neos-931538,zhifmvmultiple2ltmend1lylgmiend1ly,91889.9977495,10697.870496,30930.250204,-2.97087793159,2.89125300363
timtab2,zhifmvmultiple2ltmend1lylgmiend1ly,90507.1629503,189746.319731,212084.568037,2.3432904217,1.11772691211
neos-860244,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95006.0986729,30937.191442,20098.732269,-4.72696971139,-1.53926083635
ran16x16,zhifmvmultiple2ltmend1lylgmiend1ly,83959.5949304,1153.815554,1949.572993,-43.0656329524,1.68967473722
neos-1441553,zhifmvmultiple2ltmend1lylgmiend1ly,83969.6831993,627.251578,210.706649,-398.514634435,-2.97689503856
neos1,zhifmvmultiple2ltmend1lylgmiend1ly,91812.0481923,15586.549773,15074.783514,-6.09043891788,-1.03394849807
a05100,zhifmvmultiple2ltmend1lylgmiend1ly,92304.5822638,57.2436,57.2436,-1612.48737438,1.0
p0548,zhifmvmultiple2ltmend1lylgmiend1ly,92270.338474,346941.4572,346941.4572,3.76005402102,1.0
disctom,zhifmvmultiple2passf20,85018.4280795,494.4,462.5954,-183.78571875,-1.0687525211
pigeon-10,zhifmvmultiple2ltmend1lylgmiend1ly,92270.6693351,36000.0,36004.4655,-2.56275625964,1.00012404167
nw04,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92697.4267026,14135.792889,12693.678779,-7.3026447507,-1.1136088391
neos-953928,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92455.0634151,10007.58241,7890.046045,-11.7179371182,-1.26838073605
neos-555927,zhifmvmultiple2ltmend1lylgmiend1ly,83964.6884298,744.381767,42940.882502,-1.95535544538,57.6866393102
eilA101.2,zhifmvmultiple2ltmend1lylgmiend1ly,95686.2711206,96303.520254,54686.341877,-1.74972886897,-1.7610159493
m100n500k4r1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94998.9060587,14720.427336,14435.63344,-6.58086161952,-1.01972853475
neos-709469,zhifmvmultiple2ltmend1lylgmiend1ly,95349.9402961,0.0,258.7786,-368.461458158,258.7786
csched010,zhifmvmultiple2ltmend1lylgmiend1ly,84640.0047602,146573.70779,113519.1288,1.34119946143,-1.2911806965
cov1075,zhifmvmultiple2passf20,84704.8742812,36067.959393,31862.944656,-2.65841325074,-1.13197194366
modglob,zhifmvmultiple2ltmend1lylgmiend1ly,83956.2716913,1014.5916,1411.487825,-59.48069137,1.39118816379
sprint01_j,zhifmvmultiple2ltmend1lylgmiend1ly,92553.4221538,4747.586678,8171.278058,-11.3266763775,1.72114352243
trd445c,zhifmvmultiple2residualifmv,339523.574621,23107.377399,16894.619794,-20.0965501894,-1.36773586389
iis-pima-cov,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95133.4511546,46513.685311,50587.76284,-1.88056252765,1.08758879245
A-2,zhifmvmultiple2ltmend1lylgmiend1ly,91820.0627322,25684.825598,79878.724819,-1.14949334682,3.10995784317
netdiversion,zhifmvmultiple2str10tr20,443519.231846,162286.990632,103334.545887,-4.29207123367,-1.57050083531
neos-1595230,zhifmvmultiple2ltmend1lylgmiend1ly,95361.933806,1875.84554,2343.593403,-40.6904771467,1.24935308
bs24_t,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92154.2605471,130537.950724,169530.825064,1.83964174914,1.29870910432
fiber,zhifmvmultiple2ltmend1lylgmiend1ly,90524.4986468,1914.120197,6429.183411,-14.0802482772,3.35881906532
neos-1597104,xpsve1,415130.714748,4598.4734,5354.1984,-77.5336817455,1.16434258378
nug08,zhifmvmultiple2ltmend1lylgmiend1ly,95357.2307715,13672.086398,15729.014578,-6.0625050793,1.15044727777
aflow40b,zhifmvmultiple2ltmend1lylgmiend1ly,91852.1898162,17095.44957,19224.850955,-4.77778423516,1.12455954295
triptim1,zhifmvmultiple2ltmend1lylgmiend1ly,92612.0307864,44309.124407,39958.160154,-2.31772510119,-1.10888800276
mine-166-5,zhifmvmultiple2ltmend1lylgmiend1ly,90507.1154858,81024.499486,6374.629194,-14.1980204231,-12.710464722
glass4,zhifmvmultiple2ltmend1lylgmiend1ly,84644.2816149,134177.845275,126792.801516,1.49794881706,-1.05824497661
T2_300_1000_0,zhifmvmultiple2ltmend1lylgmiend1ly,84629.4949181,5099.619084,5461.524,-15.4955823536,1.07096704872
neos-941313,zhifmvmultiple2passf20,105865.388782,113157.252,103211.4504,-1.02571360417,-1.09636335466
neos-1281048,zhifmvmultiple2ltmend1lylgmiend1ly,83991.0341083,1590.945837,1240.54461,-67.7049687946,-1.28245757885
