instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple4,149832.216987,37900.788001,34709.368546,-4.31676585498,-1.09194691775
neos-631694,str10tr20zhifmvdvo7,97416.0732804,42302.81698,25906.248111,-3.76033120902,-1.63291947173
neos-633273,zhifmvmultiple4,128956.389198,120534.573685,120073.820423,-1.07397589869,-1.00383724995
bell3a,zhifmvmultiple4,56218.6786362,1055.058581,732.407338,-76.7587593943,-1.44053524079
d20200,str10tr20zhifmvdvo7,72000.0579763,8737.001098,5956.449415,-12.0877477437,-1.46681361484
neos-801834,zhifmvmultiple2passf45,84107.0703658,17424.225156,7772.25927,-10.8214442473,-2.24184816161
neos-1337307,zhifmvmultiple2passf45,94395.5857509,3137.467513,3728.829555,-25.3150712197,1.18848387738
planar150_s,str10tr20zhifmvdvo7,34044.4226228,258.7786,263.3588,-129.270115989,1.01769929971
neos-934531,zhifmvmultiple2passf45,256762.9509,284083.22402,383168.300595,1.49230369589,1.34878890479
n050w4-0,str10tr20zhifmvdvo7,171717.097334,34483.506981,65125.077017,-2.63672774297,1.88858624655
e40400,str10tr20zhifmvdvo7,92069.826717,9164.72243,19138.241843,-4.81077768126,2.08825111608
br2,zhifmvmultiple2passf45,117237.232662,76398.733646,116772.24574,-1.00398199863,1.52845787053
acc-tight5,str10tr20zhifmvdvo7,102274.542669,270611.4504,187296.1832,1.83130795124,-1.44483163392
e20200,zhifmvmultiple2passf45,78749.463903,7941.642325,3081.621339,-25.5545556186,-2.57709869298
mcsched,str10tr20zhifmvdvo7,79791.1686506,7745.3228,9604.093581,-8.3080373986,1.23998622511
l152lav,zhifmvmultiple2passf45,75296.7771247,3644.736944,4457.629003,-16.8916652943,1.22303175002
blend2,zhifmvmultiple2passf45,77507.9011321,22742.003426,23685.1488,-3.27242618514,1.04147151666
danoint,zhifmvmultiple2passf45,72478.770359,11722.994729,11775.024763,-6.15529663995,1.00443828861
dfn-gwin-UUM,zhifmvmultiple2passf45,72810.8933681,2720.56805,3066.394846,-23.7447872909,1.12711565733
neos-948346,zhifmvmultiple2passf45,80389.3587112,15878.349048,15863.460324,-5.06758028004,-1.00093855462
neos-1330346,zhifmvmultiple2passf45,82965.2174432,113118.611231,69179.11104,-1.19928134658,-1.63515560594
lectsched-4-obj,str10tr20zhifmvdvo7,136027.047779,23765.932409,24550.183041,-5.54077529896,1.03299894229
liu,zhifmvmultiple2passf45,74340.1655683,69697.883728,62692.419497,-1.18579193728,-1.11174340195
dcmulti,zhifmvmultiple2passf45,63315.0178087,2027.079677,2289.3552,-27.6562666242,1.12938589735
neos-777800,zhifmvmultiple2passf45,74088.621455,355.2,652.6718,-113.515891839,1.83747691441
mas74,zhifmvmultiple2passf45,77311.0546295,1541.655552,2328.458162,-33.202681453,1.51036212919
mas76,str10tr20zhifmvdvo7,69004.1968058,8653.614046,8467.091552,-8.14969300639,-1.02202911033
eilC76,zhifmvmultiple2passf45,70847.3655975,37006.344567,39567.732364,-1.79053388619,1.06921482862
mzzv11,str10tr20zhifmvdvo7,149896.867533,27719.205508,26279.431281,-5.70396162421,-1.05478711512
neos-1620807,zhifmvmultiple2passf45,79805.9881192,60393.815273,60231.983141,-1.32497693015,-1.00268681394
neos-1396125,str10tr20zhifmvdvo7,72860.2216657,259007.708848,845412.742644,11.6032139804,3.26404471282
tanglegram2,zhifmvmultiple4,138263.032718,292736.896889,340466.295492,2.46245354813,1.16304538003
rmine6,zhifmvmultiple2passf45,100333.839597,834.673469,1487.441733,-67.4539629832,1.7820642302
neos-1109824,str10tr20zhifmvdvo7,95595.2043019,14406.077319,5884.435043,-16.245434541,-2.44816659777
mitre,zhifmvmultiple2passf45,105828.066706,1699.558639,1660.79391,-63.721372091,-1.0233410833
fast0507,zhifmvmultiple2passf45,122359.674233,9843.092844,12929.709941,-9.46345082689,1.31358203625
a1c1s1,zhifmvmultiple2passf45,67094.9298378,73175.941792,99064.095152,1.4764766189,1.35377957189
sprint_hint01_j,zhifmvmultiple2passf45,126397.425491,33837.459998,35160.060926,-3.59491485971,1.0390868856
vpphard,str10tr20zhifmvdvo7,310648.806576,558950.141809,714307.507528,2.29940528471,1.27794494374
neos-860244,zhifmvmultiple2passf45,80977.3309749,20473.197756,20098.732269,-4.02897704647,-1.01863129883
layer3,str10tr20zhifmvdvo7,83428.0970208,34828.94689,38255.862222,-2.1807924897,1.09839273472
pk1,zhifmvmultiple2passf45,60705.6455343,55290.038709,40095.974263,-1.51400849213,-1.37894239323
aflow30a,zhifmvmultiple2passf45,65969.1005429,21407.691132,20177.024585,-3.26951579332,-1.06099346025
reblock67,str10tr20zhifmvdvo7,77204.9625412,3324.702649,3581.409427,-21.5571450611,1.07721195099
ns1208400,zhifmvmultiple4,99959.4892664,1080029.771,1080030.916,10.8046862176,1.00000106016
pg5_34,str10tr20zhifmvdvo7,56650.8633286,245.015861,303.923451,-186.398460343,1.24042357813
neos-859770,zhifmvmultiple2passf45,76286.7312367,1080020.6107,1080020.6107,14.157384819,1.0
n030w4-3,zhifmvmultiple2passf45,116221.640729,7010.898,11041.72655,-10.5256764151,1.57493755436
