instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-538916,zhifmvmultiple2passf45,6148.56710764,10282.221415,18863.215949,3.06790437817,1.83454675674
neos-631694,str10tr20zhifmvdvo7,4371.10737973,42302.81698,25906.248111,5.92670137346,-1.63291947173
egout,zhifmvmultiple4,11041.6561296,265207.1184,265207.1184,24.0187808141,1.0
core2536-691,zhifmvmultiple2passf45,112121.395337,25647.737057,15468.800219,-7.24822828856,-1.65803014415
bell3a,str10tr20zhifmvdvo7,28650.1067313,732.226826,732.407338,-39.1177221266,1.0002465247
d20200,zhifmvmultiple4,123366.227891,7712.144214,5956.449415,-20.7113700287,-1.2947552605
neos-801834,zhifmvmultiple2passf45,955257.257408,17424.225156,7772.25927,-122.905994798,-2.24184816161
neos-1337307,zhifmvmultiple2passf45,73561.1039928,3137.467513,3728.829555,-19.7276659895,1.18848387738
planar150_s,zhifmvmultiple2passf45,186177.231878,325.1908,263.3588,-706.933779613,-1.23478235776
neos-934531,zhifmvmultiple2passf45,35238.0619294,284083.22402,383168.300595,10.8737052952,1.34878890479
n050w4-0,str10tr20zhifmvdvo7,32897.9419659,34483.506981,65125.077017,1.97960945656,1.88858624655
br2,zhifmvmultiple2passf45,15720.0072196,76398.733646,116772.24574,7.4282564956,1.52845787053
acc-tight5,zhifmvmultiple2str10tr20dvo7,-21047.9994869,191136.6412,187296.1832,-8.89852659471,-1.02050473178
neos10,zhifmvmultiple2passf45,17153.1616001,37935.444315,23821.813858,1.38877102737,-1.59246665855
e20200,zhifmvmultiple2passf45,11359.3707079,7941.642325,3081.621339,-3.68616694211,-2.57709869298
mcsched,str10tr20zhifmvdvo7,21455.0040384,7745.3228,9604.093581,-2.23394366761,1.23998622511
neos16,str10tr20zhifmvdvo7,12958.7098546,49481.401355,35074.447297,2.70663111457,-1.41075355902
blend2,str10tr20zhifmvdvo7,-47608.9535158,23686.949685,23685.1488,-0.497493581583,-1.00007603435
danoint,zhifmvmultiple2str10tr20dvo7,199159.426464,11607.507368,11775.024763,-16.9137161469,1.01443181466
dfn-gwin-UUM,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3355.38990087,2266.374139,3066.394846,-1.09424587158,1.35299586826
neos-948346,str10tr20zhifmvdvo7,16133.1831044,37254.165744,15863.460324,-1.01700277083,-2.34842619347
neos-1330346,str10tr20zhifmv,14866.0035574,68981.790818,69179.11104,4.65351099728,1.00286046824
