instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvltmend1lyrootstr10tr20,625963.717592,28263.586018,34709.368546,-18.0344311583,1.22805961437
neos-631694,str10tr20zhifmvdvo7,4493.48555241,42302.81698,25906.248111,5.76529017593,-1.63291947173
egout,zhifmvmultiple4,11041.6561296,265207.1184,265207.1184,24.0187808141,1.0
bell3a,xpsve2,-2814.99084518,732.240177,732.407338,-0.260181072792,1.00022828712
d20200,zhifmvpptn5005043,22909.5454192,6040.098625,5956.449415,-3.84617476336,-1.01404346855
neos-801834,zhifmvlgmiend1lyltmend1ly,715218.60513,7766.085363,7772.25927,-92.0219694536,1.00079498315
neos-1337307,zhifmvmultiple4,12341.691397,2905.742753,3728.829555,-3.30980304005,1.28326210266
planar150_s,zhifmvmultiple2passf45,24324.158126,325.1908,263.3588,-92.3612885766,-1.23478235776
neos-934531,str10tr20zhifmvdvo7,99376.8456404,225891.419388,383168.300595,3.8557100311,1.69624991349
qiu,zhifmvlgmiend1lyltmend1lystr10tr20,1001052.10757,300297.555687,28717.138311,-34.8590481658,-10.4570849795
e40400,zhifmvmultiple4,8045.96734194,28416.539056,19138.241843,2.37861291622,-1.48480405301
br2,zhifmvpptn5005043,41238.4627291,61647.819727,116772.24574,2.83163430478,1.89418289661
acc-tight5,zhifmvmultiple2str10tr20dvo7,169943.999741,191136.6412,187296.1832,1.10210530225,-1.02050473178
e20200,zhifmvmultiple2passf45,14645.5577221,7941.642325,3081.621339,-4.75254942478,-2.57709869298
mcsched,zhifmvxpsve1str10tr20dvo7,6235.45332594,17762.276993,9604.093581,1.54023983165,-1.84944855474
l152lav,zhifmvmultiple2passf45,-56070.9058342,3644.736944,4457.629003,-0.0794998571306,1.22303175002
blend2,zhifmvmultiple2str10tr20dvo7,20374.8161627,7574.260251,23685.1488,1.16247177942,3.12705769476
danoint,zhifmvmultiple2str10tr20,84465.3152873,14543.93196,11775.024763,-7.17326009816,-1.23515085978
dfn-gwin-UUM,zhifmvmultiple2dvo7,85041.37715,2341.174989,3066.394846,-27.7333420583,1.30976747164
neos-948346,str10tr20zhifmvdvo7,12293.1959115,37254.165744,15863.460324,1.29042605667,-2.34842619347
neos-1330346,cts0,1503.11912307,68882.967606,69179.11104,46.0237049602,1.00429922584
lectsched-4-obj,str10tr20zhifmvdvo7,16117.5862042,23765.932409,24550.183041,1.52319229008,1.03299894229
liu,zhifmvmultiple2passf45,6491.46519883,69697.883728,62692.419497,9.65766858125,-1.11174340195
newdano,str10tr20zhifmvdvo7,-18971.5161271,80547.416658,88137.097768,-4.64575931505,1.09422625113
dcmulti,zhifmvmultiple4,11129.5550269,1510.053385,2289.3552,-4.861436542,1.51607567172
rmatr100-p5,zhifmvmultiple4,45990.0433565,42734.845056,54654.318848,1.18839459281,1.27891697692
mas74,str10tr20zhifmvdvo7,15304.2635282,1412.781291,2328.458162,-6.57270282023,1.64813773854
gen,zhifmvmultiple2passf45,11074.3260728,591.286549,587.7324,-18.8424631223,-1.00604722319
eilC76,zhifmvmultiple2ltmend1lylgmiend1ly,21543.0350885,35882.056521,39567.732364,1.83668328077,1.10271640481
gesa2-o,str10tr20zhifmvdvo7,167431.211813,159.748093,155.722814,-1075.18742766,-1.02584899988
qnet1,str10tr20zhifmvdvo7,6209.14350316,7703.203205,3674.393928,-1.68984154253,-2.09645545795
neos-1396125,str10tr20zhifmvdvo7,6564.4265911,259007.708848,845412.742644,128.786990137,3.26404471282
rmine6,zhifmvpptn5005043,13593.4878181,1546.565726,1487.441733,-9.1388371837,-1.03974877919
mitre,str10tr20zhifmvdvo7,15181.6913064,1658.518139,1660.79391,-9.14122529895,1.00137217131
fast0507,zhifmvmultiple2passf45,11253.8680106,9843.092844,12929.709941,1.14891252757,1.31358203625
a1c1s1,zhifmvmultiple2str10tr20dvo7,1150844.72589,69782.316203,99064.095152,-11.6171729436,1.41961603659
neos-538916,xpsve1,34114.1502856,18414.278694,18863.215949,-1.80850128514,1.02437984471
rgn,zhifmvxpsve2,63975.3525771,48146.4792,48146.4792,-1.32876491989,1.0
modglob,zhifmvmultiple2str10tr20dvo7,-91983.7602258,1021.659974,1411.487825,-0.0153449676501,1.38156320197
ash608gpia-3col,zhifmvmultiple2passf45,-13121.4480617,1080038.4,1080043.5115,-82.3113048513,1.0000047327
noswot,zhifmvmultiple2ltmend1lylgmiend1ly,41029.8849361,16744.1868,10605.481817,-3.86874313153,-1.57882377142
pk1,zhifmvmultiple2str10tr20dvo7,69686.6254369,80362.100946,40095.974263,-1.73799556484,-2.00424362852
stein45,str10tr20zhifmvdvo7,43322.4400105,96005.172338,84055.69322,1.94023451125,-1.14216144868
reblock67,str10tr20zhifmvdvo7,11466.7180274,3324.702649,3581.409427,-3.20173335697,1.07721195099
layer2,str10tr20zhifmvdvo7,51232.4293136,18791.920726,16134.777675,-3.17527953255,-1.16468420604
