instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvltmend1lyroot,50742.6293569,34012.978904,34709.368546,-1.46192891091,1.02047423261
neos-631694,zhifmvmultiple2str10tr20dvo7,14733.4477077,12418.549711,25906.248111,1.75832898212,2.08609287831
egout,zhifmvrdcifmv,13350.7061289,265207.1184,265207.1184,19.8646510409,1.0
core2536-691,xpsve1,58313.7687975,15048.858156,15468.800219,-3.76976675449,1.02790524428
bell3a,cts0,24649.1104693,3653.64,732.407338,-33.6549201385,-4.98853549171
d20200,zhifmvxpsve1str10tr20dvo7,22645.9971693,8699.852994,5956.449415,-3.8019288995,-1.4605769961
neos-801834,zhifmvmultiple2ltmend1lylgmiend1ly,345328.632166,17975.623,7772.25927,-44.4309202987,-2.31279250673
neos-1337307,str10tr20zhifmvdvo7cbn21,21886.856865,3848.194873,3728.829555,-5.86963188908,-1.03201147069
ds,zhifmvmultiple2str10tr20,58429.9369163,348263.988454,326895.484804,5.59465750019,-1.06536799877
planar150_s,zhifmvmultiple2passf20,55548.7398904,334.351,263.3588,-210.924183625,-1.26956456363
neos-934531,zhifmvresidualifmv,29218.6799797,284223.588666,383168.300595,13.1138128369,1.34812280147
br2,hr0,55183.5962656,138350.780648,116772.24574,2.11606806446,-1.18479164095
acc-tight5,str10tr20zhifmvdvo7cbn21,73193.68406,268396.9466,187296.1832,2.55891181877,-1.43300809453
e20200,zhifmvhr0nve1str10tr20dvo7rnd1rns1,1319.56643532,6353.355312,3081.621339,2.33532867806,-2.06169240575
mcsched,zhifmvpptn5005043,9829.59650809,9725.119765,9604.093581,-1.02347987607,-1.01260152069
neos16,zhifmvlgmiend1lyltmend1ly,21351.777198,203798.882388,35074.447297,1.64269451539,-5.81046596864
blend2,zhifmvrdcifmv,11413.862041,8961.916987,23685.1488,2.07512134936,2.64286634593
danoint,zhifmvlgmiend1lyltmend1lystr10tr20,3220.3243706,12795.457214,11775.024763,3.65647164941,-1.08666074777
neos-931538,xpsve1,27192.1956269,41285.885537,30930.250204,1.13746792015,-1.33480606412
neos-948346,zhifmvxpsve1str10tr20dvo7,8888.84078873,38532.271276,15863.460324,1.78464894366,-2.42899534458
neos-1330346,zhifmvxpsve2,61089.755825,69018.783333,69179.11104,1.13241754048,1.0023229576
lectsched-4-obj,hr0,12306.8163473,12475.49167,24550.183041,1.9948443487,1.96787298572
macrophage,zhifmvlgmiend1lyltmend1lystr10tr20,486043.157101,38533.291988,34266.243189,-14.1843141199,-1.12452630933
liu,hr0,24273.2205139,91896.13841,62692.419497,2.58278127787,-1.4658253605
e40400,zhifmvrdcifmvmultiple2,2698.4040025,31117.804665,19138.241843,7.09243012733,-1.62594897276
neos-777800,zhifmvxpsve1str10tr20dvo7,6773.17195162,595.2,652.6718,-10.3776077833,1.09655880376
mas74,hr0,7409.97234052,2431.533943,2328.458162,-3.18235150687,-1.0442678261
mas76,zhifmvnodedowndepth,2263.72718985,8466.476904,8467.091552,3.74033213452,1.00007259785
mzzv11,zhifmvnodedownfewest,10715.8084534,28358.843702,26279.431281,2.45239837902,-1.07912699475
qnet1,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3570.43299394,3890.75084,3674.393928,1.02911717829,-1.05888233985
neos-1396125,zhifmvnodedepth,9595.53563566,135950.555231,845412.742644,88.1047994342,6.21853100348
rmine6,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,7521.61254847,1274.068381,1487.441733,-5.05674432927,1.16747401881
neos10,cts0,15569.1275561,33963.491396,23821.813858,1.53006735748,-1.42573070206
neos-799838,zhifmvlgmiend1lyltmend1ly,28179.3989271,34408.019955,35382.57976,1.2556186827,1.02832362357
a1c1s1,str10tr20zhifmvdvo7cbn21,9806.34854712,65646.687966,99064.095152,10.102036928,1.50904940099
sprint_hint01_j,zhifmvmultiple2str10tr20,25824.1228834,44038.590224,35160.060926,1.36152004406,-1.25251746056
rgn,hr0,31388.1844857,44005.7448,48146.4792,1.53390455641,1.09409531457
neos-957270,zhifmvltmend1lyrootstr10tr20,59386.8171233,5576.3358,8370.229,-7.09500506178,1.50102671364
layer3,cts0,25683.596282,65783.81301,38255.862222,1.48950566743,-1.71957470539
pk1,zhifmvltmend1lystr10tr20,162788.722706,70283.703613,40095.974263,-4.05997673578,-1.75288678988
stein45,zhifmvmultiple2dvo7,106924.693741,86041.034522,84055.69322,-1.27206962009,-1.02361935552
reblock67,cts0,79024.6962598,7729.247208,3581.409427,-22.0652505307,-2.15815794467
e401600,zhifmvmultiple2passf20,40588.0771762,12975.705255,98015.383172,2.41488116686,7.5537615294
n030w4-1,zhifmvmultiple2passf20,9676.77718806,15046.166947,8984.180538,-1.07709068703,-1.67474004817
n030w4-0,zhifmvpptn5005043,17645.967824,19962.828348,49648.419575,2.81358438768,2.48704335425
n030w4-3,zhifmvnodeupdepth,14539.4651506,10429.567947,11041.72655,-1.3167746081,1.05869453137
n030w4-2,zhifmvrdcifmvmultiple2,10646.0481877,81701.471421,12602.21489,1.18374580575,-6.48310413163
neos-1120495,zhifmvxpsve1str10tr20dvo7,26771.7020825,3821.4781,17857.304091,-1.49920178018,4.6728788243
app1-2,zhifmvmultiple2str10tr20dvo7,213275.684944,340446.744133,999390.328513,4.68590842305,2.93552617476
enlight13,zhifmvmultiple2ltmend1lylgmiend1ly,756771.418629,956755.41803,969472.182567,1.28106342114,1.01329155215
