instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
nw04,zhifmvmultiple2dvo7,45943.1370037,14010.295046,12693.678779,-3.61937132675,-1.10372219826
egout,zhifmvxpsve1str10tr20dvo7,20583.8364618,265207.1184,265207.1184,12.8842414237,1.0
core2536-691,zhifmvxpsve2,62372.8252942,14837.014124,15468.800219,-4.03216955492,1.04258175464
bell3a,str10tr20zhifmv,10889.3349305,732.403654,732.407338,-14.8678670536,1.00000503001
d20200,zhifmvmultiple3,31511.7768114,8969.005413,5956.449415,-5.29036253242,-1.50576371729
neos-801834,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,198887.260142,16867.435476,7772.25927,-25.5893753969,-2.17021008822
neos-1337307,zhifmvrdcifmvmultiple2,77577.8969411,2476.140817,3728.829555,-20.8048922046,1.50590367454
ds,zhifmvmultiple2passt2,48220.2949002,363784.288445,326895.484804,6.77920957307,-1.11284586467
planar150_s,zhifmvmultiple2ltmend1ly,63427.5224321,343.5114,263.3588,-240.840717805,-1.30434752892
neos-934531,zhifmvmultiple2passf20,196808.186009,355749.480523,383168.300595,1.9469124144,1.07707339455
br2,zhifmvmultiple2passf20,38895.1964534,75989.764007,116772.24574,3.00222794555,1.53668388455
acc-tight5,str10tr20zhifmvdvo7,154184.290724,270611.4504,187296.1832,1.21475529265,-1.44483163392
neos10,zhifmv,17843.727704,33197.610166,23821.813858,1.33502451131,-1.39358028586
e20200,zhifmvrdcifmv,2707.60435088,3598.752443,3081.621339,1.13813576123,-1.16781137171
mcsched,str10tr20zhifmvdvo7cbn21,68871.0851789,7652.246368,9604.093581,-7.1710135473,1.25506852748
neos16,zhifmvltmend1lystr10tr20,17005.6979239,182142.504773,35074.447297,2.06251148608,-5.19302565856
blend2,zhifmvmultiple2ltmend1lylgmiend1ly,35615.8370963,23118.3824,23685.1488,-1.50372021713,1.02451583291
danoint,zhifmvnodedepth,19947.2815489,11758.702579,11775.024763,-1.69403308701,1.00138809396
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1ly,139209.011832,2173.87409,3066.394846,-45.3982669627,1.41056690454
neos-948346,zhifmvmultiple2dvo7,14625.7763032,17129.946739,15863.460324,1.08462347537,-1.07983670581
neos-1330346,str10tr20zhifmvdvo7cbn21,157054.883948,67698.807325,69179.11104,-2.27026455799,1.02186602355
lectsched-4-obj,zhifmvmultiple2residualifmv,51062.1065161,24256.346762,24550.183041,-2.07990736488,1.01211378951
n030w4-1,zhifmvmultiple2dvo7,13682.6639525,10559.171051,8984.180538,-1.52297295169,-1.17530708631
e40400,zhifmvrdcifmvmultiple2,4171.29919299,31117.804665,19138.241843,4.58807698934,-1.62594897276
neos-777800,zhifmvmultiple4,20226.0716011,636.6412,652.6718,-30.9896514621,1.02517996008
mas74,zhifmvpptn5005043,7865.24915698,2105.828769,2328.458162,-3.37787866896,1.10572055823
mas76,str10tr20zhifmvdvo7cbn21,2707.12420262,8653.66451,8467.091552,3.12770708629,-1.02203507035
mzzv11,zhifmvltmend1lyrootstr10tr20,16409.3792305,28991.125544,26279.431281,1.60148844828,-1.10318694625
qnet1,zhifmvmultiple2ltmend1lylgmiend1ly,3837.7672265,3554.799762,3674.393928,-1.04446265199,1.03364301058
neos-1396125,zhifmvmultiple2str10tr20,44274.6242065,129118.95358,845412.742644,19.0947468848,6.54754952084
rmine6,zhifmvmultiple4,24246.6477924,1008.857447,1487.441733,-16.3009059478,1.47438246843
mitre,zhifmvmultiple2passf20,158102.885836,1649.764661,1660.79391,-95.1971734022,1.00668534686
a1c1s1,zhifmvmultiple2str10tr20,39281.4829792,71470.387217,99064.095152,2.52190313702,1.38608588829
sprint_hint01_j,zhifmvmultiple3,33193.046229,28755.88796,35160.060926,1.05925984266,1.22270823196
rgn,zhifmvxpsve2,44217.3158024,48146.4792,48146.4792,1.08886028757,1.0
T1_300_5000_0,zhifmvmultiple2,17767.60883,56643.64752,60005.203816,3.37722449825,1.05934568911
ash608gpia-3col,zhifmvmultiple2ltmend1lylgmiend1ly,73102.8829048,1080044.6565,1080043.5115,14.7742943723,-1.00000106014
layer3,cts0,45622.6999358,65783.81301,38255.862222,-1.19256755138,-1.71957470539
pk1,hr0,347886.731105,360845.217923,40095.974263,-8.67635061872,-8.99953734896
stein45,zhifmvnodedepth,221018.631326,84055.805261,84055.69322,-2.62943083163,-1.00000133294
n080w8-1,zhifmvlgmiend1lyltmend1ly,58271.8327823,98842.122179,79952.930837,1.37206823639,-1.23625389519
layer2,cts0,56484.6446262,3295.078805,16134.777675,-3.50080092605,4.8966287697
pg5_34,zhifmvmultiple2pptn5005043,43772.4873025,439.538797,303.923451,-144.024711349,-1.44621547154
n030w4-0,zhifmvresidualifmv,17305.8532965,18760.584214,49648.419575,2.86888018315,2.64642182827
n030w4-3,zhifmvmultiple2passt2,24081.9964568,7352.763068,11041.72655,-2.18099917144,1.50171118638
n030w4-2,zhifmvlgmiend1lyltmend1lyrdcifmv,12660.5912673,12429.848643,12602.21489,-1.00463223154,1.01386712356
neos-1120495,zhifmvmultiple2str10tr20dvo7,79591.9191815,3763.546911,17857.304091,-4.45710723051,4.74480709641
app1-2,zhifmvmultiple2str10tr20dvo7,206297.741695,340446.744133,999390.328513,4.84440750684,2.93552617476
enlight13,zhifmvresidualifmv,890932.758506,964987.973643,969472.182567,1.08815415452,1.00464690654
sprint01_j,zhifmvxpsve1,55158.5999872,17286.300415,8171.278058,-6.75030265714,-2.11549531081
neos-1223462,zhifmvresidualifmv,18632.0922287,47674.809,31188.5496,1.673915587,-1.52859974611
neos-686190,zhifmvmultiple2dvo7,62236.9540459,68862.878597,88438.873682,1.42100260268,1.28427500395
yue20023.1.150,zhifmvltmend1lyroot,204438.438584,358814.72895,81983.992859,-2.49363847081,-4.37664373785
n050w4-3,zhifmvmultiple2dvo7,30159.7237802,19803.552312,16181.424205,-1.86384853386,-1.22384482732
gen,zhifmvlgmiend1lyltmend1ly,52890.439688,587.7324,587.7324,-89.9906823038,1.0
protfold,cbn21,128953.765004,230869.57351,230876.182479,1.79037954007,1.00002862642
noswot,cbn21,67467.5056409,10513.692086,10605.481817,-6.36156912105,1.00873049451
ns1208400,zhifmvlgmiend1lyltmend1lystr10tr20,82083.6985993,1072465.33335,1080030.916,13.1576784968,1.00705438434
neos-960392,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,103253.358244,21196.511762,18650.983119,-5.53608126633,-1.13648227693
dano3mip,zhifmvrdcifmvmultiple2,77987.3093923,30658.130018,22402.860516,-3.48113176604,-1.36849176006
neos-555884,zhifmvltmend1lystr10tr20,42605.7166032,20324.014961,11146.128886,-3.82246760637,-1.82341467328
sp98ar,zhifmvmultiple2residualifmv,33823.6680227,14275.638468,7028.234782,-4.81254099668,-2.03118406126
newdano,default,15310.1302804,88137.097768,88137.097768,5.75678300275,1.0
opm2-z7-s2,zhifmvmultiple2str10tr20dvo7,128019.457551,41376.343849,83157.232073,-1.53948675731,2.00977718999
zib54-UUE,zhifmvlgmiend1lyltmend1lyrdcifmv,61330.163713,45421.838007,39821.48862,-1.54012734929,-1.14063636446
tr12-30,zhifmvmultiple2ltmend1lylgmiend1ly,11639.3001247,47817.604345,88537.021959,7.60673073212,1.85155703996
n050w4-0,zhifmvnodeupdepth,20328.9860746,37179.432189,65125.077017,3.20355755954,1.7516425933
neos-1595230,zhifmvmultiple2passt2,54509.0944835,1188.94543,2343.593403,-23.2587676743,1.97115304358
neos-957323,zhifmvnodedepth,11572.0643116,10927.33633,11784.180254,1.0183300003,1.07841288106
lseu,str10tr20zhifmvdvo7cbn21,56837.1603101,21088.6704,21088.6704,-2.69515143592,1.0
