instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,str10tr20zhifmvdvo7,26301.5268,42302.81698,25906.248111,-1.0152580446,-1.63291947173
egout,str10tr20zhifmvdvo7,732.440494,265207.1184,265207.1184,362.086914326,1.0
core2536-691,str10tr20zhifmvdvo7,64090.868157,15685.116056,15468.800219,-4.14323459154,-1.01398400871
bell3a,str10tr20zhifmvdvo7,18.29858,732.226826,732.407338,40.0253647004,1.0002465247
d20200,str10tr20zhifmvdvo7,26931.837195,8737.001098,5956.449415,-4.52145822429,-1.46681361484
neos-801834,str10tr20zhifmvdvo7,24459.640722,18856.961371,7772.25927,-3.14704384817,-2.42618789671
neos-1337307,str10tr20zhifmvdvo7,25854.696872,3976.348646,3728.829555,-6.93372987171,-1.06637983511
ds,zhifmvnodeupfewest,12216.267282,334184.725467,326895.484804,26.7590318105,-1.02229838282
planar150_s,str10tr20zhifmvdvo7,385614.927787,258.7786,263.3588,-1464.21888233,1.01769929971
neos-934531,str10tr20zhifmvdvo7,55705.31029,225891.419388,383168.300595,6.8784878605,1.69624991349
acc-tight5,zhifmvpptn5005043,128988.4444,154126.7176,187296.1832,1.45203846803,1.2152090573
neos10,str10tr20zhifmvdvo7,16718.559676,31143.838096,23821.813858,1.42487237655,-1.307366361
e20200,zhifmvpptn5005043,257.0328,633.2602,3081.621339,11.9892143687,4.86627983094
mcsched,str10tr20zhifmvdvo7,6518.871604,7745.3228,9604.093581,1.47327546306,1.23998622511
neos16,str10tr20zhifmvdvo7,19032.780386,49481.401355,35074.447297,1.84284411345,-1.41075355902
blend2,str10tr20zhifmvdvo7,18177.829346,23686.949685,23685.1488,1.30296903713,-1.00007603435
danoint,str10tr20zhifmvdvo7,6742.412752,13279.37409,11775.024763,1.74641114333,-1.12775763595
neos-859770,str10tr20zhifmvdvo7,6518.871604,1080018.3206,1080020.6107,165.676005957,1.00000212043
dfn-gwin-UUM,str10tr20zhifmvdvo7,87039.732937,1681.647043,3066.394846,-28.3850375794,1.82344735107
neos-948346,str10tr20zhifmvdvo7,8169.428807,37254.165744,15863.460324,1.94180776879,-2.34842619347
neos-1330346,str10tr20zhifmvdvo7,4710.057242,68132.037255,69179.11104,14.6875308485,1.01536830289
lectsched-4-obj,str10tr20zhifmvdvo7,102915.670085,23765.932409,24550.183041,-4.19205306588,1.03299894229
liu,str10tr20zhifmvdvo7,1080021.6,49246.994913,62692.419497,-17.2273076819,1.27302020373
e40400,str10tr20zhifmvdvo7,5590.96548,9164.72243,19138.241843,3.4230656425,2.08825111608
neos-777800,str10tr20zhifmvdvo7,80678.686169,668.7024,652.6718,-123.612949371,-1.02456150243
mas74,str10tr20zhifmvrdcifmv,448.252721,1776.777665,2328.458162,5.19452097648,1.31049495267
