instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,str10tr20zhifmvdvo7,260286.208783,33579.369374,34709.368546,-7.49901884379,1.03365159004
neos-631694,str10tr20zhifmvdvo7,70950.4214463,42302.81698,25906.248111,-2.73873781886,-1.63291947173
egout,str10tr20zhifmvdvo7,56688.5137698,265207.1184,265207.1184,4.67832195208,1.0
core2536-691,str10tr20zhifmvdvo7,59595.4681676,15685.116056,15468.800219,-3.85262381851,-1.01398400871
bell3a,str10tr20zhifmvdvo7,55770.6781124,732.226826,732.407338,-76.1470772053,1.0002465247
d20200,str10tr20zhifmvdvo7,4778.15600194,8737.001098,5956.449415,1.24660002992,-1.46681361484
neos-801834,str10tr20zhifmvdvo7,127677.629657,18856.961371,7772.25927,-16.4273508154,-2.42618789671
neos-1337307,str10tr20zhifmvdvo7,56688.5137698,3976.348646,3728.829555,-15.2027634767,-1.06637983511
planar150_s,str10tr20zhifmvdvo7,70950.4214463,258.7786,263.3588,-269.405926236,1.01769929971
neos-934531,str10tr20zhifmvdvo7,385468.197753,225891.419388,383168.300595,-1.00600231583,1.69624991349
neos-1516309,str10tr20zhifmvdvo7,76535.8231325,4159.877584,4159.877584,-18.3985758203,1.0
n050w4-0,str10tr20zhifmvdvo7,158946.066176,34483.506981,65125.077017,-2.44062768839,1.88858624655
br2,str10tr20zhifmvdvo7,76535.8231325,89850.391304,116772.24574,1.52572012635,1.29962979621
acc-tight5,str10tr20zhifmvdvo7,158946.066176,270611.4504,187296.1832,1.17836312471,-1.44483163392
e20200,str10tr20zhifmvdvo7,-404.152562466,2846.600921,3081.621339,-7.62489620304,1.08256177263
mcsched,str10tr20zhifmvdvo7,82830.7860071,7745.3228,9604.093581,-8.6245292498,1.23998622511
l152lav,str10tr20zhifmvdvo7,76535.8231325,4459.148778,4457.629003,-17.1696260682,-1.00034093797
blend2,str10tr20zhifmvdvo7,74806.0800296,23686.949685,23685.1488,-3.15835381324,-1.00007603435
danoint,str10tr20zhifmvdvo7,76535.8231325,13279.37409,11775.024763,-6.4998439216,-1.12775763595
neos-931538,str10tr20zhifmvdvo7,56712.725708,110495.986507,30930.250204,-1.83356828134,-3.57242459334
neos-948346,str10tr20zhifmvdvo7,69401.9279482,37254.165744,15863.460324,-4.37495518195,-2.34842619347
neos-1330346,str10tr20zhifmvdvo7,76535.8231325,68132.037255,69179.11104,-1.10634296946,1.01536830289
lectsched-4-obj,str10tr20zhifmvdvo7,56712.725708,23765.932409,24550.183041,-2.31007343665,1.03299894229
