instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
qnet1_o,str10tr20zhifmvdvo7,78690.8832503,3283.7868,3283.7868,-23.963456839,1.0
neos-631694,str10tr20zhifmvdvo7,97416.0732804,42302.81698,25906.248111,-3.76033120902,-1.63291947173
egout,str10tr20zhifmvdvo7,69570.1921514,265207.1184,265207.1184,3.81207971689,1.0
bell3a,zhifmvmultiple4,51202.8756044,1055.058581,732.407338,-69.9103803961,-1.44053524079
d20200,str10tr20zhifmvdvo7,72000.0579763,8737.001098,5956.449415,-12.0877477437,-1.46681361484
neos-801834,str10tr20zhifmvdvo7,89366.0184917,18856.961371,7772.25927,-11.4980748052,-2.42618789671
neos-1337307,str10tr20zhifmvdvo7,98675.8234489,3976.348646,3728.829555,-26.4629482237,-1.06637983511
planar150_s,str10tr20zhifmvdvo7,34044.4226228,258.7786,263.3588,-129.270115989,1.01769929971
neos-934531,str10tr20zhifmvdvo7,262021.899026,225891.419388,383168.300595,1.46235220041,1.69624991349
qiu,str10tr20zhifmvdvo7,64062.7223035,306075.732014,28717.138311,-2.23081846143,-10.6582950118
n050w4-0,str10tr20zhifmvdvo7,171717.097334,34483.506981,65125.077017,-2.63672774297,1.88858624655
br2,zhifmvmultiple4,113540.899176,89488.538612,116772.24574,1.02845975845,1.30488493332
acc-tight5,str10tr20zhifmvdvo7,102274.542669,270611.4504,187296.1832,1.83130795124,-1.44483163392
e20200,str10tr20zhifmvdvo7,84008.4120289,2846.600921,3081.621339,-27.2611079647,1.08256177263
mcsched,str10tr20zhifmvdvo7,79791.1686506,7745.3228,9604.093581,-8.3080373986,1.23998622511
neos16,str10tr20zhifmvdvo7,69761.9254007,49481.401355,35074.447297,-1.98896720481,-1.41075355902
blend2,zhifmvmultiple4,73882.7460171,21676.463096,23685.1488,-3.11937014376,1.09266667238
danoint,zhifmvmultiple4,68782.4368725,11252.586945,11775.024763,-5.84138362822,1.04642824095
dfn-gwin-UUM,zhifmvmultiple4,69185.7382531,2945.24231,3066.394846,-22.5625667038,1.04113499782
neos-948346,str10tr20zhifmvdvo7,84904.2572732,37254.165744,15863.460324,-5.35219022452,-2.34842619347
neos-1330346,zhifmvmultiple4,79268.8839567,110731.560162,69179.11104,-1.14584999381,-1.60065023238
