instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvrdcifmv,10790.1479848,741698.713832,25906.248111,2.40091685002,-28.630109256
egout,zhifmvnodedepth,12558.2341541,265207.1184,265207.1184,21.1181854986,1.0
core2536-691,zhifmvlgmiend1lyltmend1lyrdcifmv,78153.902112,18651.390403,15468.800219,-5.05235706749,-1.20574253587
bell3a,xpsve1,17713.3473044,732.440494,732.407338,-24.185103542,-1.00004526989
d20200,zhifmvmultiple4,11194.2589338,7712.144214,5956.449415,-1.87935096126,-1.2947552605
neos-801834,zhifmvnodehybrid,231458.000795,7520.366328,7772.25927,-29.7800154053,1.0334947702
neos-1337307,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,55519.4526169,2732.743822,3728.829555,-14.8892438761,1.36450022318
ds,zhifmvmultiple2passt2,55814.6123415,363784.288445,326895.484804,5.85680829966,-1.11284586467
planar150_s,zhifmvmultiple2passf20,75589.9704748,334.351,263.3588,-287.022763146,-1.26956456363
neos-934531,zhifmvmultiple2dvo7,232294.760793,286736.739146,383168.300595,1.64949178917,1.33630696135
acc-tight5,zhifmvhr0nve1str10tr20dvo7rnd1rns1,142782.35319,179498.4734,187296.1832,1.31176002507,1.04344164968
neos10,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,42422.5544388,32728.127981,23821.813858,-1.78082805498,-1.37387220705
e20200,zhifmvmultiple2dvo7,2252.81451563,3671.083253,3081.621339,1.36789838561,-1.19128304524
mcsched,zhifmvmultiple2ltmend1lylgmiend1ly,55045.2819143,14241.491928,9604.093581,-5.73143956273,-1.48285643074
neos16,zhifmvmultiple4,4495.32337065,17428.309879,35074.447297,7.8024303048,2.01249848898
blend2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,21857.2132791,22031.137597,23685.1488,1.08363076745,1.07507606885
danoint,cbn21,15719.2798456,11795.794454,11775.024763,-1.33496788007,-1.00176387663
