instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
nw04,zhifmvmultiple4,46565.2668809,13619.802954,12693.678779,-3.66838232569,-1.07295947779
neos-633273,hr0,87239.5421505,120085.650199,120073.820423,1.37636921817,-1.00009852086
core2536-691,str10tr20zhifmv,82522.2514176,15758.068245,15468.800219,-5.33475448964,-1.01870009451
bell3a,str10tr20zhifmvdvo7,7693.81292846,732.226826,732.407338,-10.5048277499,1.0002465247
d20200,zhifmvmultiple2dvo7,17976.4848262,9556.226389,5956.449415,-3.01798665174,-1.60434945774
neos-801834,zhifmvmultiple4,241938.303086,17753.281855,7772.25927,-31.1284395799,-2.28418549077
neos-1337307,zhifmvmultiple4,117755.57174,2905.742753,3728.829555,-31.5797678611,1.28326210266
ds,zhifmvmultiple4,63255.9929421,349126.945206,326895.484804,5.16781840897,-1.06800785399
planar150_s,zhifmvpptn5005043,68285.6583793,267.939,263.3588,-259.287551353,-1.01739148265
neos-934531,zhifmvnodedowndepth,236540.687917,315736.231459,383168.300595,1.6198832597,1.21357089373
qiu,zhifmvltmend1lyroot,27191.1025708,298138.818619,28717.138311,1.0561226135,-10.3819125496
n050w4-0,zhifmvmultiple2str10tr20dvo7,26458.6656924,39392.849809,65125.077017,2.46138931472,1.6532207579
br2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,63861.6646453,91638.02405,116772.24574,1.82851866434,1.27427721135
acc-tight5,zhifmvlgmiend1lyltmend1ly,149792.957149,140164.122,187296.1832,1.2503670851,1.33626337844
e20200,zhifmvpptn5005043,4791.68211743,633.2602,3081.621339,-1.55492242242,4.86627983094
mcsched,zhifmvmultiple4,56979.4454971,5915.485969,9604.093581,-5.9328290605,1.62355107109
neos16,zhifmvmultiple2ltmend1lylgmiend1ly,20059.3697486,49368.07351,35074.447297,1.74853186997,-1.40752249328
blend2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,12176.8784047,22031.137597,23685.1488,1.94509200247,1.07507606885
danoint,zhifmvmultiple2dvo7,37069.6982774,11980.796453,11775.024763,-3.14816308445,-1.01747526601
neos-931538,str10tr20zhifmvrdcifmv,68953.7534387,168651.368982,30930.250204,-2.22933060625,-5.45263513453
neos-948346,zhifmvmultiple2passf45,10689.4901816,15878.349048,15863.460324,1.48402403243,-1.00093855462
neos-1330346,str10tr20zhifmvrdcifmv,497303.044136,69380.708333,69179.11104,-7.18863016104,-1.00291413535
lectsched-4-obj,str10tr20zhifmvdvo7,29471.7390069,23765.932409,24550.183041,-1.20046921678,1.03299894229
n030w4-1,zhifmvnodedepth,22392.8001457,10054.994316,8984.180538,-2.4924699644,-1.11918880898
dcmulti,zhifmvmultiple2str10tr20dvo7,102406.836286,2027.041375,2289.3552,-44.7317376903,1.12940723768
neos-777800,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,39717.6282088,407.6336,652.6718,-60.853905759,1.60112365615
mas74,str10tr20zhifmvdvo7,6658.59371481,1412.781291,2328.458162,-2.85965787296,1.64813773854
mas76,str10tr20zhifmvdvo7,2769.96770756,8653.614046,8467.091552,3.05674738694,-1.02202911033
mkc,zhifmvnodehybrid,26566.2979599,16096.129904,15810.617628,-1.68028211073,-1.01805826203
gesa2-o,zhifmvnodehybrid,34275.4573698,154.856558,155.722814,-220.105561217,1.00559392519
qnet1,zhifmvmultiple4,4069.06730922,1887.953782,3674.393928,-1.10741183144,1.94623086806
neos-1396125,zhifmvlgmiend1lyltmend1ly,51215.8301367,173788.896292,845412.742644,16.5068639986,4.86459584405
rmine6,str10tr20zhifmvdvo7,35161.0223461,1683.285138,1487.441733,-23.6385880307,-1.13166458938
neos-1109824,zhifmvmultiple2str10tr20dvo7,77339.0577596,13982.76166,5884.435043,-13.1429877625,-2.37622839879
mitre,zhifmvltmend1lyrootstr10tr20,191890.087875,1620.628115,1660.79391,-115.541179866,1.0247840912
a1c1s1,zhifmvmultiple2str10tr20dvo7,19110.6813718,69782.316203,99064.095152,5.18370293685,1.41961603659
neos-538916,zhifmvmultiple2str10tr20dvo7,29249.6276747,32989.898179,18863.215949,-1.55061723058,-1.74890104997
rgn,zhifmvmultiple2ltmend1lylgmiend1ly,17667.4606507,9283.122295,48146.4792,2.72514993251,5.18645318568
long_hidden01,zhifmvmultiple4,440214.124887,603787.309443,527859.649118,1.19909748297,-1.14384062213
noswot,zhifmvmultiple4,12997.2169331,16744.1868,10605.481817,-1.22551876071,-1.57882377142
pk1,zhifmvmultiple4,424851.282963,64751.65463,40095.974263,-10.5958588305,-1.61491660498
aflow30a,zhifmvpptn5005043,33193.9293843,20176.070201,20177.024585,-1.64513500216,1.00004730277
reblock67,zhifmvmultiple2str10tr20,67482.1013927,6203.755294,3581.409427,-18.8423308667,-1.73221057811
layer2,xpsve2,53339.272383,43865.095881,16134.777675,-3.30585728898,-2.71866751216
pg5_34,zhifmvhr0nve1str10tr20dvo7rnd1rns1,90287.2346122,188.39701,303.923451,-297.072286838,1.61320740175
n030w4-0,zhifmvmultiple2pptn5005043,26351.3467482,21070.163512,49648.419575,1.88409420018,2.35633765
n030w4-3,zhifmvmultiple2str10tr20dvo7,19498.8057437,8473.077154,11041.72655,-1.7659199995,1.30315425545
n030w4-2,zhifmvpptn5005043,19637.5912766,5412.332701,12602.21489,-1.55826507071,2.32842576135
neos-1120495,zhifmvltmend1lyroot,89815.7334926,3725.453029,17857.304091,-5.02963566252,4.79332418151
app1-2,zhifmvmultiple2str10tr20dvo7,127267.108554,340446.744133,999390.328513,7.85269925486,2.93552617476
enlight13,str10tr20zhifmvrdcifmv,572251.401605,199305.992918,969472.182567,1.69413684239,4.86423999787
tas010,hr0,89624.8652977,13084.569298,19271.128148,-4.65073267166,1.47281333524
bley_xl1,zhifmvmultiple4,159859.932716,84215.472824,21684.802184,-7.37198021725,-3.88361729609
neos-1223462,zhifmvmultiple2passf45,144871.747291,201622.9008,31188.5496,-4.64502995969,-6.46464498625
neos-686190,zhifmvpptn5005043,170747.378315,7761.254745,88438.873682,-1.93068241607,11.3949195829
yue20023.1.150,zhifmvltmend1lyroot,247572.256676,358814.72895,81983.992859,-3.019763347,-4.37664373785
n050w4-3,zhifmvxpsve1str10tr20dvo7,31266.3038875,27986.453899,16181.424205,-1.93223436278,-1.72954206901
beasleyC3,zhifmvmultiple2ltmend1lylgmiend1ly,152702.00239,39341.285281,56353.453197,-2.70971863706,1.432425321
gen,zhifmvhr0nve1str10tr20dvo7rnd1rns1,64787.6953566,587.7324,587.7324,-110.233322778,1.0
protfold,zhifmvltmend1lyroot,21956.8654591,351930.737514,230876.182479,10.5149882577,-1.52432673537
layer3,zhifmvnodehybrid,51189.4742727,56826.751712,38255.862222,-1.33808183372,-1.48543905199
ns1208400,hr0,36895.582767,1080029.771,1080030.916,29.2726346897,1.00000106016
neos-960392,zhifmvmultiple2str10tr20,247437.576949,15593.278476,18650.983119,-13.2667310549,1.1960911971
dano3mip,str10tr20zhifmvdvo7,80153.3977368,20746.084403,22402.860516,-3.57781979134,1.07985970175
neos-555884,zhifmvmultiple4,98810.7014542,21843.324736,11146.128886,-8.86502412316,-1.95972296386
sp98ar,zhifmvmultiple4,77126.7408059,9215.551453,7028.234782,-10.973842394,-1.31121849779
neos-916792,zhifmvlgmiend1lyltmend1ly,48770.5131934,18261.676299,17287.192479,-2.82119339231,-1.0563702765
opm2-z7-s2,zhifmvrdcifmv,86258.5520807,70764.060735,83157.232073,-1.03729465171,1.1751336937
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1ly,45420.3622287,64765.05345,39821.48862,-1.14059930461,-1.62638453997
tr12-30,str10tr20zhifmvdvo7,9583.6574729,92283.755696,88537.021959,9.23833329909,-1.04231827154
layer4,zhifmvltmend1lyrootstr10tr20,41529.533398,61636.713251,61638.616422,1.48421162914,1.00003087723
neos-1595230,zhifmvresidualifmv,219656.536588,2352.987273,2343.593403,-93.7263845797,-1.00400831901
neos-957323,str10tr20zhifmv,13817.9889472,8991.952777,11784.180254,-1.1725880502,1.31052514912
lseu,zhifmvhr0nve1str10tr20dvo7rnd1rns1,56244.6067456,19204.9056,21088.6704,-2.66705324133,1.0980876886
gt2,zhifmvmultiple4,19311.1224814,131063.4036,131063.4036,6.7869386529,1.0
neos-1437164,zhifmvlgmiend1lyltmend1lyrdcifmv,25732.8970913,16663.05,16667.577002,-1.54388949805,1.00027167907
neos-641591,zhifmvxpsve1str10tr20dvo7,49153.1832317,17601.598164,4276.537427,-11.4936871408,-4.11585271132
n080w8-7,zhifmvmultiple4,79570.0633691,64528.641053,37358.003848,-2.12993348608,-1.72730430982
bnatt350,zhifmvmultiple2dvo7,105030.781693,720009.1604,720009.1604,6.85522042964,1.0
e10400,zhifmvmultiple4,6141.96939261,47.250806,111.633126,-55.0192367865,2.36256554015
a10100,str10tr20zhifmvdvo7,2865.7341819,381.1752,381.1752,-7.5181548587,1.0
neos-799838,zhifmvmultiple4,59523.7346521,33661.421904,35382.57976,-1.68228928065,1.05113146619
flugpl,zhifmvxpsve2,574908.901295,4639.7304,4639.7304,-123.909980049,1.0
neos-957389,zhifmvnodehybrid,12899.6719658,38757.9,4536.6412,-2.84344108276,-8.54330291759
neos-849702,hr0,119573.693649,720029.771,720029.771,6.02164028748,1.0
neos-957143,zhifmvnodeupfewest,45010.6645159,15601.846785,13632.260748,-3.30177549769,-1.14447978024
rd-rplusc-21,zhifmvlgmiend1lyltmend1lyrdcifmv,91540.3101454,721669.4656,721676.3358,7.88369992033,1.00000951987
pdistuchoa,zhifmvmultiple4,45533.4980122,136836.061002,113683.243687,2.49669471158,-1.20366077325
ns1766074,zhifmvlgmiend1lyltmend1ly,131523.755011,1080000.0,1080000.0,8.21144438821,1.0
