instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvpptn5005043,28416.539056,39823.649752,34709.368546,1.22144953957,-1.14734584408
neos-631694,zhifmvpptn5005043,37.4004,54504.566937,25906.248111,692.673022508,-2.1039158856
neos-633273,zhifmvpptn5005043,1703.624025,120325.349393,120073.820423,70.4814082573,-1.0020947861
core2536-691,zhifmvpptn5005043,39270.416534,17890.924952,15468.800219,-2.53868535232,-1.15658129258
bell3a,zhifmvnodeupfewest,11.543561,732.236316,732.407338,63.4472618978,1.00023356121
d20200,zhifmvpptn5005043,83.714095,6040.098625,5956.449415,71.1522882138,-1.01404346855
neos-801834,zhifmvpptn5005043,37.4004,7723.541458,7772.25927,207.812196394,1.00630770383
neos-1337307,zhifmvpptn5005043,17463.958836,3741.91853,3728.829555,-4.68349614226,-1.00351021006
planar150_s,zhifmvpptn5005043,31970.124292,267.939,263.3588,-121.39379543,-1.01739148265
neos-934531,zhifmvpptn5005043,37.4004,325533.888278,383168.300595,10245.0321546,1.17704581425
n050w4-0,zhifmvnodeupfewest,18567.795165,31277.193011,65125.077017,3.50742112557,2.08219059153
neos-912023,zhifmvpptn5005043,4625.4096,27859.397914,979.479248,-4.72231505613,-28.4430711226
acc-tight5,str10tr20zhifmvdvo7,21066.625041,270611.4504,187296.1832,8.89065917467,-1.44483163392
e20200,zhifmvpptn5005043,37.4004,633.2602,3081.621339,82.3954112523,4.86627983094
mcsched,zhifmvpptn5005043,35855.606728,9725.119765,9604.093581,-3.73336707161,-1.01260152069
neos16,zhifmvpptn5005043,4625.4096,59626.282858,35074.447297,7.5829927142,-1.69999208692
blend2,zhifmvpptn5005043,4625.4096,22149.686415,23685.1488,5.12065975735,1.06932208232
danoint,zhifmvpptn5005043,7989.278044,11834.011931,11775.024763,1.47385341931,-1.00500951541
gen,str10tr20zhifmvdvo7,88783.173673,587.7324,587.7324,-151.060539921,1.0
dfn-gwin-UUM,str10tr20zhifmvdvo7,591.286549,1681.647043,3066.394846,5.18597091577,1.82344735107
neos-948346,str10tr20zhifmvdvo7,4977.544993,37254.165744,15863.460324,3.18700490831,-2.34842619347
