instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,str10tr20zhifmvdvo7,52324.9788466,33579.369374,34709.368546,-1.50751745245,1.03365159004
neos-631694,str10tr20zhifmvdvo7,40282.2041375,42302.81698,25906.248111,-1.55492234788,-1.63291947173
neos-633273,str10tr20zhifmvdvo7,39238.0433186,120071.9098,120073.820423,3.06013782207,1.00001591232
core2536-691,str10tr20zhifmvdvo7,279081.749528,15685.116056,15468.800219,-18.0415898827,-1.01398400871
bell3a,str10tr20zhifmvdvo7,266697.192622,732.226826,732.407338,-364.137794346,1.0002465247
d20200,str10tr20zhifmvdvo7,32711.9587249,8737.001098,5956.449415,-5.49185537319,-1.46681361484
neos-801834,str10tr20zhifmvdvo7,41647.3507416,18856.961371,7772.25927,-5.35846132956,-2.42618789671
neos-1337307,zhifmvhr0nve1str10tr20dvo7rnd1rns1,442181.373291,11528.349458,3728.829555,-118.584495957,-3.09168045575
planar150_s,str10tr20zhifmvdvo7,40282.2041375,258.7786,263.3588,-152.955603297,1.01769929971
neos-934531,zhifmvmultiple4,31827.7238039,344623.92185,383168.300595,12.0388219703,1.11184475685
n050w4-0,str10tr20zhifmvdvo7,32971.4914561,34483.506981,65125.077017,1.97519354269,1.88858624655
e40400,str10tr20zhifmvdvo7,36944.8088424,9164.72243,19138.241843,-1.93041812019,2.08825111608
br2,str10tr20zhifmvdvo7,50815.3866139,89850.391304,116772.24574,2.29797023148,1.29962979621
acc-tight5,str10tr20zhifmvdvo7,53122.3463919,270611.4504,187296.1832,3.52575132541,-1.44483163392
e20200,zhifmvhr0nve1str10tr20dvo7rnd1rns1,31827.7238039,6353.355312,3081.621339,-10.3282396838,-2.06169240575
mcsched,str10tr20zhifmvdvo7,42165.7022074,7745.3228,9604.093581,-4.39038852045,1.23998622511
l152lav,str10tr20zhifmvdvo7,34791.5052564,4459.148778,4457.629003,-7.80493514219,-1.00034093797
blend2,str10tr20zhifmvdvo7,32046.7340196,23686.949685,23685.1488,-1.35303072361,-1.00007603435
danoint,zhifmvmultiple2str10tr20dvo7,274751.358284,11607.507368,11775.024763,-23.333399616,1.01443181466
dfn-gwin-UUM,str10tr20zhifmvdvo7,1078730.94526,1681.647043,3066.394846,-351.79127263,1.82344735107
neos-948346,zhifmvpptn5005043,33130.9908198,15934.260885,15863.460324,-2.08850970363,-1.00446312214
neos-1330346,str10tr20zhifmvdvo7,35457.0256734,68132.037255,69179.11104,1.95106920916,1.01536830289
lectsched-4-obj,str10tr20zhifmvdvo7,32617.3138988,23765.932409,24550.183041,-1.32859758497,1.03299894229
n030w4-1,str10tr20zhifmvdvo7,40292.3746697,11754.6618,8984.180538,-4.48481355637,-1.30837328461
dcmulti,str10tr20zhifmvdvo7,36731.5612783,2293.927919,2289.3552,-16.044500774,-1.00199738293
rmatr100-p5,str10tr20zhifmvdvo7,32006.2984217,20742.07342,54654.318848,1.70761136224,2.63494963793
mas74,str10tr20zhifmvdvo7,32477.0145365,1412.781291,2328.458162,-13.9478626099,1.64813773854
gen,str10tr20zhifmvdvo7,33976.0462995,587.7324,587.7324,-57.8087005234,1.0
gesa2-o,str10tr20zhifmvdvo7,32304.0029829,159.748093,155.722814,-207.445538345,-1.02584899988
qnet1,str10tr20zhifmvdvo7,32248.999858,7703.203205,3674.393928,-8.77668548607,-2.09645545795
neos-1396125,str10tr20zhifmvdvo7,32709.3976067,259007.708848,845412.742644,25.8461727975,3.26404471282
tanglegram2,str10tr20zhifmvdvo7,31101.1164943,338672.017278,340466.295492,10.9470763069,1.00529798189
rmine6,str10tr20zhifmvdvo7,31715.4811678,1683.285138,1487.441733,-21.3221670901,-1.13166458938
neos-1109824,zhifmvlgmiend1lyltmend1ly,114182.589029,8858.554484,5884.435043,-19.4041718865,-1.50542140737
mitre,zhifmvlgmiend1lyltmend1ly,31715.4811678,1664.199546,1660.79391,-19.0965784357,-1.00205060723
a1c1s1,str10tr20zhifmvdvo7,32322.7780628,65680.198194,99064.095152,3.06483851603,1.5082794796
sprint_hint01_j,str10tr20zhifmvdvo7,41287.1894248,32756.031621,35160.060926,-1.17426387604,1.07339195824
vpphard,zhifmvmultiple4,286943.134808,634289.233069,714307.507528,2.48936956797,1.12615423735
T1_300_5000_0,str10tr20zhifmvdvo7,31798.2519799,54231.760503,60005.203816,1.88705982499,1.1064587109
noswot,str10tr20zhifmvdvo7,36944.8088424,10166.404861,10605.481817,-3.48355779397,1.04318900949
pk1,zhifmvpptn5005043,33130.9908198,40202.495203,40095.974263,1.21022563077,-1.00265664925
aflow30a,str10tr20zhifmvdvo7,36731.5612783,20388.26822,20177.024585,-1.8204647134,-1.01046951368
reblock67,str10tr20zhifmvdvo7,43245.6139128,3324.702649,3581.409427,-12.0750265487,1.07721195099
ns1208400,str10tr20zhifmvdvo7,30654.0651164,1080029.771,1080030.916,35.2328773329,1.00000106016
pg5_34,str10tr20zhifmvdvo7,33976.0462995,245.015861,303.923451,-111.791459947,1.24042357813
neos-859770,str10tr20zhifmvdvo7,36731.5612783,1080018.3206,1080020.6107,29.4030684543,1.00000212043
n030w4-3,zhifmvhr0nve1str10tr20dvo7rnd1rns1,31236.8973049,13828.985858,11041.72655,-2.82898667735,-1.25242966264
n030w4-2,str10tr20zhifmvdvo7,41468.1897414,12406.404866,12602.21489,-3.29054774128,1.01578297872
neos-1120495,zhifmvhr0nve1str10tr20dvo7rnd1rns1,44941.0579908,4049.248127,17857.304091,-2.51667652417,4.41002959832
eilC76.2,str10tr20zhifmvdvo7,36203.7817218,33454.627625,30758.969024,-1.17701544852,-1.08763813244
enlight13,str10tr20zhifmvdvo7,1082231.62277,966573.851844,969472.182567,-1.11631013476,1.00299856107
neos-632335,str10tr20zhifmvdvo7,31236.8973049,124564.944818,124573.712221,3.98803091757,1.00007038419
neos-1223462,str10tr20zhifmvdvo7,36927.992717,59395.4198,31188.5496,-1.18402404698,-1.90439826673
neos-686190,zhifmvpptn5005043,33130.9908198,7761.254745,88438.873682,2.66937002165,11.3949195829
yue20023.1.150,zhifmvxpsve2str10tr20dvo7,267593.103162,364876.825027,81983.992859,-3.26396768235,-4.45058617302
d05100,str10tr20zhifmvdvo7,34069.6763044,163.111679,164.821321,-206.706730038,1.01048141991
ds,str10tr20zhifmvdvo7,37206.1410267,306710.727572,326895.484804,8.78606261718,1.06581040511
protfold,str10tr20zhifmvdvo7,43245.6139128,388258.776138,230876.182479,5.338719042,-1.68167531172
sp98ar,zhifmvhr0nve1str10tr20dvo7rnd1rns1,32304.0029829,45929.952269,7028.234782,-4.59631813462,-6.53506231559
layer3,str10tr20zhifmvdvo7,32304.0029829,34828.94689,38255.862222,1.18424525413,1.09839273472
layer2,str10tr20zhifmvdvo7,36731.5612783,18791.920726,16134.777675,-2.27654585754,-1.16468420604
neos-960392,zhifmvpptn5005043,33130.9908198,32850.192491,18650.983119,-1.77636699409,-1.76131157706
dano3mip,str10tr20zhifmvdvo7,32322.7780628,20746.084403,22402.860516,-1.44279691603,1.07985970175
neos-555884,str10tr20zhifmvdvo7,39238.0433186,19735.221317,11146.128886,-3.52032922999,-1.7705897284
gmu-35-40,str10tr20zhifmvdvo7,33507.2615933,226.866977,234.206572,-143.067127909,1.03235197602
neos-916792,str10tr20zhifmvdvo7,36731.5612783,14078.757752,17287.192479,-2.12478465332,1.227891891
opm2-z7-s2,str10tr20zhifmvdvo7,53232.9749915,74881.039885,83157.232073,1.56213760524,1.11052453599
