instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,default,24839.6621324,25906.248111,25906.248111,1.04293882795,1.0
egout,default,6672.94292176,265207.1184,265207.1184,39.7436515656,1.0
core2536-691,zhifmvresidualifmv,41755.9772352,13956.755806,15468.800219,-2.69936754267,1.10833781389
bell3a,default,7987.17284865,732.407338,732.407338,-10.9053697775,1.0
d20200,zhifmvmultiple4,7816.53957686,7712.144214,5956.449415,-1.31228170211,-1.2947552605
neos-801834,default,21431.2592615,7772.25927,7772.25927,-2.75740405936,1.0
neos-1337307,default,28734.0748299,3728.829555,3728.829555,-7.70592337516,1.0
ds,default,41999.3686025,326895.484804,326895.484804,7.78334283778,1.0
planar150_s,default,3907.85191295,263.3588,263.3588,-14.8385089579,1.0
neos-934531,default,156497.750995,383168.300595,383168.300595,2.44839493321,1.0
n050w4-0,default,52034.2022186,65125.077017,65125.077017,1.25158211792,1.0
e40400,zhifmvmultiple4,15748.6616019,28416.539056,19138.241843,1.2152297336,-1.48480405301
br2,default,38046.3401042,116772.24574,116772.24574,3.06921100479,1.0
acc-tight5,default,21509.0587781,187296.1832,187296.1832,8.70778145766,1.0
e20200,default,15453.7313884,3081.621339,3081.621339,-5.01480541845,1.0
mcsched,zhifmvmultiple4,14862.7844411,5915.485969,9604.093581,-1.54754681592,1.62355107109
neos16,zhifmvresidualifmv,11183.8988366,59267.638864,35074.447297,3.13615562956,-1.68976686538
blend2,default,11246.1797798,23685.1488,23685.1488,2.10606172619,1.0
danoint,default,8903.17200397,11775.024763,11775.024763,1.32256512148,1.0
dfn-gwin-UUM,default,7994.25937035,3066.394846,3066.394846,-2.60705478969,1.0
neos-948346,default,22526.6663839,15863.460324,15863.460324,-1.42003484258,1.0
neos-1330346,default,19771.807571,69179.11104,69179.11104,3.49887640732,1.0
lectsched-4-obj,default,54389.6728696,24550.183041,24550.183041,-2.21544877196,1.0
liu,default,15071.1690025,62692.419497,62692.419497,4.15975824349,1.0
newdano,default,8520.44602169,88137.097768,88137.097768,10.3441882671,1.0
dcmulti,default,5439.16346363,2289.3552,2289.3552,-2.37584952463,1.0
