instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvmultiple2dvo7,73530.991368,16407.860483,34709.368546,-2.11847678158,2.11541099962
neos-631694,xpsve1,36471.1082394,26389.110829,25906.248111,-1.40781127715,-1.01863885175
egout,zhifmvhr0nve1str10tr20dvo7rnd1rns1,29855.4656321,265207.1184,265207.1184,8.88303407047,1.0
core2536-691,zhifmvmultiple2ltmend1lylgmiend1ly,49450.4561134,15802.50553,15468.800219,-3.19678678458,-1.02157279855
bell3a,zhifmvmultiple2ltmend1lylgmiend1ly,31955.934852,1054.951985,732.407338,-43.6313690401,-1.44038969883
d20200,zhifmvnodeupfewest,9548.34112872,9766.311491,5956.449415,-1.60302563884,-1.63961964764
neos-801834,zhifmvmultiple4,14810.3874356,17753.281855,7772.25927,-1.905544697,-2.28418549077
neos-1337307,zhifmvrdcifmvmultiple2,357791.630109,2476.140817,3728.829555,-95.9527982794,1.50590367454
planar150_s,zhifmvmultiple2passf20,49701.5610608,334.351,263.3588,-188.721854219,-1.26956456363
neos-934531,zhifmvmultiple2str10tr20dvo7,562193.965877,306394.79151,383168.300595,-1.46722462428,1.25057054236
n050w4-0,str10tr20zhifmvdvo7,34812.5141226,34483.506981,65125.077017,1.8707375396,1.88858624655
acc-tight5,cbn21,80287.2386588,186041.2214,187296.1832,2.33282631622,1.00674561149
e20200,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,3823.17972298,3846.881512,3081.621339,-1.24063903459,-1.24833037185
mcsched,zhifmvnodehybrid,31221.9323638,8883.64798,9604.093581,-3.25089839041,1.08109794564
neos16,zhifmvnodeupdepth,22043.5974418,168444.719879,35074.447297,1.591139894,-4.80249106857
blend2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,32954.7421554,22031.137597,23685.1488,-1.39136732616,1.07507606885
danoint,zhifmvnodehybrid,51445.334526,11793.90924,11775.024763,-4.36902134488,-1.00160377387
neos-931538,zhifmvlgmiend1lyltmend1ly,31437.0120955,34010.47451,30930.250204,-1.01638402173,-1.09958614255
neos-948346,zhifmvnodeupfewest,11199.2256221,14540.472279,15863.460324,1.41647832264,1.09098659381
neos-1330346,zhifmvmultiple4,122425.061149,110731.560162,69179.11104,-1.76968248519,-1.60065023238
lectsched-4-obj,zhifmvlgmiend1lyltmend1ly,98397.1445528,25488.756917,24550.183041,-4.00800044499,-1.03823083007
macrophage,zhifmvhr0nve1str10tr20dvo7rnd1rns1,358067.969333,42835.860472,34266.243189,-10.449583497,-1.25008919816
n030w4-1,zhifmvpptn5005043,20713.3476253,14577.733805,8984.180538,-2.30553555082,-1.62260027426
e40400,zhifmvmultiple2passf45,15021.2328563,15047.629925,19138.241843,1.27407930002,1.2718442664
neos-777800,zhifmvmultiple2ltmend1lylgmiend1ly,10013.6394272,409.9236,652.6718,-15.3425342219,1.59217912801
mas74,str10tr20zhifmvdvo7,6009.41242453,1412.781291,2328.458162,-2.58085480023,1.64813773854
mas76,zhifmvlgmiend1lyltmend1ly,3536.07947843,8482.595011,8467.091552,2.39448564537,-1.00183102532
mkc,zhifmvmultiple2passf20,11322.3058822,8687.399139,15810.617628,1.39641322117,1.8199483384
mzzv11,zhifmvnodehybrid,13435.3649579,26178.583925,26279.431281,1.95598938796,1.00385228461
qnet1,str10tr20zhifmvdvo7,5262.70858539,7703.203205,3674.393928,-1.43226575281,-2.09645545795
neos-1396125,str10tr20zhifmvdvo7,48156.4478044,259007.708848,845412.742644,17.5555461665,3.26404471282
rmine6,str10tr20zhifmv,15346.8094721,1689.397337,1487.441733,-10.3175869896,-1.13577379169
neos-1109824,str10tr20zhifmvdvo7,22109.2076876,14406.077319,5884.435043,-3.75723540595,-2.44816659777
neos10,str10tr20zhifmvdvo7,17545.1572349,31143.838096,23821.813858,1.35774296799,-1.307366361
neos-506428,cts0,334262.487912,462613.988483,495126.030637,1.48124916358,1.07027898629
a1c1s1,zhifmvrdcifmv,18326.6453216,94108.384541,99064.095152,5.40546801739,1.0526596077
sprint_hint01_j,zhifmvnodeupfewest,14294.8642702,43494.635664,35160.060926,2.4596288752,-1.23704665232
vpphard,str10tr20zhifmvdvo7,292673.097441,558950.141809,714307.507528,2.4406326163,1.27794494374
neos-957270,zhifmvnodeupfewest,33822.2050029,9909.3334,8370.229,-4.04077415359,-1.18387841002
layer3,cts0,50590.7208733,65783.81301,38255.862222,-1.32243054881,-1.71957470539
pk1,str10tr20zhifmvdvo7,756540.224918,70541.087495,40095.974263,-18.8682340016,-1.75930598499
aflow30a,str10tr20zhifmvdvo7,4431.69379587,20388.26822,20177.024585,4.55289230583,-1.01046951368
n080w8-1,zhifmvnodehybrid,37588.15677,82320.063312,79952.930837,2.12707772095,-1.0296065754
layer2,str10tr20zhifmv,10554.2027339,2390.606964,16134.777675,1.52875381323,6.74923896649
pg5_34,zhifmvhr0nve1str10tr20dvo7rnd1rns1,24611.0879726,188.39701,303.923451,-80.9779169445,1.61320740175
n030w4-0,cbn21,24287.2580549,51200.508261,49648.419575,2.04421674372,-1.031261593
30n20b8,zhifmvnodeupfewest,4936.00302516,643664.475474,842135.790435,170.61087405,1.30834592015
n030w4-2,str10tr20zhifmvdvo7,10262.0200588,12406.404866,12602.21489,1.22804426593,1.01578297872
neos-1120495,zhifmvmultiple2passt2,117648.726325,3750.271589,17857.304091,-6.58826918809,4.76160290454
app1-2,zhifmvnodeupdepth,93264.1216601,760653.501227,999390.328513,10.715699786,1.31385752764
enlight13,str10tr20zhifmvdvo7,1080013.15112,966573.851844,969472.182567,-1.11402180541,1.00299856107
bley_xl1,zhifmvmultiple2passf45,304293.989549,21663.610041,21684.802184,-14.0325923643,1.00097823691
neos-1223462,zhifmvnodehybrid,22288.2063708,69708.4446,31188.5496,1.39932972089,-2.23506528819
neos-686190,zhifmvnodeupfewest,110151.868087,8191.129374,88438.873682,-1.24551414442,10.7969084169
yue20023.1.150,zhifmvmultiple2str10tr20dvo7,315357.279807,363942.861481,81983.992859,-3.84657137095,-4.43919414985
d05100,zhifmvlgmiend1lyltmend1ly,3414.45054755,210.166126,164.821321,-20.7160731806,-1.27511492278
dsbmip,zhifmvmultiple2dvo7,241141.159619,23.113197,23.113197,-10433.0508505,1.0
ds,zhifmvnodedepth,70188.5163135,325694.029181,326895.484804,4.65739271854,1.00368890896
protfold,prxt1,24152.5813552,240078.09146,230876.182479,9.55906861812,-1.03985646714
sp98ar,str10tr20zhifmvdvo7,12066.787139,7589.360162,7028.234782,-1.7169015426,-1.07983873581
noswot,zhifmvmultiple2ltmend1lylgmiend1ly,7302.38503062,16744.1868,10605.481817,1.45233122775,-1.57882377142
ns1208400,zhifmvmultiple2str10tr20dvo7,26628.5331898,1080030.916,1080030.916,40.5591591659,1.0
neos-960392,zhifmvnodedepth,20751.8375362,34226.532174,18650.983119,-1.1126404117,-1.83510606147
dano3mip,zhifmvlgmiend1lyltmend1lyrdcifmv,188614.48845,20807.372701,22402.860516,-8.41921451572,1.07667896557
neos-555884,zhifmvnodehybrid,168873.842065,20434.752274,11146.128886,-15.1508962252,-1.83334972016
gmu-35-40,str10tr20zhifmvdvo7,6555.56654814,226.866977,234.206572,-27.9905319998,1.03235197602
tanglegram2,zhifmvmultiple4,376565.412152,292736.896889,340466.295492,-1.10602845902,1.16304538003
opm2-z7-s2,zhifmvrdcifmvmultiple2,66290.8657888,83650.055236,83157.232073,1.25442971793,-1.00592640172
zib54-UUE,zhifmvmultiple4,38288.5139165,41105.688049,39821.48862,1.04003745632,-1.03224890564
tr12-30,str10tr20zhifmvdvo7,5147.69823843,92283.755696,88537.021959,17.1993418919,-1.04231827154
neos-820879,str10tr20zhifmvdvo7,120883.504097,5493.263157,3228.079918,-37.447494228,-1.70171225513
neos-1215891,zhifmvnodedowndepth,67211.2006507,11286.499797,22314.335027,-3.01201898105,1.97708194997
neos-957323,str10tr20zhifmvdvo7,13647.9926702,9026.30376,11784.180254,-1.158162246,1.30553774472
lseu,str10tr20zhifmvdvo7,75067.2026557,21088.6704,21088.6704,-3.55959864855,1.0
gt2,cts0,10033.0362797,71930.478113,131063.4036,13.0631844585,1.82208442149
neos-1437164,str10tr20zhifmvdvo7,2472.41326736,16663.05,16667.577002,6.74142030462,1.00027167907
neos-641591,str10tr20zhifmvdvo7,25390.2707127,29678.483951,4276.537427,-5.93710943633,-6.9398396384
neos-785899,xpsve2,5290.51366283,7996.915052,7745.563671,1.46404756979,-1.03245101218
bnatt350,zhifmvnodehybrid,17355.9152095,720009.1604,720009.1604,41.484943416,1.0
e10400,str10tr20zhifmvdvo7,4966.03341255,288.968105,111.633126,-44.4853027994,-2.5885515828
a10100,str10tr20zhifmvdvo7,3347.17022209,381.1752,381.1752,-8.78118571746,1.0
neos-799838,zhifmv,42809.0710784,36172.132448,35382.57976,-1.20989117721,-1.02231472926
beasleyC3,zhifmvmultiple4,29324.0835332,31932.393173,56353.453197,1.92174644207,1.76477387372
neos-957389,zhifmvrdcifmvmultiple2,24463.8857226,30340.8,4536.6412,-5.3925105919,-6.68794349441
dcmulti,zhifmvhr0nve1str10tr20dvo7rnd1rns1,2310.92311025,2537.066205,2289.3552,-1.00942095409,-1.10820121098
neos-849702,hr0,80366.1526998,720029.771,720029.771,8.95936593717,1.0
neos-957143,zhifmvnodehybrid,11442.2029391,10660.192519,13632.260748,1.19140176245,1.27880061488
rd-rplusc-21,zhifmvrdcifmv,216282.414855,721279.2,721676.3358,3.33673145033,1.00055059927
pdistuchoa,str10tr20zhifmvrdcifmv,96684.696982,148823.632113,113683.243687,1.17581424192,-1.3091078974
neos-950242,zhifmvnodehybrid,436938.100112,69297.287247,63924.645561,-6.83520567502,-1.08404648378
neos-538916,str10tr20zhifmvdvo7,12577.056824,15372.024121,18863.215949,1.49981161833,1.22711334568
timtab2,zhifmvltmend1lyrootstr10tr20,112103.851177,229994.00618,212084.568037,1.89185800318,-1.08444479628
t1717,zhifmvltmend1lyroot,286464.405368,77057.101915,71434.953722,-4.01014336039,-1.07870304242
n3seq24,zhifmvlgmiend1lyltmend1lyrdcifmv,58396.8934514,674561.688848,735381.293028,12.5928152949,1.09016166377
neos-1441553,str10tr20zhifmvdvo7,7757.46693869,16720.030731,210.706649,-36.8164316385,-79.3521742686
a05100,zhifmvnodeupfewest,3683.98033711,57.2436,57.2436,-64.356195926,1.0
p0548,str10tr20zhifmvdvo7,11034.0097532,346941.4572,346941.4572,31.4429173946,1.0
disctom,zhifmvmultiple2passt2,472176.979415,718.2222,462.5954,-1020.71265606,-1.55259261117
pigeon-10,zhifmvresidualifmv,10530.1414714,36000.0,36004.4655,3.4191815559,1.00012404167
nw04,zhifmvnodeupfewest,43553.6401252,12586.788335,12693.678779,-3.43112827128,1.0084922731
neos-953928,zhifmvnodehybrid,26557.0576528,8813.393205,7890.046045,-3.36589387455,-1.11702684049
irp,zhifmvpptn5005043,11245.3900474,1129.264012,1114.606162,-10.0891152685,-1.01315069887
markshare2,str10tr20zhifmvdvo7,617462.357301,686577.123021,693914.878642,1.12381729904,1.01068744555
m100n500k4r1,zhifmvrdcifmv,9610.60769217,14646.912,14435.63344,1.50205209726,-1.01463590502
neos-709469,zhifmvltmend1lyrootstr10tr20,27951.4904265,92548.8,258.7786,-108.01314493,-357.636991621
