instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,xpsve1,736.618448,28366.096287,34709.368546,47.1198741224,1.22362161486
neos-631694,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6820.4138005,29355.166136,25906.248111,3.79833964167,-1.13313074167
neos-633273,zhifmvnodedepth,124448.482399,119975.097535,120073.820423,-1.03643310391,1.00082286149
bell3a,cts0,11.184137,3653.64,732.407338,65.4862630885,-4.98853549171
d20200,str10tr20zhifmvdvo7cbn21,3440.116074,8913.81115,5956.449415,1.73146756879,-1.49649741464
neos-801834,zhifmvrdcifmvmultiple2,4710.057242,16913.566598,7772.25927,1.65014114918,-2.17614544374
neos-1337307,zhifmvhr0nve1str10tr20dvo7rnd1rns1,861.325379,11528.349458,3728.829555,4.32917645981,-3.09168045575
planar150_s,zhifmvpptn5005043,99082.93364,267.939,263.3588,-376.227920388,-1.01739148265
neos-934531,zhifmvmultiple2passf20,40732.144662,355749.480523,383168.300595,9.40702493754,1.07707339455
qiu,zhifmvmultiple2ltmend1lylgmiend1ly,47817.604345,296821.212873,28717.138311,-1.66512428318,-10.3360303404
n050w4-0,zhifmv,15418.0883485,31023.091956,65125.077017,4.22393980012,2.09924520449
acc-tight5,zhifmvrdcifmvmultiple2,2409.1603,253523.5556,187296.1832,77.7433461775,-1.35359702087
e20200,zhifmvpptn5005043,257.0328,633.2602,3081.621339,11.9892143687,4.86627983094
mcsched,zhifmvmultiple2ltmend1lylgmiend1ly,1914.120197,14241.491928,9604.093581,5.01749764516,-1.48285643074
neos16,zhifmvxpsve2str10tr20dvo7,732.078025,24262.922592,35074.447297,47.9108047219,1.44559861509
blend2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,1251.86003,20422.982452,23685.1488,18.919965677,1.15973016457
danoint,zhifmvltmend1lyroot,18055.891462,11090.519164,11775.024763,-1.53340581658,1.06171988785
dfn-gwin-UUM,zhifmvrdcifmv,23.3964,3113.387488,3066.394846,131.062678275,-1.01532504598
neos-948346,zhifmvmultiple2pptn5005043,7668.983334,16973.295356,15863.460324,2.06852194523,-1.06996172394
neos-1330346,zhifmvrdcifmvmultiple2,198.561338,100824.975,69179.11104,348.401716753,-1.4574482598
lectsched-4-obj,zhifmvnodeupdepth,7364.630456,135543.824118,24550.183041,3.33352544811,-5.52109220089
n030w4-1,zhifmvpptn5005043,5412.332701,14577.733805,8984.180538,1.65994609613,-1.62260027426
dcmulti,cts0,183.594429,6390.954,2289.3552,12.4696332698,-2.7915956423
neos-777800,zhifmvcbn21,68919.148567,659.542,652.6718,-105.595413448,-1.01052627063
mas74,str10tr20zhifmvrdcifmv,448.252721,1776.777665,2328.458162,5.19452097648,1.31049495267
mas76,zhifmvmultiple2pptn5005043,1165.680731,8467.319203,8467.091552,7.26364546211,-1.00002688656
eilC76,zhifmvmultiple3,21403.341321,35510.571504,39567.732364,1.84867081128,1.11425219838
mzzv11,hr0,7921.918051,15988.459774,26279.431281,3.31730663102,1.64364996081
qnet1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,851.175509,1634.75663,3674.393928,4.31684639554,2.24767030185
neos-1396125,zhifmvpptn5005043,18.533197,845398.169936,845412.742644,45616.1310239,1.00001723769
tanglegram2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,4092.9758325,348756.402182,340466.295492,83.1830700755,-1.02434927275
rmine6,zhifmvnodedowndepth,2962.847817,816.943251,1487.441733,-1.99190849044,1.82074058532
neos-1109824,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,3278.301678,13963.117776,5884.435043,1.79496447276,-2.37289012012
mitre,zhifmvmultiple2passf20,424.95292,1649.764661,1660.79391,3.90818331122,1.00668534686
fast0507,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6594.1595515,6580.273021,12929.709941,1.96078208906,1.96491998124
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,47559.069464,48222.982989,99064.095152,2.08296958432,2.05429214478
neos-538916,zhifmvresidualifmv,60209.522067,18780.652281,18863.215949,-3.19190122351,1.00439620876
rgn,hr0,13305.727976,44005.7448,48146.4792,3.61847764262,1.09409531457
long_hidden01,zhifmvmultiple2passt2,449186.566884,602482.480959,527859.649118,1.17514567005,-1.14136869898
layer3,cts0,25683.596282,65783.81301,38255.862222,1.48950566743,-1.71957470539
pk1,str10tr20zhifmv,606725.420526,70841.231901,40095.974263,-15.1318288601,-1.7667916344
aflow30a,zhifmvhr0nve1str10tr20dvo7rnd1rns1,360.114221,3323.407331,20177.024585,56.0295134387,6.07118615789
reblock67,str10tr20zhifmvdvo7,36000.0,3324.702649,3581.409427,-10.0519085387,1.07721195099
