instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvhr0nve1str10tr20dvo7rnd1rns1,7459.81059271,29355.166136,25906.248111,3.47277558713,-1.13313074167
egout,zhifmvnodedowndepth,45319.547762,265207.1184,265207.1184,5.85193655932,1.0
core2536-691,zhifmvlgmiend1lyltmend1ly,4281.38030611,17626.360941,15468.800219,3.61304044794,-1.13947822012
bell3a,cts0,30.2320924421,3653.64,732.407338,24.2261543558,-4.98853549171
d20200,zhifmvmultiple2ltmend1ly,14322.418245,5962.803264,5956.449415,-2.40452276971,-1.00106671753
neos-801834,zhifmvmultiple2passf20,31158.4585227,17476.60796,7772.25927,-4.00893195148,-2.24858787553
neos-1337307,cts0,285.927175314,3751.993963,3728.829555,13.0411862773,-1.00621224641
ds,zhifmvmultiple2passt2,49713.5473008,363784.288445,326895.484804,6.5755815578,-1.11284586467
planar150_s,zhifmvpptn5005043,8751.91780066,267.939,263.3588,-33.2319170678,-1.01739148265
neos-934531,str10tr20zhifmvdvo7,0.0,225891.419388,383168.300595,383168.300595,1.69624991349
neos-912023,zhifmvhr0nve1str10tr20dvo7rnd1rns1,135713.391928,1932.554965,979.479248,-138.55667918,-1.97304329719
acc-tight5,zhifmvmultiple2passt2,19877.4765756,54264.889,187296.1832,9.42253321176,3.45151693206
neos10,zhifmvhr0nve1str10tr20dvo7rnd1rns1,14752.7053429,27690.591098,23821.813858,1.61474206285,-1.16240481363
e20200,zhifmvlgmiend1lyltmend1lystr10tr20,256.001542952,3611.849052,3081.621339,12.0375108035,-1.1720612803
mcsched,zhifmvpptn5005043,189154.556645,9725.119765,9604.093581,-19.6952013274,-1.01260152069
l152lav,cts0,12250.788215,5008.997561,4457.629003,-2.74827452145,-1.12369099304
blend2,zhifmvnodeupfewest,2681.73461306,23685.1488,23685.1488,8.8320256168,1.0
danoint,zhifmvxpsve1str10tr20dvo7,4753.61878359,13284.980447,11775.024763,2.47706543142,-1.12823375869
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,37337.5633627,3628.827534,3066.394846,-12.17637168,-1.18341822115
neos-948346,zhifmvmultiple2passf20,6220.02667459,26869.724991,15863.460324,2.55038461311,-1.69381234877
neos-1330346,zhifmvhr0nve1str10tr20dvo7rnd1rns1,75733.2842523,68603.673737,69179.11104,-1.09474208491,1.00838784968
lectsched-4-obj,zhifmvxpsve2str10tr20dvo7,23.1773875701,66408.250248,24550.183041,1059.22994845,-2.70500020864
liu,zhifmvnodeupfewest,2681.81336131,61670.3844,62692.419497,23.3768764081,1.016572543
newdano,zhifmvxpsve1str10tr20dvo7,4753.67079634,78733.334111,88137.097768,18.5408501228,1.11943814857
e40400,zhifmvnodedepth,4525.77930404,19094.71767,19138.241843,4.22871743346,1.0022793829
rmatr100-p5,zhifmvhr0nve1str10tr20dvo7rnd1rns1,11725.4485002,51170.772874,54654.318848,4.66117085814,1.06807686846
rail507,zhifmvhr0nve1str10tr20dvo7rnd1rns1,7655.88996272,6073.205974,15347.956627,2.00472534241,2.52715891618
mas74,str10tr20zhifmvrdcifmv,1413.70918027,1776.777665,2328.458162,1.64705598188,1.31049495267
mas76,zhifmvmultiple2pptn5005043,1242.96536612,8467.319203,8467.091552,6.81200923436,-1.00002688656
mzzv11,hr0,8482.09695218,15988.459774,26279.431281,3.09822340267,1.64364996081
qnet1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,1253.49694136,1634.75663,3674.393928,2.9313146341,2.24767030185
neos-1396125,cbn21,38507.4558423,845367.982069,845412.742644,21.9545208623,1.00005294804
br2,zhifmvmultiple2passf45,7940.50338058,76398.733646,116772.24574,14.7058996317,1.52845787053
rmine6,zhifmvmultiple2ltmend1ly,39330.250546,869.832205,1487.441733,-26.4415403128,1.7100329517
mitre,zhifmvhr0nve1str10tr20dvo7rnd1rns1,1618.82817921,1573.614584,1660.79391,1.02592352377,1.05540068508
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,48902.0138617,48222.982989,99064.095152,2.0257671889,2.05429214478
sprint_hint01_j,zhifmvmultiple2passf20,41418.3235465,23980.022657,35160.060926,-1.17799350899,1.46622300691
rgn,zhifmvnodedepth,81193.6174267,48146.4792,48146.4792,-1.68638743218,1.0
long_hidden01,zhifmvmultiple2ltmend1ly,12132.8109052,575180.815195,527859.649118,43.5067894192,-1.08964725028
ash608gpia-3col,zhifmvmultiple2passt2,22696.4532108,1080045.8015,1080043.5115,47.5864445193,-1.00000212028
layer3,cts0,28824.9855146,65783.81301,38255.862222,1.3271771534,-1.71957470539
pk1,str10tr20zhifmvdvo7cbn21,607778.749692,70555.543978,40095.974263,-15.1580990577,-1.75966653199
stein45,zhifmvlgmiend1lyltmend1lystr10tr20,31808.0246605,96007.571092,84055.69322,2.64259394027,-1.14218998635
reblock67,cts0,31151.354737,7729.247208,3581.409427,-8.69807135205,-2.15815794467
layer2,cts0,2018.23996525,3295.078805,16134.777675,7.99447932498,4.8966287697
pg5_34,zhifmvmultiple2ltmend1lylgmiend1ly,52454.8632713,432.269425,303.923451,-172.592352116,-1.42229704084
n030w4-0,zhifmvlgmiend1lyltmend1lyrdcifmv,8929.74443206,27909.99808,49648.419575,5.55989255378,1.77887577895
n030w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,12735.8225972,7814.071305,11041.72655,-1.15342673444,1.41305679447
n030w4-2,zhifmvlgmiend1lyltmend1lyrdcifmv,8876.8725656,12429.848643,12602.21489,1.41966833441,1.01386712356
neos-1120495,xpsve2,6193.01962991,18781.616447,17857.304091,2.88345672356,-1.05176102458
app1-2,hr0,25171.8186767,998457.867098,999390.328513,39.7027462079,1.00093390162
enlight13,cts0,1080001.09261,1014167.41804,969472.182567,-1.11400936719,-1.04610264872
neos-632335,zhifmvcbn21,120027.910129,124472.070555,124573.712221,1.03787287546,1.00081658211
neos-1223462,zhifmvmultiple2passt2,13756.4355131,128690.4,31188.5496,2.26719701992,-4.12620662552
neos-686190,cts0,720007.045253,88127.541188,88438.873682,-8.1412959627,1.00353274912
eilB101,zhifmvmultiple2dvo7,898.220068476,26681.234966,16422.300165,18.2831588175,-1.62469536532
yue20023.1.150,zhifmvltmend1lyroot,226403.091711,358814.72895,81983.992859,-2.76155239353,-4.37664373785
n050w4-3,zhifmvcbn21,20937.1554504,11917.521606,16181.424205,-1.2939006595,1.35778433973
gen,cbn21,34516.5934141,587.7324,587.7324,-58.7284169022,1.0
protfold,zhifmvnodeupdepth,1080004.86607,667266.05022,230876.182479,-4.67785310062,-2.89014675769
noswot,zhifmvnodedepth,60439.8254054,10220.922679,10605.481817,-5.69892310867,1.03762469887
ns1208400,zhifmvhr0nve1str10tr20dvo7rnd1rns1,717157.346174,1080030.916,1080030.916,1.50598877884,1.0
neos-960392,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6083.38548981,17408.414669,18650.983119,3.06588874735,1.07137746163
dano3mip,zhifmvlgmiend1lyltmend1lyrdcifmv,172845.238757,20807.372701,22402.860516,-7.71532004287,1.07667896557
neos-555884,cts0,46079.572636,71430.233979,11146.128886,-4.13413240662,-6.40852395568
sp98ar,zhifmvmultiple2passf20,8053.01436681,10522.235692,7028.234782,-1.14580895724,-1.49713776195
neos-916792,zhifmvlgmiend1lyltmend1lyrdcifmv,53391.4382502,12982.90729,17287.192479,-3.08849677674,1.33153477051
opm2-z7-s2,zhifmvnodedowndepth,1080038.45181,87664.641778,83157.232073,-12.9879076646,-1.05420346003
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,51185.5458462,37834.346914,39821.48862,-1.28537499777,1.05252216222
tr12-30,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,16708.303807,52807.456618,88537.021959,5.29898324699,1.67660076113
n050w4-0,zhifmvcbn21,16641.5611089,27862.850342,65125.077017,3.91339950566,2.3373443929
neos-1215891,zhifmvxpsve1str10tr20dvo7,16227.0419671,11290.487087,22314.335027,1.37513263799,1.97638373394
neos-957323,zhifmvmultiple2pptn5005043,8836.72839202,21754.559939,11784.180254,1.33354559869,-1.84608173586
lseu,cts0,34430.3994322,48288.7512,21088.6704,-1.63264913241,-2.28979590861
gt2,zhifmvxpsve2str10tr20dvo7,675475.081157,131063.4036,131063.4036,-5.15380390409,1.0
neos-1437164,prxt1,438.18402477,16663.05,16667.577002,38.0378472509,1.00027167907
neos-641591,zhifmvmultiple2pptn5005043,745.899487184,202636.216919,4276.537427,5.73339638983,-47.3832441263
n080w8-7,zhifmvcbn21,73179.0633479,45795.533059,37358.003848,-1.95885903448,-1.22585599716
bnatt350,zhifmvhr0nve1str10tr20dvo7rnd1rns1,7467.28173284,720009.1604,720009.1604,96.4218555238,1.0
e10400,zhifmvpptn5005043,104.643563394,792.312245,111.633126,1.06679400413,-7.09746536167
a10100,cts0,504.024337788,381.1752,381.1752,-1.32229047899,1.0
neos-799838,zhifmvlgmiend1lyltmend1lyrdcifmv,31870.1801226,33686.293905,35382.57976,1.1102095948,1.05035537183
flugpl,zhifmvxpsve2str10tr20dvo7,623654.295469,4639.7304,4639.7304,-134.416063371,1.0
neos-957389,cts0,3687.00186259,19044.2748,4536.6412,1.23044179772,-4.19787987642
dcmulti,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,7499.27101501,1251.86003,2289.3552,-3.27571318554,1.82876291689
neos-849702,zhifmvpptn5005043,16776.5201317,720029.771,720029.771,42.9188988746,1.0
neos-957143,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6092.27200647,3795.146747,13632.260748,2.2376316641,3.59202467171
air05,zhifmvmultiple2passf45,387.531965323,5231.902286,7162.444035,18.4822019238,1.36899422877
pdistuchoa,zhifmvhr0nve1str10tr20dvo7rnd1rns1,85328.8950451,135152.866469,113683.243687,1.3322948062,-1.1888547695
ns1766074,hr0,1250.56488076,1080000.0,1080000.0,863.609730783,1.0
eilC76.2,cts0,18094.9083159,5900.788567,30758.969024,1.69986874136,5.21268787633
neos-565815,zhifmvlgmiend1lyltmend1lyrdcifmv,73278.8731212,56095.286258,54312.911242,-1.34919803497,-1.03281678288
timtab2,str10tr20zhifmvrdcifmv,66067.5517735,213560.723644,212084.568037,3.21011695369,-1.00696022167
t1717,zhifmvlgmiend1lyltmend1ly,280877.44452,78689.39016,71434.953722,-3.93193289679,-1.10155303615
timtab1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,132272.736685,77945.841692,116605.644337,-1.13435963959,1.49598287485
neos-1441553,zhifmvhr0nve1str10tr20dvo7rnd1rns1,885.355976775,16666.171569,210.706649,-4.20184166459,-79.096562202
a05100,hr0,245.93815731,57.2436,57.2436,-4.29634329968,1.0
p0548,cts0,808.486051931,131102.4384,346941.4572,429.124851779,2.64633870608
yue20013.1.150,hr0,34534.8937066,360475.493856,360593.285463,10.4414187148,1.00032676731
disctom,str10tr20zhifmvdvo7cbn21,1835.99759321,464.8856,462.5954,-3.96890585857,-1.00495076259
vpm2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,11885.4856118,18829.092577,18208.406497,1.53198675189,-1.03408788573
pigeon-10,zhifmvxpsve2str10tr20dvo7,15081.3584711,36000.0,36004.4655,2.38734896256,1.00012404167
ibarra,hr0,6940.73591434,1087.4412,48177.649159,6.94128832354,44.3036820372
