instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2ltmend1lylgmiend1ly,95333.5195251,6314.34293,25906.248111,-3.67994312093,4.10276229818
egout,zhifmvmultiple4,84826.7450392,265207.1184,265207.1184,3.12645638209,1.0
bell3a,zhifmvmultiple2ltmend1lylgmiend1ly,84635.055814,1054.951985,732.407338,-115.557356437,-1.44038969883
d20200,zhifmvmultiple2ltmend1lylgmiend1ly,92441.7693774,7336.224163,5956.449415,-15.5196095756,-1.23164382871
neos-801834,zhifmvmultiple2ltmend1lylgmiend1ly,92031.4918959,17975.623,7772.25927,-11.8410218572,-2.31279250673
neos-1337307,zhifmvmultiple4,84868.8411873,2905.742753,3728.829555,-22.7601825011,1.28326210266
ds,zhifmvmultiple2ltmend1lylgmiend1ly,96281.0067587,315182.125618,326895.484804,3.39522296047,1.03716378003
planar150_s,zhifmvmultiple2ltmend1lylgmiend1ly,95710.7581355,345.8016,263.3588,-363.423428932,-1.31304364996
neos-934531,zhifmvmultiple3,402787.715117,192301.866612,383168.300595,-1.05120312534,1.9925355242
br2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92834.9667743,91638.02405,116772.24574,1.25784766018,1.27427721135
acc-tight5,zhifmvmultiple2ltmend1lylgmiend1ly,92237.8509231,155322.1374,187296.1832,2.0305783507,1.20585633404
e20200,zhifmvmultiple2ltmend1lylgmiend1ly,92132.7196289,4322.312559,3081.621339,-29.8974823619,-1.4026098873
mcsched,zhifmvmultiple2ltmend1lylgmiend1ly,92449.0053513,14241.491928,9604.093581,-9.62600005628,-1.48285643074
neos16,zhifmvmultiple2ltmend1lylgmiend1ly,84119.686923,49368.07351,35074.447297,-2.39831824606,-1.40752249328
blend2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95301.3173561,20422.982452,23685.1488,-4.02367399761,1.15973016457
danoint,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92787.8244909,11684.452243,11775.024763,-7.88005344859,1.0077515418
dfn-gwin-UUM,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95302.3399684,3628.827534,3066.394846,-31.079604798,-1.18341822115
neos-948346,zhifmvmultiple2ltmend1lylgmiend1ly,90929.6597568,26247.507807,15863.460324,-5.7320192379,-1.65458905377
neos-1330346,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92778.064408,116980.677544,69179.11104,-1.3411283119,-1.69098266493
lectsched-4-obj,zhifmvmultiple2ltmend1lylgmiend1ly,92189.3537019,31675.23289,24550.183041,-3.75513915916,-1.29022389923
liu,zhifmvmultiple2ltmend1lylgmiend1ly,91982.8217288,54012.069893,62692.419497,-1.46720803674,1.16071129326
e40400,zhifmvmultiple2ltmend1lylgmiend1ly,92750.4387785,30568.633757,19138.241843,-4.84634061683,-1.59725402196
neos-777800,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92788.726813,407.6336,652.6718,-142.167513309,1.60112365615
mas74,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95307.0247453,2709.276492,2328.458162,-40.931388118,-1.1635495695
mas76,zhifmvmultiple2ltmend1lylgmiend1ly,92427.8603133,8482.610676,8467.091552,-10.9161286075,-1.00183287542
eilC76,zhifmvmultiple2ltmend1lylgmiend1ly,92038.0883,35882.056521,39567.732364,-2.32608953814,1.10271640481
gesa2-o,zhifmvmultiple2ltmend1lylgmiend1ly,92168.0251275,102.106559,155.722814,-591.872332383,1.52510098788
qnet1,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92798.388128,1634.75663,3674.393928,-25.2554271388,2.24767030185
neos-1396125,zhifmvmultiple2ltmend1lylgmiend1ly,95247.2900368,22416.579676,845412.742644,8.87597686314,37.7137259503
rmine6,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95304.238338,1274.068381,1487.441733,-64.0725859868,1.16747401881
mitre,zhifmvmultiple2ltmend1lylgmiend1ly,95438.3073734,1575.904584,1660.79391,-57.4654728674,1.05386704681
fast0507,zhifmvmultiple2ltmend1lylgmiend1ly,92313.7293914,12658.395713,12929.709941,-7.13965973039,1.02143353977
neos-506428,zhifmvmultiple2,283189.416495,545400.422641,495126.030637,1.74839171875,-1.10153857582
a1c1s1,zhifmvmultiple2ltmend1lylgmiend1ly,95248.6860389,56866.25332,99064.095152,1.04005734117,1.74205419503
sprint_hint01_j,zhifmvmultiple4,84744.9412214,26956.373679,35160.060926,-2.41026150096,1.30433200492
rgn,zhifmvmultiple4,84828.6472854,36776.776518,48146.4792,-1.76188682319,1.30915441098
long_hidden01,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,94585.4913345,584493.060453,527859.649118,5.58076763857,-1.10728876782
noswot,zhifmvmultiple2ltmend1lylgmiend1ly,92427.7271207,16744.1868,10605.481817,-8.71508986726,-1.57882377142
pk1,zhifmvmultiple2ltmend1lylgmiend1ly,90493.6751741,360419.441514,40095.974263,-2.25692670742,-8.98891841734
stein45,zhifmvmultiple2ltmend1lylgmiend1ly,92162.7648287,96000.0012,84055.69322,-1.09644881028,-1.1420999283
reblock67,zhifmvmultiple2ltmend1lylgmiend1ly,84118.8132496,5264.137739,3581.409427,-23.4876282548,-1.46985086355
layer2,zhifmvmultiple4,84832.7336256,2519.892225,16134.777675,-5.25775658856,6.4029633946
n030w4-1,zhifmvmultiple2ltmend1lylgmiend1ly,92381.1417933,10233.824889,8984.180538,-10.2826453011,-1.13909386011
enlight14,zhifmvmultiple2ltmend1lylgmiend1ly,84637.5573087,1080010.3053,1080013.7406,12.7604549912,1.0000031808
n030w4-3,zhifmvmultiple4,84694.4949045,7765.796287,11041.72655,-7.6704032219,1.42184087014
n030w4-2,zhifmvmultiple2ltmend1lylgmiend1ly,92853.4877538,80968.561674,12602.21489,-7.36802923647,-6.42494691455
neos-1120495,zhifmvmultiple2ltmend1lylgmiend1ly,95285.6868514,7717.974252,17857.304091,-5.33595028487,2.31372942017
app1-2,zhifmvmultiple4,392704.046689,386343.655266,999390.328513,2.54489439806,2.58679109878
enlight13,zhifmvmultiple2ltmend1lylgmiend1ly,92433.5836857,956755.41803,969472.182567,10.4883111085,1.01329155215
neos-632335,zhifmvmultiple2ltmend1lylgmiend1ly,91068.9849582,125306.590549,124573.712221,1.36790491602,-1.00588308974
neos-1223462,zhifmvmultiple2ltmend1lylgmiend1ly,95366.7208251,216368.7024,31188.5496,-3.05774786094,-6.9374403483
neos-686190,zhifmvmultiple2ltmend1lylgmiend1ly,90520.2493426,14306.598578,88438.873682,-1.02353462424,6.18168415084
yue20023.1.150,zhifmvmultiple2ltmend1lylgmiend1ly,92395.8124127,66983.529016,81983.992859,-1.12699820039,1.2239425731
n050w4-3,zhifmvmultiple2ltmend1lylgmiend1ly,85842.3953121,21035.548853,16181.424205,-5.30499628615,-1.29998129871
gen,zhifmvmultiple2ltmend1lylgmiend1ly,92153.8196124,587.7324,587.7324,-156.795540985,1.0
protfold,zhifmvmultiple2ltmend1lylgmiend1ly,84137.0963301,191911.312075,230876.182479,2.74404742438,1.2030358189
layer3,zhifmvmultiple2ltmend1lylgmiend1ly,92177.8088353,32149.509923,38255.862222,-2.40950807226,1.18993609276
ns1208400,zhifmvmultiple2ltmend1lylgmiend1ly,84796.6192916,1080029.771,1080030.916,12.736721405,1.00000106016
neos-960392,zhifmvmultiple2ltmend1lylgmiend1ly,90952.8414668,16336.846223,18650.983119,-4.87657089637,1.14165138512
dano3mip,zhifmvmultiple2ltmend1lylgmiend1ly,95303.1201151,26004.548968,22402.860516,-4.25406032623,-1.16076913256
neos-555884,zhifmvmultiple2ltmend1lylgmiend1ly,84623.6196995,31724.771677,11146.128886,-7.59219820307,-2.84625918123
sp98ar,zhifmvmultiple2ltmend1lylgmiend1ly,92229.1057578,22894.907312,7028.234782,-13.1226557761,-3.25756153887
newdano,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92788.7745516,92149.875319,88137.097768,-1.05277773947,-1.04552881423
opm2-z7-s2,zhifmvmultiple2,334921.830211,46578.71653,83157.232073,-4.0275730909,1.78530535549
zib54-UUE,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92726.103878,37834.346914,39821.48862,-2.32854438876,1.05252216222
tr12-30,zhifmvmultiple2ltmend1lylgmiend1ly,91981.1867822,47817.604345,88537.021959,-1.03890084336,1.85155703996
neos-820879,zhifmvmultiple2ltmend1lylgmiend1ly,90627.6365364,828.710317,3228.079918,-28.0747809343,3.89530557516
neos-1215891,zhifmvmultiple4,84901.2117808,46457.500786,22314.335027,-3.80478341291,-2.08195766218
neos-957323,zhifmvmultiple2ltmend1lylgmiend1ly,92746.4696334,21030.896559,11784.180254,-7.87042183965,-1.78467200142
lseu,zhifmvmultiple2ltmend1lylgmiend1ly,84634.6367064,3811.338,21088.6704,-4.01327514258,5.53314095995
gt2,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92780.6940577,131063.4036,131063.4036,1.41261503733,1.0
neos-1437164,zhifmvmultiple2ltmend1lylgmiend1ly,84656.4829216,16666.564456,16667.577002,-5.07911155361,1.00006075313
neos-641591,zhifmvmultiple4,84918.1533082,11616.989314,4276.537427,-19.8567543855,-2.71644747937
neos-1622252,zhifmvmultiple2ltmend1lylgmiend1ly,92002.233766,87745.291772,86788.803233,-1.06007031252,-1.01102087485
neos-785899,zhifmvmultiple2ltmend1lylgmiend1ly,84123.8504933,3962.898633,7745.563671,-10.8609074906,1.95451975645
bnatt350,zhifmvmultiple2ltmend1lylgmiend1ly,84132.9204132,720008.8888,720009.1604,8.55799557253,1.00000037722
e10400,zhifmvmultiple4,89443.6785404,47.250806,111.633126,-801.228826472,2.36256554015
a10100,zhifmvmultiple4,84855.6241565,381.1752,381.1752,-222.615805426,1.0
neos-799838,zhifmvmultiple2ltmend1lylgmiend1ly,84293.7251765,38557.052792,35382.57976,-2.38235102551,-1.08971852967
flugpl,zhifmvmultiple2ltmend1lylgmiend1ly,84634.7141405,4513.1076,4639.7304,-18.2412999989,1.02805667651
neos-957389,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92810.626522,34028.4444,4536.6412,-20.4580045964,-7.50080134175
dcmulti,zhifmvmultiple4,84825.4322634,1510.053385,2289.3552,-37.0521063151,1.51607567172
neos-849702,zhifmvmultiple4,84910.545767,720032.061,720029.771,8.47986271312,-1.00000318042
neos-957143,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,95574.2777049,11262.143941,13632.260748,-7.01088979089,1.21044987699
air05,zhifmvmultiple4,89467.4727298,5979.977633,7162.444035,-12.4911932704,1.19773759612
pdistuchoa,zhifmvmultiple2ltmend1lylgmiend1ly,95244.1377089,154164.443012,113683.243687,1.19359832974,-1.35608765208
ns1766074,zhifmvmultiple2ltmend1lylgmiend1ly,84119.46833,1080000.0,1080000.0,12.8388828584,1.0
timtab2,zhifmvmultiple2ltmend1lylgmiend1ly,90489.7850926,189746.319731,212084.568037,2.34374043236,1.11772691211
t1717,zhifmvmultiple2ltmend1lylgmiend1ly,92807.0273452,76920.304627,71434.953722,-1.29918229816,-1.0767880515
timtab1,zhifmvmultiple4,84823.0411563,116439.375734,116605.644337,1.37469304033,1.00142794138
neos-1441553,zhifmvmultiple2ltmend1lylgmiend1ly,84136.555606,627.251578,210.706649,-399.306599983,-2.97689503856
neos1,zhifmvmultiple2ltmend1lylgmiend1ly,91946.0337625,15586.549773,15074.783514,-6.09932697721,-1.03394849807
a05100,zhifmvmultiple2ltmend1lylgmiend1ly,92483.8137059,57.2436,57.2436,-1615.61840461,1.0
p0548,zhifmvmultiple2ltmend1lylgmiend1ly,92427.5547751,346941.4572,346941.4572,3.75365828994,1.0
yue20013.1.150,zhifmvmultiple2ltmend1lylgmiend1ly,84111.8810912,324136.001918,360593.285463,4.287067187,1.11247526757
disctom,zhifmvmultiple4,85307.9413936,595.4198,462.5954,-184.41156439,-1.28712866578
vpm2,zhifmvmultiple2ltmend1lylgmiend1ly,95259.7679073,17274.606512,18208.406497,-5.23163671258,1.05405622318
pigeon-10,zhifmvmultiple2ltmend1lylgmiend1ly,92428.0181132,36000.0,36004.4655,-2.56712651694,1.00012404167
nw04,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,93079.7060759,14135.792889,12693.678779,-7.33276047838,-1.1136088391
neos-953928,zhifmvmultiple2ltmend1lylgmiend1lyrdcifmv,92717.7916755,10007.58241,7890.046045,-11.7512358162,-1.26838073605
