instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,str10tr20zhifmvdvo7,16959.3341816,42302.81698,25906.248111,1.52755101313,-1.63291947173
egout,zhifmvmultiple4,11035.1096163,265207.1184,265207.1184,24.0330298132,1.0
core2536-691,zhifmvmultiple4,74206.811069,28474.530473,15468.800219,-4.7971924143,-1.84077175152
bell3a,str10tr20zhifmvdvo7,28082.0334081,732.226826,732.407338,-38.3420972881,1.0002465247
d20200,zhifmvmultiple4,8020.9256422,7712.144214,5956.449415,-1.34659510782,-1.2947552605
neos-801834,str10tr20zhifmvdvo7,955285.736462,18856.961371,7772.25927,-122.909658991,-2.42618789671
neos-1337307,str10tr20zhifmvdvo7,51707.7703378,3976.348646,3728.829555,-13.8670243772,-1.06637983511
planar150_s,zhifmvmultiple4,192192.081165,352.6718,263.3588,-729.772770703,-1.33913049422
neos-934531,zhifmvmultiple4,32680.4442077,344623.92185,383168.300595,11.7246968297,1.11184475685
n050w4-0,zhifmvnodeupfewest,33036.0462394,31277.193011,65125.077017,1.97133387407,2.08219059153
e40400,zhifmvmultiple4,18903.2074747,28416.539056,19138.241843,1.01243357079,-1.48480405301
neos-912023,hr0,268207.182664,1007.903036,979.479248,-273.826304346,-1.02901928556
acc-tight5,zhifmvmultiple4,-25755.7915292,119933.5878,187296.1832,-7.2720026091,1.56166580718
e20200,zhifmvmultiple4,10700.1465386,1011.775627,3081.621339,-3.4722457309,3.04575565646
mcsched,str10tr20zhifmvdvo7,31590.1004564,7745.3228,9604.093581,-3.28923288699,1.23998622511
l152lav,zhifmvmultiple2ltmend1lylgmiend1ly,21392.530828,4459.405275,4457.629003,-4.79908283385,-1.0003984791
blend2,zhifmvlgmiend1lyltmend1lystr10tr20,-48527.8724557,23886.821386,23685.1488,-0.488073092873,-1.00851472742
danoint,zhifmvmultiple2str10tr20dvo7,175307.958392,11607.507368,11775.024763,-14.8881180228,1.01443181466
dfn-gwin-UUM,zhifmvhr0nve1str10tr20dvo7rnd1rns1,3274.0544384,2266.374139,3066.394846,-1.06772108708,1.35299586826
neos-948346,str10tr20zhifmvdvo7,16130.4497053,37254.165744,15863.460324,-1.01683046295,-2.34842619347
neos-1330346,str10tr20zhifmv,20489.4991392,68981.790818,69179.11104,3.37632025898,1.00286046824
lectsched-4-obj,zhifmvpptn5005043,12293.2804964,39266.410601,24550.183041,1.99704082635,-1.59943453519
