instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
nw04,zhifmvmultiple2ltmend1lylgmiend1ly,14489.7031278,14579.231299,12693.678779,-1.14148966427,-1.14854263707
neos-633273,zhifmvmultiple4,28606.1881114,120534.573685,120073.820423,4.19747713171,-1.00383724995
core2536-691,zhifmvmultiple4,43890.0363682,28474.530473,15468.800219,-2.83732647308,-1.84077175152
bell3a,zhifmvmultiple4,88461.7987353,1055.058581,732.407338,-120.782239808,-1.44053524079
n080w8-7,str10tr20zhifmvdvo7,18093.1054803,34215.640683,37358.003848,2.06476460819,1.09183996273
neos-801834,str10tr20zhifmvdvo7,204177.796833,18856.961371,7772.25927,-26.2700702254,-2.42618789671
neos-1337307,zhifmvmultiple4,-4949945.94898,2905.742753,3728.829555,-0.000753307125661,1.28326210266
planar150_s,zhifmvmultiple4,36501.7888857,352.6718,263.3588,-138.60098423,-1.33913049422
neos-934531,zhifmvmultiple4,-21849.8803913,344623.92185,383168.300595,-17.5364026591,1.11184475685
e40400,zhifmvnodeupfewest,3041.51421424,19152.31381,19138.241843,6.29234009607,-1.00073528003
br2,zhifmvmultiple4,5440.40303055,89488.538612,116772.24574,21.4638961644,1.30488493332
acc-tight5,zhifmvmultiple2str10tr20dvo7,52842.5721065,191136.6412,187296.1832,3.54441836825,-1.02050473178
e20200,zhifmvmultiple4,9958.07907285,1011.775627,3081.621339,-3.23144149699,3.04575565646
mcsched,zhifmvlgmiend1lyltmend1ly,42234.1153897,15175.812081,9604.093581,-4.39751185612,-1.58013996355
neos16,str10tr20zhifmvdvo7,5733.39524586,49481.401355,35074.447297,6.11757009467,-1.41075355902
blend2,zhifmvmultiple2str10tr20dvo7,20907.0913396,7574.260251,23685.1488,1.13287632484,3.12705769476
danoint,zhifmvmultiple2str10tr20dvo7,21021.1274085,11607.507368,11775.024763,-1.78522999583,1.01443181466
dfn-gwin-UUM,zhifmvmultiple4,15450.0069637,2945.24231,3066.394846,-5.03849234674,1.04113499782
neos-948346,str10tr20zhifmvdvo7,12297.4423979,37254.165744,15863.460324,1.28998045372,-2.34842619347
neos-1330346,zhifmvmultiple4,37473.3588251,110731.560162,69179.11104,1.84608781302,-1.60065023238
lectsched-4-obj,str10tr20zhifmvdvo7,16139.6408439,23765.932409,24550.183041,1.52111086476,1.03299894229
