instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
stdc6262p,zhifmvnodehybrid,392804.085276,33936.018318,34709.368546,-11.3169470299,1.02278847862
neos-631694,zhifmvmultiple2pptn5005043,138773.833977,6294.321393,25906.248111,-5.35677082157,4.1158127292
neos-633273,zhifmvmultiple2passf20,99570.5505707,120368.328697,120073.820423,1.20591700794,-1.00245272677
mkc,zhifmvxpsve2,117111.084062,9163.277542,15810.617628,-7.40711633267,1.7254325819
d20200,zhifmvmultiple4,8019.11066192,7712.144214,5956.449415,-1.3462903994,-1.2947552605
neos-801834,zhifmvmultiple2passf20,117862.812939,17476.60796,7772.25927,-15.1645498232,-2.24858787553
neos-1337307,prxt1,99079.3311004,3804.894933,3728.829555,-26.5711611751,-1.02039926386
ds,zhifmvmultiple2passf45,143736.602591,324527.305536,326895.484804,2.27426750676,1.00729731899
planar150_s,zhifmvnodehybrid,-152957.500013,265.649,263.3588,-0.00172177761782,-1.00869612103
neos-934531,zhifmvmultiple4,131062.270691,344623.92185,383168.300595,2.92355914922,1.11184475685
n050w4-0,zhifmvmultiple2str10tr20dvo7,147228.752066,39392.849809,65125.077017,-2.26070753095,1.6532207579
br2,zhifmvmultiple2residualifmv,-64093.4695351,77613.177729,116772.24574,-1.82190551685,1.50454148583
acc-tight5,zhifmvmultiple2str10tr20dvo7,137131.702459,191136.6412,187296.1832,1.36581242587,-1.02050473178
e20200,zhifmvmultiple2passf20,122274.114727,3671.405142,3081.621339,-39.6785007877,-1.19138749967
mcsched,zhifmvmultiple4,9733.30178042,5915.485969,9604.093581,-1.01345345069,1.62355107109
neos-1599274,cbn21,123270.619491,9754.054418,9765.504818,-12.6230667834,1.00117391184
blend2,zhifmvxpsve2,109031.180691,23693.092064,23685.1488,-4.60335637372,-1.00033536897
danoint,zhifmvmultiple2residualifmv,-42049.1407286,12100.452389,11775.024763,-0.280030092387,-1.02763710757
dfn-gwin-UUM,zhifmvxpsve2,110057.087483,3259.62107,3066.394846,-35.8913620099,-1.0630141367
neos-948346,zhifmvresidualifmv,85627.2727515,17978.665233,15863.460324,-5.39776763724,-1.1333381788
neos-1330346,zhifmvmultiple2passf45,-18036.8909989,113118.611231,69179.11104,-3.83542324696,-1.63515560594
lectsched-4-obj,zhifmvmultiple2str10tr20dvo7,136749.092824,31390.433832,24550.183041,-5.57018628315,-1.27862320943
liu,zhifmvmultiple2passf20,114512.113144,70207.632595,62692.419497,-1.82657032641,-1.11987435097
e40400,zhifmvmultiple2str10tr20dvo7,7269.16359678,13442.94393,19138.241843,2.63279833893,1.4236644847
neos-777800,zhifmvmultiple2residualifmv,-24628.9515936,405.3436,652.6718,-0.0265001860724,1.610169249
mas74,zhifmvxpsve2,109448.91391,3269.550044,2328.458162,-47.0048874813,-1.40416954763
mas76,zhifmvmultiple4,12465.8967423,7782.214993,8467.091552,-1.47227612525,1.08800535061
glass4,zhifmvmultiple2residualifmv,86136.7735307,132652.465391,126792.801516,1.4719938572,-1.04621448383
mzzv11,zhifmvmultiple4,5204.60984926,31486.293922,26279.431281,5.04926056749,-1.19813452526
neos-1620807,zhifmvxpsve2,109163.856985,60232.746475,60231.983141,-1.81239021682,-1.00001267323
neos-1396125,zhifmvmultiple2pptn5005043,127443.125187,70760.525167,845412.742644,6.63364729484,11.9475193358
tanglegram2,zhifmvnodehybrid,63476.7664217,341709.498502,340466.295492,5.36363640879,-1.0036514716
rmine6,zhifmvxpsve2,107219.417646,15127.140867,1487.441733,-72.0831043444,-10.1699048315
bell3a,zhifmvmultiple2residualifmv,82277.4168921,1054.847862,732.407338,-112.338329538,-1.4402475334
