instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,str10tr20zhifmvdvo7,12433.0302005,42302.81698,25906.248111,2.08366324968,-1.63291947173
egout,str10tr20zhifmvdvo7,22256.8539427,265207.1184,265207.1184,11.9157504957,1.0
core2536-691,str10tr20zhifmvdvo7,13661.9639701,15685.116056,15468.800219,1.13225303864,-1.01398400871
bell3a,str10tr20zhifmvdvo7,2459.17160034,732.226826,732.407338,-3.35765560058,1.0002465247
d20200,str10tr20zhifmvdvo7,5719.03528734,8737.001098,5956.449415,1.04151296779,-1.46681361484
neos-801834,str10tr20zhifmvdvo7,304076.68694,18856.961371,7772.25927,-39.1233329173,-2.42618789671
neos-1337307,zhifmvmultiple4,609614.711983,2905.742753,3728.829555,-163.486880532,1.28326210266
ds,str10tr20zhifmvdvo7,76972.8824235,306710.727572,326895.484804,4.24689156118,1.06581040511
planar150_s,str10tr20zhifmvdvo7,5390.47601234,258.7786,263.3588,-20.4681826175,1.01769929971
neos-934531,zhifmvmultiple4,634356.302532,344623.92185,383168.300595,-1.65555527831,1.11184475685
n050w4-0,str10tr20zhifmvdvo7,28499.0249601,34483.506981,65125.077017,2.28516860167,1.88858624655
acc-tight5,str10tr20zhifmvdvo7,16780.1142096,270611.4504,187296.1832,11.1617943037,-1.44483163392
e20200,str10tr20zhifmvdvo7,2988.81104639,2846.600921,3081.621339,1.03105257949,1.08256177263
mcsched,str10tr20zhifmvdvo7,29005.0499464,7745.3228,9604.093581,-3.02007156654,1.23998622511
neos16,zhifmvhr0nve1str10tr20dvo7rnd1rns1,6461.60846086,89936.209433,35074.447297,5.42812946799,-2.5641518645
blend2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,1329.83150342,22031.137597,23685.1488,17.8106389713,1.07507606885
danoint,str10tr20zhifmvdvo7,230177.022903,13279.37409,11775.024763,-19.5479013876,-1.12775763595
neos-931538,zhifmvhr0nve1str10tr20dvo7rnd1rns1,34023.9878993,129886.906215,30930.250204,-1.10002304136,-4.19934870744
neos-948346,str10tr20zhifmvdvo7,12364.7634852,37254.165744,15863.460324,1.28295703699,-2.34842619347
neos-1330346,zhifmvmultiple4,664812.167125,110731.560162,69179.11104,-9.6100131547,-1.60065023238
lectsched-4-obj,zhifmvhr0nve1str10tr20dvo7rnd1rns1,8116.67485914,44375.827177,24550.183041,3.02466015543,-1.80755585826
macrophage,str10tr20zhifmvdvo7,1064001.41242,45679.71306,34266.243189,-31.0510086135,-1.33308203085
n030w4-1,cts0,14448.6733347,35555.742458,8984.180538,-1.60823497185,-3.95759438578
e40400,str10tr20zhifmvdvo7,2292.25126949,9164.72243,19138.241843,8.34910295295,2.08825111608
