instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
neos-631694,zhifmvmultiple2pptn5005043,54283.3702382,6294.321393,25906.248111,-2.09537753231,4.1158127292
neos-633273,zhifmvmultiple2passf45,79585.2490624,120099.011221,120073.820423,1.50874467112,-1.00020979426
mkc,str10tr20zhifmvdvo7,39805.9562133,8193.043106,15810.617628,-2.51767243696,1.92976131377
d20200,zhifmvmultiple2dvo7,18494.5126292,9556.226389,5956.449415,-3.10495587902,-1.60434945774
neos-801834,zhifmvcbn21,239618.347386,7717.225788,7772.25927,-30.8299477747,1.00713125202
neos-1337307,zhifmvrdcifmvmultiple2,114008.441043,2476.140817,3728.829555,-30.5748598485,1.50590367454
ds,zhifmvmultiple2passt2,50618.9868638,363784.288445,326895.484804,6.45796182535,-1.11284586467
planar150_s,zhifmvmultiple2passf20,71159.8068418,334.351,263.3588,-270.20098376,-1.26956456363
neos-934531,zhifmvmultiple2passf45,232121.661354,284083.22402,383168.300595,1.65072186008,1.34878890479
qiu,hr0,51455.3016511,38296.497551,28717.138311,-1.79179767475,-1.3335763869
n050w4-0,zhifmvnodedowndepth,21770.0304305,36543.953153,65125.077017,2.99150142325,1.78210268452
br2,zhifmvmultiple3,47540.854811,69129.230318,116772.24574,2.45625044405,1.68918770255
acc-tight5,zhifmvlgmiend1lyltmend1ly,140595.797624,140164.122,187296.1832,1.33216060768,1.33626337844
e20200,zhifmvrdcifmv,3098.92650931,3598.752443,3081.621339,-1.00561560568,-1.16781137171
mcsched,zhifmvmultiple2passf45,61550.5258537,11500.182869,9604.093581,-6.40878031171,-1.19742511586
l152lav,zhifmvmultiple2residualifmv,18367.3275281,4462.421535,4457.629003,-4.12042534623,-1.0010751303
blend2,zhifmvrdcifmvmultiple2,32721.2449651,233.94458,23685.1488,-1.38150894645,101.242562662
danoint,zhifmvlgmiend1lyltmend1lyrdcifmv,23593.7960705,11960.338875,11775.024763,-2.00371519767,-1.01573789574
dfn-gwin-UUM,hr0,113666.709852,4603.695317,3066.394846,-37.068517122,-1.50133806904
